ID,Organism #,Genotype,Sex,Leg Position,Is there mitochondria present in the whole of the axonal bundle?,Do all the branches have mitochondria?,Leg Length (um),Is the leg short?,Is there scrunching/curving of the leg?,Is the axonal bundle straight? ,Does the axonal bundle split or thin at any time or are there chunks missing?,Is the distal end of the axonal bundle organized?,Does the branching look organized?,Is the branching straight - following the pattern of the axonal bundle? ,Are there branches in all aspects of the femur?,Morphology Score /10
21_GC_M_F,21,G85R cr/cr,M,front,0,0,422.3,0,1,1,0,0,1,0,0,3
22_GC_M_F,22,G85R cr/cr,M,front,1,0,467.1,0,0,0,1,1,1,0,1,5
20_GC_M_F,20,G85R cr/cr,M,front,0,1,479.9,0,1,0,0,1,0,0,0,3
03_GC_M_F,3,G85R cr/cr,M,front,1,0,447.9,0,0,0,1,1,0,0,1,4
19_GC_M_F,19,G85R cr/cr,M,front,1,1,415.5,0,0,1,1,0,0,0,1,5
19_GC_M_M,19,G85R cr/cr,M,middle,1,1,392.3,1,0,1,0,1,1,0,0,6
20_GC_M_M,20,G85R cr/cr,M,middle,0,1,514.7,1,1,0,0,0,1,1,0,5
03_GC_M_M,3,G85R cr/cr,M,middle,1,0,465.2,0,0,1,1,1,0,1,1,6
03_GC_M_B,3,G85R cr/cr,M,back,1,1,528.9,1,0,0,0,0,0,0,0,3
19_GC_M_B,19,G85R cr/cr,M,back,0,0,514.5,1,1,1,0,0,1,1,0,5
20_GC_M_B,20,G85R cr/cr,M,back,0,1,531.1,1,1,0,0,0,0,0,1,4
22_GC_M_B,22,G85R cr/cr,M,back,0,1,565.3,1,0,0,0,0,0,1,1,4
21_GC_M_B,21,G85R cr/cr,M,back,1,1,547.2,1,1,0,0,0,0,1,0,5
03_GC_F_F,3,G85R cr/cr,F,front,1,1,457.5,0,0,0,1,0,0,0,1,4
23_GC_F_F,23,G85R cr/cr,F,front,0,0,583.4,1,0,0,0,0,0,0,0,1
02_GC_F_F,2,G85R cr/cr,F,front,1,1,371.7,0,0,1,0,1,0,1,0,5
23_GC_F_M,23,G85R cr/cr,F,middle,0,0,459,0,0,0,0,1,0,0,1,2
02_GC_F_M,2,G85R cr/cr,F,middle,1,1,443.4,0,0,0,0,1,0,1,1,5
03_GC_F_M,3,G85R cr/cr,F,middle,0,1,554.6,1,1,0,1,0,0,0,1,5
02_GC_F_B,2,G85R cr/cr,F,back,1,1,404.9,0,0,0,0,0,0,1,0,3
03_GC_F_B,3,G85R cr/cr,F,back,1,0,468.5,0,0,0,0,0,0,0,0,1
23_GC_F_B,23,G85R cr/cr,F,back,1,1,486.9,0,1,0,0,1,0,0,0,4
26_GCH_M_F,26,G85R cr/hr,M,front,0,0,430,0,0,0,0,0,0,0,1,1
