"","Genotype","Day","Speed","Distance"
"1","WT",2,21.5088686377479,611.927312743927
"2","WT",2,12.6278248393771,359.261616680279
"3","WT",2,9.68510237702197,275.541162626275
"4","WT",2,16.3468223694049,465.06709640957
"5","WT",2,20.2526429719849,576.187692552971
"6","WT",3,23.1097644751101,346.646467126651
"7","WT",3,22.029875848242,330.448137723629
"8","WT",3,23.4129294867088,665.395456012265
"9","WT",3,20.9628548219408,398.294241616875
"10","WT",3,18.6001052890262,528.614992314124
"11","WT",7,13.9596861102993,503.246684276291
"12","WT",7,18.8256101035791,678.663244234025
"13","WT",7,8.42138306589328,303.590859525453
"14","WT",8,19.7631202346886,573.525749210663
"15","WT",8,23.0108344164463,391.184185079586
"16","WT",8,14.995633675587,435.173289265535
"17","WT",8,20.3677739281745,468.458800348013
"18","WT",8,12.7800370350979,370.87667475854
"19","WT",9,18.1639153631987,516.036835468474
"20","WT",9,17.9753834447189,510.680643664463
"21","WT",9,16.6217821889981,472.224831989435
"22","WT",9,23.3514781747578,443.678085320398
"23","WT",9,17.7141012735313,503.257617181024
"24","WT",6,13.3340408556958,390.954077889
"25","WT",6,12.0180070491048,352.367966679753
"26","WT",6,25.0400105420228,250.400105420228
"27","WT",6,10.0973819592607,296.055239045525
"28","WT",10,23.8773579706231,358.160369559346
"29","WT",10,18.5009048404803,513.955136468544
"30","WT",10,20.1918469327585,504.796173318963
"31","WT",10,12.663370597564,351.788435200329
"32","WT",10,19.5856579452046,352.541843013682
"33","WT",12,8.719949607701,256.540917458564
"34","WT",12,12.7538844149794,375.219279488695
"35","WT",12,12.1603936059273,357.75877988638
"36","WT",12,10.4826803757984,308.40045665599
"37","WT",12,15.2882801179542,449.781201070214
"38","WT",14,13.6027321127625,421.684695495637
"39","WT",14,12.0953046695928,374.954444757376
"40","WT",14,14.7524654068174,280.296842729531
"41","WT",14,10.4302340868739,323.337256693091
"42","WT",14,8.18559225998099,253.753360059411
"43","G85R",2,21.0516777567661,586.920775858638
"44","G85R",2,13.4435359464129,374.805782185992
"45","G85R",2,15.2831920212514,426.09539355249
"46","G85R",2,8.99022871005513,250.647576436337
"47","G85R",2,10.6292885877899,296.344565827583
"48","G85R",3,11.5274004448319,323.228308473086
"49","G85R",3,18.5921147237855,521.322896854946
"50","G85R",3,17.026266646309,477.416516762505
"51","G85R",3,18.2246186142826,511.018305944484
"52","G85R",3,15.0252884525375,360.6069228609
"53","G85R",7,5.61348152774774,156.110921286665
"54","G85R",7,16.8246735128078,336.493470256156
"55","G85R",8,9.85749929567948,282.910229786001
"56","G85R",8,13.4723173672598,386.655508440357
"57","G85R",9,15.2665332571854,461.965296362429
"58","G85R",10,18.5575485397393,526.477652072403
"59","G85R",10,7.73056232615469,219.316053193009
"60","G85R",10,19.6739253357744,558.14926177592
"61","G85R",12,22.9224679832371,366.759487731794
"62","G85R",12,21.0821974979176,578.49549934286
"63","G85R",12,15.510787623251,425.616012382006
"64","G85R",12,17.4880964431376,479.873366399696
"65","G85R",12,23.5488320257093,646.179950785464
"66","G85R",14,12.9786110447356,285.529442984184
"67","G85R",14,15.2065853266807,418.637294043519
"68","G85R",14,11.9564573058755,329.161269630752
"69","G85R",14,17.5114551899027,482.090361378021
"70","G85R",14,9.55146948665522,262.951954967618
"71","trioWT",2,19.786536954649,565.103495424774
"72","trioWT",2,6.94687428550714,198.402729594084
"73","trioWT",2,22.6179458664818,316.651242130744
"74","trioWT",2,26.0981553780475,503.694398796316
"75","trioWT",2,19.8367532464853,566.537672719619
"76","trioWT",3,16.4069241597974,147.662317438177
"77","trioWT",3,20.1759914192894,302.639871289342
"78","trioWT",3,19.9606821609107,576.264893985493
"79","trioWT",3,11.5539305485113,333.56197493552
"80","trioWT",3,8.87625427490484,256.257460916503
"81","trioWT",7,10.6840641771693,303.641103915152
"82","trioWT",7,12.6110644048663,358.4064503863
"83","trioWT",7,13.675310750444,388.65233152762
"84","trioWT",8,11.0291044561911,309.2560889516
"85","trioWT",8,18.8210187345111,414.062412159245
"86","trioWT",8,7.52830820174843,211.093761977026
"87","trioWT",8,12.7339731720556,357.060607744439
"88","trioWT",8,15.1310192305593,424.273779224884
