"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0140513","GO:0140513",7.51752894462667e-07,1,666,737,"nuclear protein-containing complex","CC",0.00877220452548487
"GO:1990904","GO:1990904",2.28059918913074e-06,1,536,592,"ribonucleoprotein complex","CC",0.0133061559689833
"GO:0005840","GO:0005840",1.24818951670741e-05,0.999996222553719,179,190,"ribosome","CC",0.0485504115681958
"GO:0003735","GO:0003735",1.78415127993375e-05,0.999994761894747,167,177,"structural constituent of ribosome","MF",0.0517475073589297
"GO:0044391","GO:0044391",2.2173068540119e-05,0.99999342342737,165,175,"ribosomal subunit","CC",0.0517475073589297
"GO:0030684","GO:0030684",0.000155708556771073,0.999980224278272,79,81,"preribosome","CC",0.302827191493608
"GO:0043228","GO:0043228",0.000329708188124252,0.99975541008418,1343,1535,"non-membrane-bounded organelle","CC",0.448979360081393
"GO:0043232","GO:0043232",0.000329708188124252,0.99975541008418,1343,1535,"intracellular non-membrane-bounded organelle","CC",0.448979360081393
"GO:0006364","GO:0006364",0.000346286249098684,0.999892674843079,131,139,"rRNA processing","BP",0.448979360081393
"GO:0006367","GO:0006367",0.000419789460020947,0.999965683117742,60,61,"transcription initiation at RNA polymerase II promoter","BP",0.466735595827799
"GO:0016072","GO:0016072",0.000448442866623694,0.999843443701142,146,156,"rRNA metabolic process","BP",0.466735595827799
"GO:0030490","GO:0030490",0.00047997490358502,1,45,45,"maturation of SSU-rRNA","BP",0.466735595827799
"GO:0006352","GO:0006352",0.000547424600593994,0.999922596482859,70,72,"DNA-templated transcription initiation","BP",0.491376743410101
"GO:0032040","GO:0032040",0.000604290858442015,1,44,44,"small-subunit processome","CC",0.50367643051142
"GO:0015935","GO:0015935",0.00124834961936276,0.999752085180083,71,74,"small ribosomal subunit","CC",0.904951169101901
"GO:0046467","GO:0046467",0.00132255177973129,0.999734746355723,75,78,"membrane lipid biosynthetic process","BP",0.904951169101901
"GO:0005262","GO:0005262",0.00135411356700862,1,40,40,"calcium channel activity","MF",0.904951169101901
"GO:0030880","GO:0030880",0.00145102717960612,0.999864738974137,52,53,"RNA polymerase complex","CC",0.904951169101901
"GO:0000428","GO:0000428",0.00168295950901601,0.999840430901796,51,52,"DNA-directed RNA polymerase complex","CC",0.904951169101901
"GO:0016591","GO:0016591",0.00168295950901601,0.999840430901796,51,52,"RNA polymerase II, holoenzyme","CC",0.904951169101901
"GO:0055029","GO:0055029",0.00168295950901601,0.999840430901796,51,52,"nuclear DNA-directed RNA polymerase complex","CC",0.904951169101901
"GO:0005509","GO:0005509",0.00177295197850172,0.999191725523769,181,197,"calcium ion binding","MF",0.904951169101901
"GO:0016053","GO:0016053",0.0018709258727971,0.999431654621722,100,106,"organic acid biosynthetic process","BP",0.904951169101901
"GO:0046394","GO:0046394",0.0018709258727971,0.999431654621722,100,106,"carboxylic acid biosynthetic process","BP",0.904951169101901
"GO:0042274","GO:0042274",0.00193879331798333,0.999597685547372,70,73,"ribosomal small subunit biogenesis","BP",0.904951169101901
"GO:0042254","GO:0042254",0.00235726269113673,0.998869534022308,190,208,"ribosome biogenesis","BP",1
"GO:0022626","GO:0022626",0.00242944142030961,0.999248901973781,92,98,"cytosolic ribosome","CC",1
"GO:0000313","GO:0000313",0.00254103863035819,0.999361578334679,75,79,"organellar ribosome","CC",1
"GO:0005761","GO:0005761",0.00254103863035819,0.999361578334679,75,79,"mitochondrial ribosome","CC",1
"GO:0032543","GO:0032543",0.00278907915614068,0.999060497225838,101,108,"mitochondrial translation","BP",1
"GO:0034097","GO:0034097",0.00311538179876249,1,35,35,"response to cytokine","BP",1
"GO:0015934","GO:0015934",0.00356529766676031,0.998775999286152,97,104,"large ribosomal subunit","CC",1
"GO:0071011","GO:0071011",0.00384789063941015,0.99844876992279,126,136,"precatalytic spliceosome","CC",1
"GO:0016859","GO:0016859",0.00468048483966595,1,32,32,"cis-trans isomerase activity","MF",1
"GO:0000375","GO:0000375",0.00501839695392879,0.997194211847518,238,264,"RNA splicing, via transesterification reactions","BP",1
"GO:0000377","GO:0000377",0.00501839695392879,0.997194211847518,238,264,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",1
"GO:0000398","GO:0000398",0.00501839695392879,0.997194211847518,238,264,"mRNA splicing, via spliceosome","BP",1
"GO:0004866","GO:0004866",0.00503332936086026,0.998646472013495,71,75,"endopeptidase inhibitor activity","MF",1
"GO:0071345","GO:0071345",0.00602714054437478,1,31,31,"cellular response to cytokine stimulus","BP",1
"GO:0003755","GO:0003755",0.0065105345668002,1,30,30,"peptidyl-prolyl cis-trans isomerase activity","MF",1
"GO:0071013","GO:0071013",0.00700002963943859,0.997162234601223,112,121,"catalytic step 2 spliceosome","CC",1
"GO:0000462","GO:0000462",0.00763973702473741,1,29,29,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1
"GO:0019221","GO:0019221",0.0083988813222039,1,29,29,"cytokine-mediated signaling pathway","BP",1
"GO:0005929","GO:0005929",0.00884922170839938,0.99561711094528,155,170,"cilium","CC",1
"GO:0007271","GO:0007271",0.00932672491180868,1,28,28,"synaptic transmission, cholinergic","BP",1
"GO:0004867","GO:0004867",0.00934698406025842,0.99770579219503,57,60,"serine-type endopeptidase inhibitor activity","MF",1
"GO:0031514","GO:0031514",0.00934936172035451,0.998888948557383,40,41,"motile cilium","CC",1
"GO:0015085","GO:0015085",0.00994190034864697,0.998067653513656,50,52,"calcium ion transmembrane transporter activity","MF",1
"GO:0016887","GO:0016887",0.0100490721979901,0.994778962954138,169,186,"ATP hydrolysis activity","MF",1
"GO:0030414","GO:0030414",0.0106727578618704,0.996523262996146,73,78,"peptidase inhibitor activity","MF",1
"GO:0008652","GO:0008652",0.010761142109652,0.998693798562599,39,40,"amino acid biosynthetic process","BP",1
"GO:0030686","GO:0030686",0.0112434030485154,1,27,27,"90S preribosome","CC",1
"GO:0097729","GO:0097729",0.0113865067992448,1,27,27,"9+2 motile cilium","CC",1
"GO:0046666","GO:0046666",0.011644995712055,1,27,27,"retinal cell programmed cell death","BP",1
"GO:0019843","GO:0019843",0.0117245835785947,0.998562587737212,37,38,"rRNA binding","MF",1
"GO:0097526","GO:0097526",0.0124792146820502,1,25,25,"spliceosomal tri-snRNP complex","CC",1
"GO:0005681","GO:0005681",0.0132808436665446,0.992964907185686,163,180,"spliceosomal complex","CC",1
"GO:0034612","GO:0034612",0.0137463443131403,1,26,26,"response to tumor necrosis factor","BP",1
"GO:0071356","GO:0071356",0.0137463443131403,1,26,26,"cellular response to tumor necrosis factor","BP",1
"GO:0140053","GO:0140053",0.0140127396287133,0.993518067457112,116,127,"mitochondrial gene expression","BP",1
"GO:0022613","GO:0022613",0.0154612890079513,0.990305904519678,259,291,"ribonucleoprotein complex biogenesis","BP",1
"GO:0006270","GO:0006270",0.0157904154282256,1,25,25,"DNA replication initiation","BP",1
"GO:0046667","GO:0046667",0.0161937648322313,1,25,25,"compound eye retinal cell programmed cell death","BP",1
"GO:0052689","GO:0052689",0.0173802791372297,0.992061182043884,110,120,"carboxylic ester hydrolase activity","MF",1
"GO:0070063","GO:0070063",0.0182209067273147,1,24,24,"RNA polymerase binding","MF",1
"GO:0036126","GO:0036126",0.0185674393132934,1,24,24,"sperm flagellum","CC",1
"GO:0005634","GO:0005634",0.0189266377639707,0.983792489213621,2274,2645,"nucleus","CC",1
"GO:0140657","GO:0140657",0.0189332465211678,0.987305992817151,328,370,"ATP-dependent activity","MF",1
"GO:0007354","GO:0007354",0.0190145648721506,1,24,24,"zygotic determination of anterior/posterior axis, embryo","BP",1
"GO:0033209","GO:0033209",0.0191526177797807,1,24,24,"tumor necrosis factor-mediated signaling pathway","BP",1
