"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0022626","GO:0022626",2.89555141964645e-84,1,80,98,"cytosolic ribosome","CC",3.37881895158544e-80
"GO:0002181","GO:0002181",1.56310503936034e-75,1,83,123,"cytoplasmic translation","BP",9.11993635214789e-72
"GO:0042254","GO:0042254",4.57963070969219e-67,1,97,208,"ribosome biogenesis","BP",1.78132369171327e-63
"GO:0005840","GO:0005840",3.78413512322533e-54,1,83,190,"ribosome","CC",1.10392681882291e-50
"GO:0022613","GO:0022613",6.63229855012388e-54,1,100,291,"ribonucleoprotein complex biogenesis","BP",1.54784583562791e-50
"GO:0022625","GO:0022625",1.66520619288816e-53,1,48,55,"cytosolic large ribosomal subunit","CC",3.23854851080199e-50
"GO:0044391","GO:0044391",7.05697756868961e-53,1,79,175,"ribosomal subunit","CC",1.17639816070056e-49
"GO:0003735","GO:0003735",2.07371098112737e-52,1,79,177,"structural constituent of ribosome","MF",3.02476667984691e-49
"GO:0006412","GO:0006412",4.21545205369465e-44,1,109,430,"translation","BP",5.46556777939588e-41
"GO:0005730","GO:0005730",4.72274954308571e-44,1,80,227,"nucleolus","CC",5.51097644182671e-41
"GO:1990904","GO:1990904",5.71229503157089e-44,1,128,592,"ribonucleoprotein complex","CC",6.05970642940006e-41
"GO:0043043","GO:0043043",1.11856643049455e-42,1,113,477,"peptide biosynthetic process","BP",1.08771263978674e-39
"GO:0043604","GO:0043604",2.34477277226973e-42,1,117,514,"amide biosynthetic process","BP",2.10470411381658e-39
"GO:0006518","GO:0006518",1.4199720802691e-41,1,117,523,"peptide metabolic process","BP",1.18354672890429e-38
"GO:0043603","GO:0043603",1.96411508723705e-39,1,124,611,"amide metabolic process","BP",1.52795059686461e-36
"GO:0006364","GO:0006364",7.99047705107308e-38,1,59,139,"rRNA processing","BP",5.82755479431074e-35
"GO:0042273","GO:0042273",2.38803016512241e-37,1,40,58,"ribosomal large subunit biogenesis","BP",1.63917199981255e-34
"GO:0030684","GO:0030684",8.67363370200879e-36,1,45,81,"preribosome","CC",5.6229239815967e-33
"GO:0016072","GO:0016072",1.5093969855419e-35,1,60,156,"rRNA metabolic process","BP",9.27008074962547e-33
"GO:0005829","GO:0005829",5.26912888272611e-33,1,138,853,"cytosol","CC",3.07427324662655e-30
"GO:0015934","GO:0015934",7.0498804561305e-33,1,48,104,"large ribosomal subunit","CC",3.91738357345651e-30
"GO:0022627","GO:0022627",1.15124222850952e-31,1,32,43,"cytosolic small ribosomal subunit","CC",6.10629343839891e-29
"GO:1901566","GO:1901566",3.00057063284084e-30,1,141,932,"organonitrogen compound biosynthetic process","BP",1.52233298759216e-27
"GO:0034470","GO:0034470",1.36092600422648e-29,1,72,279,"ncRNA processing","BP",6.6169356430495e-27
"GO:0005198","GO:0005198",8.88938015680875e-29,1,86,408,"structural molecule activity","MF",4.14920708199205e-26
"GO:0043228","GO:0043228",6.83891058648513e-28,1,184,1535,"non-membrane-bounded organelle","CC",2.955675838285e-25
"GO:0043232","GO:0043232",6.83891058648513e-28,1,184,1535,"intracellular non-membrane-bounded organelle","CC",2.955675838285e-25
"GO:0034660","GO:0034660",7.18627631958278e-27,1,77,348,"ncRNA metabolic process","BP",2.99488065618612e-24
"GO:0032040","GO:0032040",4.33031145313154e-22,1,26,44,"small-subunit processome","CC",1.74242773608938e-19
"GO:0042274","GO:0042274",1.70613614895794e-21,1,32,73,"ribosomal small subunit biogenesis","BP",6.63630090739673e-19
"GO:0015935","GO:0015935",3.28842340127503e-21,1,32,74,"small ribosomal subunit","CC",1.23782621514446e-18
"GO:0031981","GO:0031981",1.77165932638987e-20,1,100,684,"nuclear lumen","CC",6.46046646238857e-18
"GO:0003723","GO:0003723",1.51672782195538e-19,1,96,655,"RNA binding","MF",5.36324150133252e-17
"GO:0034641","GO:0034641",4.60526176086796e-18,1,238,2652,"cellular nitrogen compound metabolic process","BP",1.58055292610495e-15
"GO:0000470","GO:0000470",1.94135959194011e-17,1,18,26,"maturation of LSU-rRNA","BP",6.47249287952833e-15
