"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0009117","GO:0009117",1.06377607794519e-15,1,37,173,"nucleotide metabolic process","BP",6.95169515172309e-12
"GO:0009152","GO:0009152",1.80199939963364e-15,1,26,85,"purine ribonucleotide biosynthetic process","BP",6.95169515172309e-12
"GO:0006164","GO:0006164",2.50511854113342e-15,1,27,93,"purine nucleotide biosynthetic process","BP",6.95169515172309e-12
"GO:0006753","GO:0006753",2.94101382641218e-15,1,37,178,"nucleoside phosphate metabolic process","BP",6.95169515172309e-12
"GO:0046390","GO:0046390",2.97870218173069e-15,1,27,94,"ribose phosphate biosynthetic process","BP",6.95169515172309e-12
"GO:0006163","GO:0006163",5.81129831776208e-15,1,34,154,"purine nucleotide metabolic process","BP",1.05536108620081e-11
"GO:0009150","GO:0009150",6.33090033713746e-15,1,31,129,"purine ribonucleotide metabolic process","BP",1.05536108620081e-11
"GO:0019693","GO:0019693",8.60882831210036e-15,1,32,139,"ribose phosphate metabolic process","BP",1.25570521967374e-11
"GO:0009260","GO:0009260",1.44530538590117e-14,1,26,92,"ribonucleotide biosynthetic process","BP",1.87391872756452e-11
"GO:0044281","GO:0044281",1.64328805122296e-14,1,81,715,"small molecule metabolic process","BP",1.91755282697207e-11
"GO:0072521","GO:0072521",2.01315699306505e-14,1,36,178,"purine-containing compound metabolic process","BP",2.13559354109782e-11
"GO:0009259","GO:0009259",2.91106661344832e-14,1,31,136,"ribonucleotide metabolic process","BP",2.83076969269404e-11
"GO:0072522","GO:0072522",7.81716510074065e-14,1,27,105,"purine-containing compound biosynthetic process","BP",7.01680765850328e-11
"GO:0009165","GO:0009165",1.07120364527327e-13,1,27,107,"nucleotide biosynthetic process","BP",8.92848238335268e-11
"GO:1901293","GO:1901293",1.39553026503722e-13,1,27,108,"nucleoside phosphate biosynthetic process","BP",1.04251480489326e-10
"GO:0055086","GO:0055086",1.42944869982793e-13,1,40,230,"nucleobase-containing small molecule metabolic process","BP",1.04251480489326e-10
"GO:0006959","GO:0006959",3.61277958864703e-13,1,28,121,"humoral immune response","BP",2.4798544129366e-10
"GO:0019731","GO:0019731",7.38308404854297e-13,1,20,60,"antibacterial humoral response","BP",4.786289320136e-10
"GO:0019730","GO:0019730",9.66711553352711e-13,1,26,108,"antimicrobial humoral response","BP",5.93713532424883e-10
"GO:0050830","GO:0050830",3.70449940695023e-12,1,18,49,"defense response to Gram-positive bacterium","BP",2.16139017898511e-09
"GO:0009205","GO:0009205",1.35897844182908e-11,1,15,35,"purine ribonucleoside triphosphate metabolic process","BP",7.55139020843023e-09
"GO:0009144","GO:0009144",2.20630517426888e-11,1,15,36,"purine nucleoside triphosphate metabolic process","BP",1.17024432175198e-08
"GO:0046034","GO:0046034",2.80569456855756e-11,1,14,31,"ATP metabolic process","BP",1.42346304002166e-08
"GO:0005576","GO:0005576",2.94632453359933e-11,1,86,887,"extracellular region","CC",1.43252754094044e-08
"GO:0009199","GO:0009199",4.64988200194691e-11,1,15,38,"ribonucleoside triphosphate metabolic process","BP",2.17037892322874e-08
"GO:0019637","GO:0019637",4.97537919725400e-11,1,46,352,"organophosphate metabolic process","BP",2.23298845587527e-08
"GO:0009141","GO:0009141",1.87623179595787e-10,0.99999999998649,15,41,"nucleoside triphosphate metabolic process","BP",8.10879586186384e-08
"GO:0009145","GO:0009145",2.10233561368432e-10,0.999999999988788,13,29,"purine nucleoside triphosphate biosynthetic process","BP",8.45936354347666e-08
"GO:0009206","GO:0009206",2.10233561368432e-10,0.999999999988788,13,29,"purine ribonucleoside triphosphate biosynthetic process","BP",8.45936354347666e-08
"GO:0006754","GO:0006754",4.10427012035838e-10,0.999999999980613,12,25,"ATP biosynthetic process","BP",1.5964242678154e-07
