"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0009987","GO:0009987",1.15080838592757e-40,1,3325,7324,"cellular process","BP",1.34287830553888e-36
"GO:0005622","GO:0005622",1.14903256976008e-39,1,2830,6133,"intracellular anatomical structure","CC",6.70403052826518e-36
"GO:0032991","GO:0032991",3.61294711238042e-34,1,1349,2677,"protein-containing complex","CC",1.40531599514557e-30
"GO:0043229","GO:0043229",9.02828433427448e-30,1,2356,5091,"intracellular organelle","CC",2.63377624741622e-26
"GO:0005737","GO:0005737",2.0075118228407e-28,1,1963,4174,"cytoplasm","CC",4.68513109214562e-25
"GO:0110165","GO:0110165",2.99587589887281e-28,1,3641,8399,"cellular anatomical entity","CC",5.8264793106578e-25
"GO:0043226","GO:0043226",3.86752299083565e-28,1,2392,5198,"organelle","CC",6.44716082572303e-25
"GO:0034660","GO:0034660",7.56913809331288e-28,1,238,348,"ncRNA metabolic process","BP",1.10405340513585e-24
"GO:0043231","GO:0043231",1.93777804449073e-26,1,2091,4490,"intracellular membrane-bounded organelle","CC",2.51243688901804e-23
"GO:0034470","GO:0034470",2.92656090466721e-25,1,195,279,"ncRNA processing","BP",3.41500391965616e-22
"GO:0006396","GO:0006396",2.23942748716968e-23,1,365,618,"RNA processing","BP",2.375625395253e-20
"GO:0043227","GO:0043227",1.11979072193986e-22,1,2147,4674,"membrane-bounded organelle","CC",1.08890316119302e-19
"GO:0071840","GO:0071840",6.70840748286324e-22,1,1400,2859,"cellular component organization or biogenesis","BP",6.02156976288701e-19
"GO:0022613","GO:0022613",3.20395940009439e-21,1,191,291,"ribonucleoprotein complex biogenesis","BP",2.67050015997868e-18
"GO:0042254","GO:0042254",1.5712159259239e-19,1,144,208,"ribosome biogenesis","BP",1.2223012426404e-16
"GO:0005739","GO:0005739",1.22108555306461e-18,1,418,788,"mitochondrion","CC",8.90552957419437e-16
"GO:0044085","GO:0044085",3.17187198908659e-18,1,699,1348,"cellular component biogenesis","BP",2.17721024945008e-15
"GO:0008152","GO:0008152",6.75255470243061e-18,1,2435,5461,"metabolic process","BP",4.3775311568146e-15
"GO:0098798","GO:0098798",1.63442175037411e-17,1,157,251,"mitochondrial protein-containing complex","CC",1.00379302132187e-14
"GO:1902494","GO:1902494",7.22409605262776e-17,1,551,1056,"catalytic complex","CC",4.21489884190567e-14
"GO:0044237","GO:0044237",8.04438978976837e-17,1,2003,4397,"cellular metabolic process","BP",4.46999925984796e-14
"GO:0016072","GO:0016072",1.16821977431326e-16,1,112,156,"rRNA metabolic process","BP",6.19634388475518e-14
"GO:0006364","GO:0006364",1.5518042985639e-16,1,102,139,"rRNA processing","BP",7.87304537388787e-14
"GO:0043170","GO:0043170",6.74972485978811e-16,1,1902,4190,"macromolecule metabolic process","BP",3.28177247453614e-13
"GO:0140640","GO:0140640",2.09323972659974e-15,1,201,320,"catalytic activity, acting on a nucleic acid","MF",9.77040574787695e-13
"GO:0070013","GO:0070013",4.32639250857087e-15,1,449,860,"intracellular organelle lumen","CC",1.94171823778898e-12
"GO:0031974","GO:0031974",5.72806458538369e-15,1,449,861,"membrane-enclosed lumen","CC",2.38717091595865e-12
"GO:0043233","GO:0043233",5.72806458538369e-15,1,449,861,"organelle lumen","CC",2.38717091595865e-12
"GO:0016043","GO:0016043",1.90970711303029e-14,1,1286,2696,"cellular component organization","BP",7.68426631101738e-12
"GO:0006807","GO:0006807",7.57750897027461e-14,1,1999,4467,"nitrogen compound metabolic process","BP",2.94739840580448e-11
"GO:0065003","GO:0065003",2.88597205025253e-13,1,263,474,"protein-containing complex assembly","BP",1.0863357372386e-10
"GO:0071704","GO:0071704",3.02262988951544e-13,1,2282,5169,"organic substance metabolic process","BP",1.10222088064861e-10
"GO:0043228","GO:0043228",4.38232737121486e-13,1,748,1535,"non-membrane-bounded organelle","CC",1.50404053219724e-10
"GO:0043232","GO:0043232",4.38232737121486e-13,1,748,1535,"intracellular non-membrane-bounded organelle","CC",1.50404053219724e-10
"GO:0006119","GO:0006119",5.96299234050024e-13,1,78,107,"oxidative phosphorylation","BP",1.98806164632278e-10
"GO:1990904","GO:1990904",7.87523223862084e-13,1,307,592,"ribonucleoprotein complex","CC",2.55266902756852e-10
"GO:0003723","GO:0003723",8.7414330279624e-13,1,348,655,"RNA binding","MF",2.75685897306198e-10
"GO:0030684","GO:0030684",2.15765367029863e-12,1,63,81,"preribosome","CC",6.62570017860914e-10
"GO:0009059","GO:0009059",3.6130522201008e-12,1,1263,2726,"macromolecule biosynthetic process","BP",1.08104375272708e-09
"GO:0009058","GO:0009058",8.59096467908249e-12,1,1456,3190,"biosynthetic process","BP",2.42963017747864e-09
"GO:0044249","GO:0044249",8.73633509002539e-12,1,1433,3136,"cellular biosynthetic process","BP",2.42963017747864e-09
"GO:0034641","GO:0034641",8.7449196549921e-12,1,1226,2652,"cellular nitrogen compound metabolic process","BP",2.42963017747864e-09
"GO:0010467","GO:0010467",9.80852025172636e-12,1,1161,2498,"gene expression","BP",2.66175867017197e-09
"GO:1901576","GO:1901576",1.29200311785644e-11,1,1448,3175,"organic substance biosynthetic process","BP",3.42645099596972e-09
"GO:0006399","GO:0006399",1.48672266863599e-11,1,90,131,"tRNA metabolic process","BP",3.85523707118074e-09
"GO:0044238","GO:0044238",1.61005755324046e-11,1,2136,4847,"primary metabolic process","BP",4.08429599755715e-09
"GO:0042773","GO:0042773",4.67497866661708e-11,1,66,91,"ATP synthesis coupled electron transport","BP",1.13650679293239e-08
"GO:0042775","GO:0042775",4.67497866661708e-11,1,66,91,"mitochondrial ATP synthesis coupled electron transport","BP",1.13650679293239e-08
"GO:0022900","GO:0022900",5.83917406473449e-11,1,71,100,"electron transport chain","BP",1.39055759513034e-08
"GO:0070469","GO:0070469",6.34202912086289e-11,1,62,84,"respirasome","CC",1.45108113355586e-08
"GO:0098803","GO:0098803",6.34202912086289e-11,1,62,84,"respiratory chain complex","CC",1.45108113355586e-08
"GO:0098800","GO:0098800",7.72290943255809e-11,1,93,144,"inner mitochondrial membrane protein complex","CC",1.73305058016385e-08
"GO:0005634","GO:0005634",9.62361434130118e-11,1,1225,2645,"nucleus","CC",2.11882935374799e-08
"GO:0022402","GO:0022402",1.05966624943504e-10,1,312,567,"cell cycle process","BP",2.28986027123286e-08
"GO:0043933","GO:0043933",1.22457077160574e-10,1,401,783,"protein-containing complex organization","BP",2.59809387888498e-08
"GO:0007049","GO:0007049",1.2999593596082e-10,1,370,691,"cell cycle","BP",2.70879031558358e-08
"GO:0005730","GO:0005730",1.52050654984328e-10,1,136,227,"nucleolus","CC",3.09299894106567e-08
"GO:0009060","GO:0009060",1.53735485972927e-10,0.999999999962755,89,134,"aerobic respiration","BP",3.09299894106567e-08
"GO:0005746","GO:0005746",1.69226461970492e-10,0.999999999968918,61,83,"mitochondrial respirasome","CC",3.34695522836215e-08
"GO:0019646","GO:0019646",1.77907361902722e-10,0.99999999996668,62,85,"aerobic electron transport chain","BP",3.46000167673811e-08
"GO:0140098","GO:0140098",2.16726333994262e-10,1,132,214,"catalytic activity, acting on RNA","MF",4.1458681825886e-08
"GO:0006996","GO:0006996",2.37866652978185e-10,1,765,1586,"organelle organization","BP",4.47688060258457e-08
"GO:0022904","GO:0022904",3.18160420060199e-10,0.999999999934633,67,95,"respiratory electron transport chain","BP",5.89303800267058e-08
"GO:0031967","GO:0031967",4.00511930988048e-10,1,223,413,"organelle envelope","CC",7.19011341953775e-08
"GO:0031975","GO:0031975",4.00511930988048e-10,1,223,413,"envelope","CC",7.19011341953775e-08
"GO:0015980","GO:0015980",4.72655685492632e-10,0.999999999834394,114,183,"energy derivation by oxidation of organic compounds","BP",8.35669574850535e-08
"GO:0022607","GO:0022607",5.43210929082984e-10,1,571,1156,"cellular component assembly","BP",9.46078855443185e-08
"GO:0045333","GO:0045333",6.29382244947177e-10,0.999999999801969,92,142,"cellular respiration","BP",1.08003844357185e-07
"GO:0006139","GO:0006139",7.93204662323052e-10,1,1054,2256,"nucleobase-containing compound metabolic process","BP",1.34143553690546e-07
"GO:0006091","GO:0006091",8.31426956643848e-10,1,138,232,"generation of precursor metabolites and energy","BP",1.38598873672529e-07
"GO:0031981","GO:0031981",1.06388188450852e-09,1,351,684,"nuclear lumen","CC",1.74851235356759e-07
"GO:0043292","GO:0043292",1.22820733085401e-09,0.999999999758502,55,71,"contractile fiber","CC",1.99054879774104e-07
"GO:0099080","GO:0099080",2.23158973445565e-09,1,194,337,"supramolecular complex","CC",3.56718090566616e-07
