"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0022626","GO:0022626",7.82833154202024e-08,0.999999977694812,36,98,"cytosolic ribosome","CC",0.000913488007638342
"GO:0002181","GO:0002181",1.66672607393728e-07,0.999999944358167,43,123,"cytoplasmic translation","BP",0.000972451327838706
"GO:0009615","GO:0009615",8.66558297861343e-07,0.999999778278121,29,62,"response to virus","BP",0.00263840981906384
"GO:0022625","GO:0022625",1.24073473366076e-06,0.999999718780346,23,55,"cytosolic large ribosomal subunit","CC",0.00263840981906384
"GO:0051607","GO:0051607",1.35662515334502e-06,0.999999676044263,26,54,"defense response to virus","BP",0.00263840981906384
"GO:0140546","GO:0140546",1.35662515334502e-06,0.999999676044263,26,54,"defense response to symbiont","BP",0.00263840981906384
"GO:0006952","GO:0006952",3.15922406948711e-06,0.99999846968294,121,436,"defense response","BP",0.00440605016215522
"GO:0032783","GO:0032783",3.2150657307394e-06,1,8,8,"super elongation complex","CC",0.00440605016215522
"GO:0002920","GO:0002920",3.39827332756852e-06,0.999998914343846,34,82,"regulation of humoral immune response","BP",0.00440605016215522
"GO:0002759","GO:0002759",1.11960953186461e-05,0.999996299470935,32,79,"regulation of antimicrobial humoral response","BP",0.011043037175279
"GO:0009607","GO:0009607",1.23026380391316e-05,0.999992784155249,122,452,"response to biotic stimulus","BP",0.011043037175279
"GO:0043207","GO:0043207",1.23026380391316e-05,0.999992784155249,122,452,"response to external biotic stimulus","BP",0.011043037175279
"GO:0051707","GO:0051707",1.23026380391316e-05,0.999992784155249,122,452,"response to other organism","BP",0.011043037175279
"GO:0002440","GO:0002440",2.07013188474843e-05,0.999993181531891,30,74,"production of molecular mediator of immune response","BP",0.0161042459754196
"GO:0002700","GO:0002700",2.07013188474843e-05,0.999993181531891,30,74,"regulation of production of molecular mediator of immune response","BP",0.0161042459754196
"GO:0003735","GO:0003735",2.32813917291001e-05,0.999989487977745,48,177,"structural constituent of ribosome","MF",0.0169794100054293
"GO:0019899","GO:0019899",2.7129092698748e-05,0.99998374607793,118,421,"enzyme binding","MF",0.0179077233109228
"GO:0002697","GO:0002697",2.76235341157435e-05,0.999990710108174,30,75,"regulation of immune effector process","BP",0.0179077233109228
"GO:0044419","GO:0044419",3.16452640503997e-05,0.999980353970438,129,494,"biological process involved in interspecies interaction between organisms","BP",0.0194351887475849
"GO:0002252","GO:0002252",3.69016232646999e-05,0.999984743340095,41,115,"immune effector process","BP",0.0212967258283174
"GO:0098542","GO:0098542",3.83264412027307e-05,0.999976837116547,113,420,"defense response to other organism","BP",0.0212967258283174
"GO:0002775","GO:0002775",4.40878351712297e-05,0.999985016784996,29,73,"antimicrobial peptide production","BP",0.0223678673310034
"GO:0002784","GO:0002784",4.40878351712297e-05,0.999985016784996,29,73,"regulation of antimicrobial peptide production","BP",0.0223678673310034
"GO:0030497","GO:0030497",4.91232704161315e-05,0.999993021241979,12,21,"fatty acid elongation","BP",0.0238841434369099
