"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005576","GO:0005576",2.17240465299619e-09,1,44,887,"extracellular region","CC",2.53497898958126e-05
"GO:0062129","GO:0062129",7.84938365689995e-08,0.999999991800586,12,86,"chitin-based extracellular matrix","CC",0.000457972289461827
"GO:0042335","GO:0042335",7.62200125917604e-07,0.99999985810183,16,191,"cuticle development","BP",0.00260935848611071
"GO:0043292","GO:0043292",8.94458303577243e-07,0.999999908257449,10,71,"contractile fiber","CC",0.00260935848611071
"GO:0040003","GO:0040003",1.13797493982002e-06,0.999999810748306,14,151,"chitin-based cuticle development","BP",0.00265580591455197
"GO:0005214","GO:0005214",1.87175669205415e-06,0.999999758774071,11,95,"structural constituent of chitin-based cuticle","MF",0.00346552769303265
"GO:0042302","GO:0042302",2.07890083565246e-06,0.999999728906462,11,96,"structural constituent of cuticle","MF",0.00346552769303265
"GO:0009636","GO:0009636",1.22798117021633e-05,0.999998497816723,9,75,"response to toxic substance","BP",0.0179116403440679
"GO:0004867","GO:0004867",1.72315106809439e-05,0.999998147118661,8,60,"serine-type endopeptidase inhibitor activity","MF",0.0223416109039926
"GO:0017085","GO:0017085",2.29405863915437e-05,0.99999898795171,5,19,"response to insecticide","BP",0.0267693702602923
"GO:0005615","GO:0005615",3.24821592235441e-05,0.999988236774733,27,603,"extracellular space","CC",0.0311578707653505
"GO:0031012","GO:0031012",3.32716316174806e-05,0.999992416943637,14,202,"extracellular matrix","CC",0.0311578707653505
"GO:0030016","GO:0030016",3.50566376778411e-05,0.999995799702061,8,66,"myofibril","CC",0.0311578707653505
"GO:0008061","GO:0008061",3.73819685247156e-05,0.999993923465747,10,107,"chitin binding","MF",0.0311578707653505
"GO:0016491","GO:0016491",4.26369167304595e-05,0.999984946727295,25,544,"oxidoreductase activity","MF",0.0331686787551821
"GO:0014074","GO:0014074",5.73345170129675e-05,0.999998256563375,4,12,"response to purine-containing compound","BP",0.0418147799390199
"GO:0004866","GO:0004866",8.88625064058059e-05,0.9999877201883,8,75,"endopeptidase inhibitor activity","MF",0.060996269838197
"GO:0005509","GO:0005509",0.00010512607587043,0.999974821340403,13,197,"calcium ion binding","MF",0.0681508988517802
"GO:0030414","GO:0030414",0.00011758357603189,0.999983032856779,8,78,"peptidase inhibitor activity","MF",0.0686041374358061
"GO:0061135","GO:0061135",0.00011758357603189,0.999983032856779,8,78,"endopeptidase regulator activity","MF",0.0686041374358061
"GO:0140678","GO:0140678",0.000130909590511954,0.999975036857554,10,124,"molecular function inhibitor activity","MF",0.068700914810443
"GO:0008365","GO:0008365",0.000132657827842753,0.999998097698797,3,6,"adult chitin-based cuticle development","BP",0.068700914810443
"GO:0030312","GO:0030312",0.000135411863967794,0.999964577406489,14,230,"external encapsulating structure","CC",0.068700914810443
"GO:0030017","GO:0030017",0.000172095606437515,0.999977964268655,7,62,"sarcomere","CC",0.0836743179799734
"GO:0009404","GO:0009404",0.000228872170922749,0.999995627963505,3,7,"toxin metabolic process","BP",0.102719590865291
"GO:0017143","GO:0017143",0.000228872170922749,0.999995627963505,3,7,"insecticide metabolic process","BP",0.102719590865291
"GO:0004857","GO:0004857",0.000291730956014608,0.999944590207691,9,112,"enzyme inhibitor activity","MF",0.126081797249424
"GO:0061134","GO:0061134",0.000319527197208914,0.99994610912448,8,90,"peptidase regulator activity","MF",0.130537295624812
"GO:0016620","GO:0016620",0.000324413537845536,0.999972547624643,5,32,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","MF",0.130537295624812
"GO:0046680","GO:0046680",0.000361027782539741,0.999991387182287,3,8,"response to DDT","BP",0.138768596131793
"GO:0008010","GO:0008010",0.000368654253156705,0.999946034743464,7,70,"structural constituent of chitin-based larval cuticle","MF",0.138768596131793
"GO:0003012","GO:0003012",0.000434548888056629,0.999960537980065,5,34,"muscle system process","BP",0.1584609679604
"GO:0031000","GO:0031000",0.000533906427756131,0.999984729508848,3,9,"response to caffeine","BP",0.1887925486511
"GO:0016903","GO:0016903",0.00117349913981557,0.999864513869403,5,42,"oxidoreductase activity, acting on the aldehyde or oxo group of donors","MF",0.401816518007575
"GO:0006754","GO:0006754",0.00120520851232026,0.999904553220568,4,25,"ATP biosynthetic process","BP",0.401816518007575
"GO:0036379","GO:0036379",0.00134011552883988,0.999942665483025,3,12,"myofilament","CC",0.416408148894163
"GO:0016460","GO:0016460",0.0013401155290274,0.999942665483014,3,12,"myosin II complex","CC",0.416408148894163
"GO:0043169","GO:0043169",0.00135602962190232,0.999323730155995,33,1000,"cation binding","MF",0.416408148894163
"GO:0046872","GO:0046872",0.00176107023495433,0.999115779539138,32,975,"metal ion binding","MF",0.526921245427745
"GO:0099081","GO:0099081",0.00212079928036202,0.999368731994825,11,207,"supramolecular polymer","CC",0.584929755445414
"GO:0009145","GO:0009145",0.00213149720769553,0.999799547962841,4,29,"purine nucleoside triphosphate biosynthetic process","BP",0.584929755445414
"GO:0009206","GO:0009206",0.00213149720769553,0.999799547962841,4,29,"purine ribonucleoside triphosphate biosynthetic process","BP",0.584929755445414
"GO:0010884","GO:0010884",0.00215545286521148,0.999887500696468,3,14,"positive regulation of lipid storage","BP",0.584929755445414
"GO:1905952","GO:1905952",0.00242298477510895,0.999763171976302,4,30,"regulation of lipid localization","BP",0.642586575926052
"GO:0015078","GO:0015078",0.00250818708482298,0.9995613602058,6,72,"proton transmembrane transporter activity","MF",0.650400779839986
"GO:0080019","GO:0080019",0.00265653741664711,0.999848885342901,3,15,"alcohol-forming very long-chain fatty acyl-CoA reductase activity","MF",0.673894241627284
"GO:0046034","GO:0046034",0.00274075831776402,0.99972198664368,4,31,"ATP metabolic process","BP",0.680466144893369
