"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0050830","GO:0050830",5.12749502338384e-21,1,17,49,"defense response to Gram-positive bacterium","BP",5.9832739427866e-17
"GO:0019731","GO:0019731",4.72324400611735e-20,1,17,60,"antibacterial humoral response","BP",2.75577671536917e-16
"GO:0009617","GO:0009617",1.64374943408643e-18,1,26,269,"response to bacterium","BP",6.39363738211817e-15
"GO:0005576","GO:0005576",3.38999416820207e-18,1,44,887,"extracellular region","CC",9.88946048718749e-15
"GO:0006959","GO:0006959",5.71356439030658e-18,1,19,121,"humoral immune response","BP",1.33343165740975e-14
"GO:0019730","GO:0019730",3.25465857295072e-16,1,17,108,"antimicrobial humoral response","BP",6.32976848129365e-13
"GO:0042742","GO:0042742",4.0955147805054e-16,1,23,247,"defense response to bacterium","BP",6.8272231391025e-13
"GO:0009607","GO:0009607",1.3098300479997e-15,1,28,452,"response to biotic stimulus","BP",1.52844068301085e-12
"GO:0043207","GO:0043207",1.3098300479997e-15,1,28,452,"response to external biotic stimulus","BP",1.52844068301085e-12
"GO:0051707","GO:0051707",1.3098300479997e-15,1,28,452,"response to other organism","BP",1.52844068301085e-12
"GO:0044419","GO:0044419",1.39229300626981e-14,1,28,494,"biological process involved in interspecies interaction between organisms","BP",1.47696973546931e-11
"GO:0006955","GO:0006955",4.87976476335269e-14,1,22,311,"immune response","BP",4.74516458529688e-11
"GO:0098542","GO:0098542",1.16550572983142e-13,1,25,420,"defense response to other organism","BP",1.04617587395407e-10
"GO:0006952","GO:0006952",2.81410272424697e-13,1,25,436,"defense response","BP",2.34555462065985e-10
"GO:0050829","GO:0050829",1.55533798181602e-12,1,15,119,"defense response to Gram-negative bacterium","BP",1.20994926065407e-09
"GO:0002376","GO:0002376",1.4312181813031e-11,1,22,416,"immune system process","BP",1.04380530985162e-08
"GO:0005615","GO:0005615",1.28186607159196e-10,0.999999999979952,28,603,"extracellular space","CC",8.79887952318035e-08
"GO:0002213","GO:0002213",6.22402978822108e-10,0.999999999996789,6,9,"defense response to insect","BP",3.85152056462168e-07
"GO:0009605","GO:0009605",6.27122210367743e-10,0.999999999878978,28,818,"response to external stimulus","BP",3.85152056462168e-07
"GO:0006950","GO:0006950",6.47662408700009e-09,0.999999998400585,33,1208,"response to stress","BP",3.77878632356021e-06
"GO:0042834","GO:0042834",5.7342550590211e-07,0.999999989386653,5,14,"peptidoglycan binding","MF",0.000318633439446272
"GO:1900424","GO:1900424",9.76316957767523e-07,0.999999929099756,8,84,"regulation of defense response to bacterium","BP",0.000517847390008601
"GO:0000270","GO:0000270",1.29789292740631e-06,0.999999989235847,4,7,"peptidoglycan metabolic process","BP",0.000631046357079344
"GO:0009253","GO:0009253",1.29789292740631e-06,0.999999989235847,4,7,"peptidoglycan catabolic process","BP",0.000631046357079344
"GO:0031012","GO:0031012",1.5311774219156e-06,0.999999783391163,12,202,"extracellular matrix","CC",0.000714692373453327
"GO:0006027","GO:0006027",3.39206456591405e-06,0.999999956588735,4,9,"glycosaminoglycan catabolic process","BP",0.00152238466998658
"GO:0040003","GO:0040003",6.16543759642826e-06,0.999999196063877,10,151,"chitin-based cuticle development","BP",0.00266461078936005
"GO:0030312","GO:0030312",6.65190034448397e-06,0.999998906674357,12,230,"external encapsulating structure","CC",0.00277217946856369
"GO:0050778","GO:0050778",8.46023137082472e-06,0.999998999138427,9,155,"positive regulation of immune response","BP",0.00340422206435013
"GO:0002833","GO:0002833",1.05213057207238e-05,0.999998719886905,9,157,"positive regulation of response to biotic stimulus","BP",0.00409243721517087
"GO:0031349","GO:0031349",1.1746298632795e-05,0.999998549842627,9,160,"positive regulation of defense response","BP",0.00442153415309953
"GO:0002684","GO:0002684",1.49073713170452e-05,0.999998100711803,9,166,"positive regulation of immune system process","BP",0.00543606612183127
"GO:0062129","GO:0062129",1.66186288617422e-05,0.999998212560522,8,86,"chitin-based extracellular matrix","CC",0.00566898088057951
