"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005739","GO:0005739",4.7344901569322e-42,1,283,788,"mitochondrion","CC",5.52467656412418e-38
"GO:0005622","GO:0005622",1.44204669023132e-36,1,1257,6133,"intracellular anatomical structure","CC",8.41362141415462e-33
"GO:0034660","GO:0034660",1.39787742048134e-33,1,152,348,"ncRNA metabolic process","BP",5.43727720653225e-30
"GO:0043231","GO:0043231",8.1791042385657e-31,1,966,4490,"intracellular membrane-bounded organelle","CC",2.38604918399558e-27
"GO:0005737","GO:0005737",1.22254214565354e-30,1,911,4174,"cytoplasm","CC",2.85316885952622e-27
"GO:0098798","GO:0098798",1.36624401370933e-27,1,115,251,"mitochondrial protein-containing complex","CC",2.65711689932903e-24
"GO:0034470","GO:0034470",3.81977818012581e-27,1,122,279,"ncRNA processing","BP",6.36757022626973e-24
"GO:0043229","GO:0043229",6.52845653378814e-27,1,1050,5091,"intracellular organelle","CC",9.52256991159672e-24
"GO:0043227","GO:0043227",2.96691439378456e-26,1,978,4674,"membrane-bounded organelle","CC",3.84676934011912e-23
"GO:0006364","GO:0006364",8.42706927177822e-25,1,76,139,"rRNA processing","BP",9.833547133238e-22
"GO:0043226","GO:0043226",1.17693727018755e-24,1,1058,5198,"organelle","CC",1.24851645507441e-21
"GO:0016072","GO:0016072",2.06241023066124e-24,1,81,156,"rRNA metabolic process","BP",2.00552208179884e-21
"GO:0032991","GO:0032991",3.65250534245674e-24,1,615,2677,"protein-containing complex","CC",3.27854498777905e-21
"GO:0008152","GO:0008152",8.27374213080424e-24,1,1100,5461,"metabolic process","BP",6.89616406602533e-21
"GO:0042254","GO:0042254",9.93151509247222e-24,1,96,208,"ribosome biogenesis","BP",7.72605664093722e-21
"GO:0030684","GO:0030684",6.93743985695077e-23,1,53,81,"preribosome","CC",5.05956160567241e-20
"GO:0070013","GO:0070013",4.38668044917066e-22,1,250,860,"intracellular organelle lumen","CC",3.01106906831602e-19
"GO:0031974","GO:0031974",5.21479573509669e-22,1,250,861,"membrane-enclosed lumen","CC",3.20270797014964e-19
