"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0022626","GO:0022626",3.63360788606684e-47,1,88,98,"cytosolic ribosome","CC",4.2400570422514e-43
"GO:0002181","GO:0002181",2.83516655663804e-36,1,94,123,"cytoplasmic translation","BP",1.65417792747047e-32
"GO:0022625","GO:0022625",4.03611338569447e-31,1,52,55,"cytosolic large ribosomal subunit","CC",1.56991356992229e-27
"GO:0044391","GO:0044391",1.43267312949601e-23,1,99,175,"ribosomal subunit","CC",4.17946568702224e-20
"GO:0003735","GO:0003735",6.4353149564245e-23,1,99,177,"structural constituent of ribosome","MF",1.50187380453035e-19
"GO:0005840","GO:0005840",9.31881609477804e-23,1,104,190,"ribosome","CC",1.81235441683275e-19
"GO:0005576","GO:0005576",1.34218473886051e-22,1,344,887,"extracellular region","CC",2.23742195968046e-19
"GO:1901566","GO:1901566",7.29091706930108e-18,1,351,932,"organonitrogen compound biosynthetic process","BP",9.85904998964409e-15
"GO:0022627","GO:0022627",7.60403204274546e-18,1,36,43,"cytosolic small ribosomal subunit","CC",9.85904998964409e-15
"GO:0043603","GO:0043603",6.87725434024745e-15,1,238,611,"amide metabolic process","BP",7.74293659547033e-12
"GO:0006082","GO:0006082",7.29902327107495e-15,1,155,342,"organic acid metabolic process","BP",7.74293659547033e-12
"GO:0043436","GO:0043436",1.21752918044571e-14,1,153,338,"oxoacid metabolic process","BP",1.1165353525745e-11
"GO:0015934","GO:0015934",1.24389061474578e-14,1,59,104,"large ribosomal subunit","CC",1.1165353525745e-11
"GO:0006518","GO:0006518",1.40498382057408e-14,1,208,523,"peptide metabolic process","BP",1.17105401444849e-11
"GO:0019752","GO:0019752",2.12577272990908e-14,1,152,337,"carboxylic acid metabolic process","BP",1.65370946568727e-11
"GO:0005829","GO:0005829",2.65063029648581e-14,1,317,853,"cytosol","CC",1.9331378081058e-11
"GO:0005615","GO:0005615",3.54261536617727e-14,1,228,603,"extracellular space","CC",2.43169286517192e-11
"GO:0043043","GO:0043043",4.45095909130567e-14,1,191,477,"peptide biosynthetic process","BP",2.88545786869144e-11
"GO:0044281","GO:0044281",6.05252389643325e-14,1,275,715,"small molecule metabolic process","BP",3.71720533407787e-11
"GO:0006412","GO:0006412",1.160613239199e-13,1,174,430,"translation","BP",6.57541690557886e-11
"GO:0043604","GO:0043604",1.18333837532913e-13,1,202,514,"amide biosynthetic process","BP",6.57541690557886e-11
"GO:0015935","GO:0015935",3.25279624393226e-10,0.999999999941772,41,74,"small ribosomal subunit","CC",1.72531269865662e-07
"GO:0007610","GO:0007610",7.63434341130607e-10,1,207,538,"behavior","BP",3.86722109069219e-07
"GO:0016491","GO:0016491",7.95383547661432e-10,1,203,544,"oxidoreductase activity","MF",3.86722109069219e-07
"GO:0006629","GO:0006629",1.52402247391908e-09,1,190,499,"lipid metabolic process","BP",7.11352729926471e-07
"GO:0055085","GO:0055085",3.85531105857817e-09,1,239,657,"transmembrane transport","BP",1.73029325932879e-06
"GO:0005886","GO:0005886",4.31807045245615e-09,1,415,1219,"plasma membrane","CC",1.86620607813744e-06
"GO:0030001","GO:0030001",8.4922700816354e-09,1,107,248,"metal ion transport","BP",3.53915355652155e-06
"GO:0003824","GO:0003824",9.19717311732423e-09,1,1006,3384,"catalytic activity","MF",3.70075217607091e-06
"GO:0016053","GO:0016053",1.098721629714e-08,0.999999996591955,55,106,"organic acid biosynthetic process","BP",4.13580087004278e-06
"GO:0046394","GO:0046394",1.098721629714e-08,0.999999996591955,55,106,"carboxylic acid biosynthetic process","BP",4.13580087004278e-06
"GO:0044282","GO:0044282",1.4942707623742e-08,0.999999994712028,65,133,"small molecule catabolic process","BP",5.44895172692018e-06
"GO:0006631","GO:0006631",1.54179344924992e-08,0.999999994881786,59,117,"fatty acid metabolic process","BP",5.45187507857494e-06
"GO:0006811","GO:0006811",1.67630850593909e-08,1,155,397,"monoatomic ion transport","BP",5.75318939876565e-06
"GO:0016054","GO:0016054",2.05636562906641e-08,0.999999994025628,49,91,"organic acid catabolic process","BP",6.59493298820978e-06
"GO:0046395","GO:0046395",2.05636562906641e-08,0.999999994025628,49,91,"carboxylic acid catabolic process","BP",6.59493298820978e-06
"GO:0030054","GO:0030054",2.09111766701313e-08,1,178,459,"cell junction","CC",6.59493298820978e-06
"GO:0032787","GO:0032787",2.38373378868183e-08,0.999999990423063,78,170,"monocarboxylic acid metabolic process","BP",7.31994462634954e-06
"GO:0006812","GO:0006812",2.70159387214582e-08,1,132,329,"monoatomic cation transport","BP",8.08330740873578e-06
"GO:0016020","GO:0016020",2.91885829690871e-08,1,804,2628,"membrane","CC",8.51503936665693e-06
"GO:0045202","GO:0045202",3.1131338552385e-08,1,132,323,"synapse","CC",8.8602826723849e-06
"GO:0044255","GO:0044255",3.51367812274784e-08,1,140,358,"cellular lipid metabolic process","BP",9.7621690510344e-06
"GO:0008652","GO:0008652",5.18170187651436e-08,0.999999991691845,27,40,"amino acid biosynthetic process","BP",1.40616928365223e-05
"GO:0072329","GO:0072329",9.75268208908356e-08,0.999999982565113,28,43,"monocarboxylic acid catabolic process","BP",2.58645562039809e-05
"GO:0050830","GO:0050830",1.04910098686709e-07,0.999999978937163,29,49,"defense response to Gram-positive bacterium","BP",2.72043542572267e-05
"GO:0005811","GO:0005811",1.08831358952895e-07,0.999999990449128,19,24,"lipid droplet","CC",2.76076766874203e-05
"GO:0009605","GO:0009605",1.31497368707595e-07,1,279,818,"response to external stimulus","BP",3.26477190521049e-05
"GO:0098793","GO:0098793",1.72316450121337e-07,0.999999926014143,79,173,"presynapse","CC",4.16187668720467e-05
"GO:0034220","GO:0034220",1.74763868088978e-07,1,113,280,"monoatomic ion transmembrane transport","BP",4.16187668720467e-05
"GO:0006520","GO:0006520",2.36027473486582e-07,0.999999905976845,66,143,"amino acid metabolic process","BP",5.50840917622985e-05
"GO:0009062","GO:0009062",2.94043336032241e-07,0.999999947366611,26,40,"fatty acid catabolic process","BP",6.72782683952984e-05
"GO:0050890","GO:0050890",3.05148127315058e-07,0.9999998703386,75,161,"cognition","BP",6.84764134161425e-05
"GO:0065008","GO:0065008",3.82941950236991e-07,1,311,916,"regulation of biological quality","BP",8.43122569304802e-05
"GO:0005215","GO:0005215",4.64138214930758e-07,1,261,765,"transporter activity","MF",0.000100296830185686
"GO:0007611","GO:0007611",5.14848597721901e-07,0.999999778411356,74,160,"learning or memory","BP",0.000109232150669397
"GO:0003008","GO:0003008",5.98818423164306e-07,1,204,577,"system process","BP",0.000124778788926862
"GO:0048878","GO:0048878",6.40768724059715e-07,1,104,260,"chemical homeostasis","BP",0.000131177723527242
"GO:0046873","GO:0046873",8.01360075082143e-07,0.999999631285979,81,186,"metal ion transmembrane transporter activity","MF",0.000161225357174716
"GO:0046906","GO:0046906",8.37755459605172e-07,0.999999666645783,60,130,"tetrapyrrole binding","MF",0.000165690990815809
"GO:1901605","GO:1901605",9.22324381421644e-07,0.999999702808492,43,84,"alpha-amino acid metabolic process","BP",0.000179376720113486
"GO:1901607","GO:1901607",9.86072024861493e-07,0.999999831080625,23,35,"alpha-amino acid biosynthetic process","BP",0.000188630728821455
"GO:0044283","GO:0044283",1.27418222669306e-06,0.999999396525034,82,197,"small molecule biosynthetic process","BP",0.000237515761266641
"GO:0016042","GO:0016042",1.28232864511084e-06,0.999999489548166,58,126,"lipid catabolic process","BP",0.000237515761266641
"GO:0020037","GO:0020037",1.48527603797642e-06,0.999999399493501,59,129,"heme binding","MF",0.000270807595111669
"GO:0016616","GO:0016616",1.86480745065408e-06,0.999999321931664,48,101,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",0.000334775971410499
"GO:0008324","GO:0008324",2.08063699231695e-06,0.999999258396556,111,283,"monoatomic cation transmembrane transporter activity","MF",0.000367862925202219
"GO:0019098","GO:0019098",2.16191473275855e-06,0.999999056580882,66,151,"reproductive behavior","BP",0.000376528104724768
"GO:0004497","GO:0004497",2.49371269712095e-06,0.999999075156731,49,102,"monooxygenase activity","MF",0.000427928433275064
"GO:1901564","GO:1901564",3.03539587504965e-06,0.999997789331691,815,2779,"organonitrogen compound metabolic process","BP",0.000513333832839918
"GO:0034440","GO:0034440",3.15091689377312e-06,0.999999459647837,21,32,"lipid oxidation","BP",0.00052525784619198
"GO:0005198","GO:0005198",3.93572016892172e-06,0.999998059578926,138,408,"structural molecule activity","MF",0.000646843924664049
"GO:0098655","GO:0098655",4.28648535702009e-06,0.999998054881264,99,250,"monoatomic cation transmembrane transport","BP",0.000694708300431492
"GO:0010876","GO:0010876",5.23276423924151e-06,0.999997706909318,62,141,"lipid localization","BP",0.00083645377955766
