"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0071944","GO:0071944",1.61988123844993e-21,1,441,1526,"cell periphery","CC",1.89023941714723e-17
"GO:0005886","GO:0005886",1.83665410710162e-17,1,359,1219,"plasma membrane","CC",1.07159583878844e-13
"GO:0005576","GO:0005576",4.07845716632808e-14,1,232,887,"extracellular region","CC",1.58638388912941e-10
"GO:0005506","GO:0005506",6.74040066973205e-13,1,63,136,"iron ion binding","MF",1.96634338537758e-09
"GO:0016020","GO:0016020",5.6254224539972e-12,1,628,2628,"membrane","CC",1.31286109231387e-08
"GO:0048856","GO:0048856",4.39173380432848e-11,1,604,2481,"anatomical structure development","BP",8.54119029378483e-08
"GO:0004497","GO:0004497",6.89448013128789e-11,1,49,102,"monooxygenase activity","MF",1.14930983788569e-07
"GO:0007275","GO:0007275",1.08079715577554e-10,1,517,2069,"multicellular organism development","BP",1.57647775134309e-07
"GO:0045177","GO:0045177",2.13890778758648e-10,0.999999999943863,73,176,"apical part of cell","CC",2.77321277481629e-07
"GO:0007155","GO:0007155",2.70021142911866e-10,1,84,216,"cell adhesion","BP",3.15087671663857e-07
"GO:0032502","GO:0032502",2.75132185839172e-09,1,627,2657,"developmental process","BP",2.91865225141573e-06
"GO:0005604","GO:0005604",3.01863324454627e-09,0.999999999863536,17,20,"basement membrane","CC",2.93536927755087e-06
"GO:0048731","GO:0048731",4.01455657521925e-09,1,371,1419,"system development","BP",3.60352774432564e-06
"GO:0030312","GO:0030312",7.32372033399024e-09,1,75,230,"external encapsulating structure","CC",6.10432089838087e-06
"GO:0062023","GO:0062023",8.61084893721384e-09,0.99999999866662,26,43,"collagen-containing extracellular matrix","CC",6.69866641655655e-06
"GO:0016491","GO:0016491",9.56574142943219e-09,1,152,544,"oxidoreductase activity","MF",6.97641479625276e-06
"GO:0016705","GO:0016705",1.22110517260144e-08,0.999999995725535,58,146,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF",8.38180956416834e-06
"GO:0002165","GO:0002165",1.75909666799704e-08,1,163,544,"instar larval or pupal development","BP",1.14038327882541e-05
"GO:0031012","GO:0031012",2.87787267683673e-08,1,67,202,"extracellular matrix","CC",1.70985953722972e-05
"GO:0016324","GO:0016324",3.05179013225819e-08,0.999999991021887,44,96,"apical plasma membrane","CC",1.70985953722972e-05
"GO:0009888","GO:0009888",3.22341744542035e-08,1,185,639,"tissue development","BP",1.70985953722972e-05
"GO:0032501","GO:0032501",3.22366182355419e-08,1,718,3176,"multicellular organismal process","BP",1.70985953722972e-05
"GO:0009653","GO:0009653",3.69153403614038e-08,1,373,1465,"anatomical structure morphogenesis","BP",1.87289176816183e-05
"GO:0009887","GO:0009887",6.56455131937554e-08,1,207,731,"animal organ morphogenesis","BP",3.19173955607471e-05
"GO:0020037","GO:0020037",7.43380514546648e-08,0.999999974157211,51,129,"heme binding","MF",3.46980288969793e-05
"GO:0009791","GO:0009791",8.17852591663942e-08,1,178,622,"post-embryonic development","BP",3.67058534312559e-05
"GO:0007411","GO:0007411",8.54023915927129e-08,1,87,248,"axon guidance","BP",3.69096484257543e-05
"GO:0097485","GO:0097485",9.63710851886135e-08,1,89,256,"neuron projection guidance","BP",4.01626497523547e-05
"GO:0046906","GO:0046906",1.0206487420663e-07,0.999999964037487,51,130,"tetrapyrrole binding","MF",4.10687936936952e-05
"GO:0048513","GO:0048513",1.13507843644191e-07,1,302,1155,"animal organ development","BP",4.41507675828021e-05
"GO:0005615","GO:0005615",1.32219319078994e-07,1,147,603,"extracellular space","CC",4.97699107849283e-05
"GO:0006629","GO:0006629",1.79344870473893e-07,1,140,499,"lipid metabolic process","BP",6.53992279237457e-05
"GO:0070161","GO:0070161",2.14072580041582e-07,0.999999916779068,58,150,"anchoring junction","CC",7.56973617122792e-05
"GO:0005215","GO:0005215",4.52704065313857e-07,1,202,765,"transporter activity","MF",0.000155370698180806
"GO:0009886","GO:0009886",5.34138427402912e-07,1,135,452,"post-embryonic animal morphogenesis","BP",0.000178081751696131
"GO:0007552","GO:0007552",7.6485589679e-07,1,136,459,"metamorphosis","BP",0.000247919540545625
"GO:0044283","GO:0044283",7.87852090937166e-07,0.999999652638567,65,197,"small molecule biosynthetic process","BP",0.000248471514841778
"GO:0016053","GO:0016053",8.87495116308822e-07,0.999999697348797,41,106,"organic acid biosynthetic process","BP",0.000262970674490885
