"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0019751","GO:0019751",1.52546537282109e-05,0.999999040748243,6,33,"polyol metabolic process","BP",0.159550697467077
"GO:0005576","GO:0005576",3.98881022100158e-05,0.999984191600537,32,887,"extracellular region","CC",0.159550697467077
"GO:0006066","GO:0006066",4.10191183821434e-05,0.999994938290111,8,77,"alcohol metabolic process","BP",0.159550697467077
"GO:0004497","GO:0004497",6.31515149613351e-05,0.999990308405252,9,102,"monooxygenase activity","MF",0.184228757020955
"GO:0070062","GO:0070062",0.000121366888507697,0.999995156921131,4,16,"extracellular exosome","CC",0.278735902357704
"GO:0046164","GO:0046164",0.000168735075829784,0.999997101239084,3,7,"alcohol catabolic process","BP",0.278735902357704
"GO:0016491","GO:0016491",0.00017945863504356,0.999935133144275,22,544,"oxidoreductase activity","MF",0.278735902357704
"GO:0043230","GO:0043230",0.000251106095762551,0.999987458496881,4,19,"extracellular organelle","CC",0.278735902357704
"GO:0065010","GO:0065010",0.000251106095762551,0.999987458496881,4,19,"extracellular membrane-bounded organelle","CC",0.278735902357704
"GO:1903561","GO:1903561",0.000251106095762551,0.999987458496881,4,19,"extracellular vesicle","CC",0.278735902357704
"GO:0019400","GO:0019400",0.000262755585391614,0.999994389787719,3,8,"alditol metabolic process","BP",0.278735902357704
"GO:0006641","GO:0006641",0.000377023118540926,0.999966620923248,5,37,"triglyceride metabolic process","BP",0.366623564187838
"GO:0005506","GO:0005506",0.0005799802890791,0.999878337456275,9,136,"iron ion binding","MF",0.505914515117486
"GO:1901616","GO:1901616",0.000623891132832895,0.999980010418213,3,11,"organic hydroxy compound catabolic process","BP",0.505914515117486
"GO:0003824","GO:0003824",0.000650331453146138,0.999622929235723,77,3384,"catalytic activity","MF",0.505914515117486
"GO:0006638","GO:0006638",0.000857445498423923,0.999907337903538,5,46,"neutral lipid metabolic process","BP",0.58856067771228
"GO:0006639","GO:0006639",0.000857445498423923,0.999907337903538,5,46,"acylglycerol metabolic process","BP",0.58856067771228
"GO:0016705","GO:0016705",0.000922343812901884,0.999792932693361,9,146,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF",0.597934997375116
"GO:0005615","GO:0005615",0.00157837335976947,0.999337943000448,21,603,"extracellular space","CC",0.856226458441838
"GO:0050830","GO:0050830",0.00159427846766943,0.999800984686954,5,49,"defense response to Gram-positive bacterium","BP",0.856226458441838
"GO:0020037","GO:0020037",0.00161640224303062,0.999645962692799,8,129,"heme binding","MF",0.856226458441838
"GO:0019432","GO:0019432",0.00163390416591552,0.999922764799282,3,14,"triglyceride biosynthetic process","BP",0.856226458441838
"GO:0046906","GO:0046906",0.00168765177343065,0.999627724924449,8,130,"tetrapyrrole binding","MF",0.856226458441838
"GO:0046460","GO:0046460",0.00188637577333498,0.999905063197875,3,15,"neutral lipid biosynthetic process","BP",0.880484755961835
"GO:0046463","GO:0046463",0.00188637577333498,0.999905063197875,3,15,"acylglycerol biosynthetic process","BP",0.880484755961835
"GO:0044281","GO:0044281",0.00220597032037728,0.999009881722507,23,715,"small molecule metabolic process","BP",0.990056448787788
"GO:0046173","GO:0046173",0.00231560862054756,0.999872273857193,3,17,"polyol biosynthetic process","BP",0.994445651653941
"GO:0030048","GO:0030048",0.00238619232550436,0.99976294036981,4,40,"actin filament-based movement","BP",0.994445651653941
"GO:0046174","GO:0046174",0.0027439499823499,0.999953756086811,2,5,"polyol catabolic process","BP",1
"GO:0046165","GO:0046165",0.0028616704571359,0.999702050580558,4,38,"alcohol biosynthetic process","BP",1
"GO:0006071","GO:0006071",0.00307029773832196,0.999945182956256,2,5,"glycerol metabolic process","BP",1
"GO:0140359","GO:0140359",0.00309113266602928,0.99966729131731,4,46,"ABC-type transporter activity","MF",1
"GO:0004029","GO:0004029",0.0037966599585954,0.9999178016706,2,6,"aldehyde dehydrogenase (NAD+) activity","MF",1
"GO:0004030","GO:0004030",0.0037966599585954,0.9999178016706,2,6,"aldehyde dehydrogenase [NAD(P)+] activity","MF",1
"GO:0042138","GO:0042138",0.00431727756808131,0.999900132679166,2,6,"meiotic DNA double-strand break formation","BP",1
"GO:0017171","GO:0017171",0.00462432836640947,0.998474439903552,11,251,"serine hydrolase activity","MF",1
"GO:0050821","GO:0050821",0.0046384137790518,0.999442817337094,4,43,"protein stabilization","BP",1
"GO:0016614","GO:0016614",0.00489953118297138,0.998850667970342,7,119,"oxidoreductase activity, acting on CH-OH group of donors","MF",1
"GO:0031573","GO:0031573",0.00552839273231066,0.999846666884887,2,7,"mitotic intra-S DNA damage checkpoint signaling","BP",1
"GO:1901615","GO:1901615",0.00562559795800208,0.998480008917966,8,163,"organic hydroxy compound metabolic process","BP",1
"GO:0003383","GO:0003383",0.00589438186797718,0.999526122054701,3,25,"apical constriction","BP",1
"GO:0005214","GO:0005214",0.00693597056947431,0.998493228078742,6,95,"structural constituent of chitin-based cuticle","MF",1
"GO:0070252","GO:0070252",0.00726415465987319,0.999366077235006,3,27,"actin-mediated cell contraction","BP",1
"GO:0042302","GO:0042302",0.00729999991642204,0.998396488086412,6,96,"structural constituent of cuticle","MF",1
"GO:0005811","GO:0005811",0.00800969214107733,0.999282928560434,3,24,"lipid droplet","CC",1
"GO:0006950","GO:0006950",0.00878180295925001,0.995176211629388,30,1208,"response to stress","BP",1
"GO:0008013","GO:0008013",0.00889953720290391,0.999649506230338,2,11,"beta-catenin binding","MF",1
"GO:0016616","GO:0016616",0.00905992866234407,0.99791368697306,6,101,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",1
"GO:0002213","GO:0002213",0.00973870272095836,0.999613062240565,2,9,"defense response to insect","BP",1
"GO:0030730","GO:0030730",0.0109007106424731,0.999530741501284,2,10,"sequestering of triglyceride","BP",1
"GO:0005328","GO:0005328",0.0113092418713531,0.999495258538026,2,11,"neurotransmitter:sodium symporter activity","MF",1
"GO:0001069","GO:0001069",0.011471535527365,1,1,1,"regulatory region RNA binding","MF",1
"GO:0033679","GO:0033679",0.011471535527365,1,1,1,"3'-5' DNA/RNA helicase activity","MF",1
"GO:0006695","GO:0006695",0.0115597766854861,1,1,1,"cholesterol biosynthetic process","BP",1
"GO:0032936","GO:0032936",0.0115597766854861,1,1,1,"SREBP-SCAP complex","CC",1
"GO:0045540","GO:0045540",0.0115597766854861,1,1,1,"regulation of cholesterol biosynthetic process","BP",1
"GO:0090181","GO:0090181",0.0115597766854861,1,1,1,"regulation of cholesterol metabolic process","BP",1
"GO:0106118","GO:0106118",0.0115597766854861,1,1,1,"regulation of sterol biosynthetic process","BP",1
"GO:1902930","GO:1902930",0.0115597766854861,1,1,1,"regulation of alcohol biosynthetic process","BP",1
"GO:0009256","GO:0009256",0.0118856599164088,1,1,1,"10-formyltetrahydrofolate metabolic process","BP",1
"GO:0009258","GO:0009258",0.0118856599164088,1,1,1,"10-formyltetrahydrofolate catabolic process","BP",1
"GO:0016155","GO:0016155",0.0118856599164088,1,1,1,"formyltetrahydrofolate dehydrogenase activity","MF",1
"GO:0003382","GO:0003382",0.012171270552156,0.998698793260092,3,33,"epithelial cell morphogenesis","BP",1
"GO:0006072","GO:0006072",0.0130428252628707,0.999383128811544,2,10,"glycerol-3-phosphate metabolic process","BP",1
