"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005615","GO:0005615",1.01510843357962e-12,1,73,603,"extracellular space","CC",6.95751909657986e-09
"GO:0005576","GO:0005576",1.19247906360097e-12,1,94,887,"extracellular region","CC",6.95751909657986e-09
"GO:0006629","GO:0006629",1.56430844498927e-10,1,60,499,"lipid metabolic process","BP",6.08463841485993e-07
"GO:0004806","GO:0004806",2.34180894800181e-07,0.999999968695087,14,53,"triglyceride lipase activity","MF",0.000609146951297653
"GO:0016298","GO:0016298",2.61010776972171e-07,0.999999951538044,18,87,"lipase activity","MF",0.000609146951297653
"GO:0060180","GO:0060180",6.79352624624246e-07,0.999999919201809,12,42,"female mating behavior","BP",0.0011460825605855
"GO:0045924","GO:0045924",6.87512033944513e-07,0.999999929005958,11,35,"regulation of female receptivity","BP",0.0011460825605855
"GO:0005811","GO:0005811",1.33598295660633e-06,0.999999896189076,9,24,"lipid droplet","CC",0.00194869814007991
"GO:0044255","GO:0044255",1.85654798747715e-06,0.999999286117187,40,358,"cellular lipid metabolic process","BP",0.00240711760731899
"GO:0044283","GO:0044283",2.09993599494237e-06,0.99999935481659,27,197,"small molecule biosynthetic process","BP",0.00245041531249825
"GO:0016042","GO:0016042",4.74377151937738e-06,0.999998780986061,20,126,"lipid catabolic process","BP",0.00483699794848554
"GO:0003824","GO:0003824",5.11239144070677e-06,0.999997015087252,219,3384,"catalytic activity","MF",0.00483699794848554
"GO:0006633","GO:0006633",5.79838704098829e-06,0.999999021945594,13,59,"fatty acid biosynthetic process","BP",0.00483699794848554
"GO:0006631","GO:0006631",5.80323689080448e-06,0.999998551091636,19,117,"fatty acid metabolic process","BP",0.00483699794848554
"GO:0052689","GO:0052689",8.48685891570921e-06,0.999997816960662,19,120,"carboxylic ester hydrolase activity","MF",0.00660221044582739
"GO:0072330","GO:0072330",1.03513927860728e-05,0.999998141527889,13,62,"monocarboxylic acid biosynthetic process","BP",0.00754940015129272
"GO:0046008","GO:0046008",2.40401726553359e-05,0.999998130930733,7,19,"regulation of female receptivity, post-mating","BP",0.0156853160986065
"GO:0008610","GO:0008610",2.41953629081256e-05,0.999991192742276,28,237,"lipid biosynthetic process","BP",0.0156853160986065
"GO:0044281","GO:0044281",3.34632626102068e-05,0.999982743942309,61,715,"small molecule metabolic process","BP",0.0196605143918149
"GO:0007320","GO:0007320",3.53818495353598e-05,0.999997022140346,7,20,"insemination","BP",0.0196605143918149
"GO:0044706","GO:0044706",3.53818495353598e-05,0.999997022140346,7,20,"multi-multicellular organism process","BP",0.0196605143918149
"GO:0044703","GO:0044703",5.07736341323326e-05,0.999995401496635,7,21,"multi-organism reproductive process","BP",0.0269307971222813
"GO:0005534","GO:0005534",6.61064373889412e-05,0.999997132592186,5,10,"galactose binding","MF",0.0335389572996328
"GO:0019098","GO:0019098",7.15836868718637e-05,0.999977331458238,20,151,"reproductive behavior","BP",0.0348045850878241
"GO:0016053","GO:0016053",7.84796938290385e-05,0.999978833432574,16,106,"organic acid biosynthetic process","BP",0.035222290280425
"GO:0046394","GO:0046394",7.84796938290385e-05,0.999978833432574,16,106,"carboxylic acid biosynthetic process","BP",0.035222290280425
"GO:0007617","GO:0007617",8.53248107884153e-05,0.999973562499304,19,141,"mating behavior","BP",0.0368761191514822
"GO:0046692","GO:0046692",0.000124578707634338,0.999989860256854,6,17,"sperm competition","BP",0.0519181764066102
"GO:0032787","GO:0032787",0.000131830326999919,0.999954749539218,21,170,"monocarboxylic acid metabolic process","BP",0.0530457960607604
"GO:0007620","GO:0007620",0.000230291259730431,0.999971804377496,7,26,"copulation","BP",0.088552508196665
"GO:0043230","GO:0043230",0.000250427009211582,0.999975959004927,6,19,"extracellular organelle","CC",0.088552508196665
"GO:0065010","GO:0065010",0.000250427009211582,0.999975959004927,6,19,"extracellular membrane-bounded organelle","CC",0.088552508196665
"GO:1903561","GO:1903561",0.000250427009211582,0.999975959004927,6,19,"extracellular vesicle","CC",0.088552508196665
"GO:0046486","GO:0046486",0.000337870256322732,0.999886376537394,18,144,"glycerolipid metabolic process","BP",0.115959059442058
"GO:0016491","GO:0016491",0.000395550030274798,0.999790564334684,46,544,"oxidoreductase activity","MF",0.130789523082799
"GO:0006638","GO:0006638",0.000415410941919071,0.999921276585851,9,46,"neutral lipid metabolic process","BP",0.130789523082799
"GO:0006639","GO:0006639",0.000415410941919071,0.999921276585851,9,46,"acylglycerol metabolic process","BP",0.130789523082799
"GO:0006641","GO:0006641",0.000425914977902678,0.999929568319331,8,37,"triglyceride metabolic process","BP",0.130789523082799
"GO:0042761","GO:0042761",0.000459303815691545,0.999949226763607,6,21,"very long-chain fatty acid biosynthetic process","BP",0.133990680077335
"GO:0030497","GO:0030497",0.000459304756456715,0.999949226639542,6,21,"fatty acid elongation","BP",0.133990680077335
"GO:0004383","GO:0004383",0.000663997773474748,0.999965510162851,4,9,"guanylate cyclase activity","MF",0.184480714730401
"GO:0006182","GO:0006182",0.000663997773474748,0.999965510162851,4,9,"cGMP biosynthetic process","BP",0.184480714730401
"GO:0000038","GO:0000038",0.000783715193640224,0.999902017041567,6,23,"very long-chain fatty acid metabolic process","BP",0.212678432432274
"GO:0038024","GO:0038024",0.00104223770386077,0.999798634283602,8,42,"cargo receptor activity","MF",0.268170341189179
"GO:0019934","GO:0019934",0.00106257673983985,0.999933888939945,4,10,"cGMP-mediated signaling","BP",0.268170341189179
"GO:0030730","GO:0030730",0.00106258807199256,0.999933888040827,4,10,"sequestering of triglyceride","BP",0.268170341189179
"GO:0044282","GO:0044282",0.00108012734903517,0.999623590956112,16,133,"small molecule catabolic process","BP",0.268170341189179
"GO:0006082","GO:0006082",0.00115888910878956,0.999434004804552,31,342,"organic acid metabolic process","BP",0.281730771051361
"GO:0019637","GO:0019637",0.00183450592505147,0.999075889203804,31,352,"organophosphate metabolic process","BP",0.436874482437257
"GO:0140359","GO:0140359",0.00192937265054724,0.999584584066339,8,46,"ABC-type transporter activity","MF",0.450276989184715
"GO:0016788","GO:0016788",0.00218420638776077,0.998816220871767,37,448,"hydrolase activity, acting on ester bonds","MF",0.498991838476314
"GO:0004364","GO:0004364",0.00222363318200088,0.999574121642945,7,37,"glutathione transferase activity","MF",0.498991838476314
"GO:0010889","GO:0010889",0.0022911141581062,0.999910664047954,3,6,"regulation of sequestering of triglyceride","BP",0.504434171904552
"GO:0004090","GO:0004090",0.00255099681751728,1,2,2,"carbonyl reductase (NADPH) activity","MF",0.537089395502011
"GO:0051615","GO:0051615",0.00255106221874173,1,2,2,"histamine uptake","BP",0.537089395502011
"GO:0006805","GO:0006805",0.00266815433811497,0.999657407917887,5,20,"xenobiotic metabolic process","BP",0.537089395502011
"GO:0071466","GO:0071466",0.00266815433811497,0.999657407917887,5,20,"cellular response to xenobiotic stimulus","BP",0.537089395502011
"GO:0006643","GO:0006643",0.00266956765267946,0.999147542745627,12,94,"membrane lipid metabolic process","BP",0.537089395502011
"GO:0005975","GO:0005975",0.00280960381053922,0.998704388384065,23,243,"carbohydrate metabolic process","BP",0.555682489240376
"GO:0046068","GO:0046068",0.00320400232266291,0.999702645889393,4,13,"cGMP metabolic process","BP",0.623125051719225
"GO:0016209","GO:0016209",0.00332559373341018,0.999210972216122,8,50,"antioxidant activity","MF",0.632087236439487
"GO:0019935","GO:0019935",0.00335842048669536,0.999540680318382,5,21,"cyclic-nucleotide-mediated signaling","BP",0.632087236439487
"GO:0019752","GO:0019752",0.00355570555883189,0.9981681353662,29,337,"carboxylic acid metabolic process","BP",0.658595685174751
"GO:0043436","GO:0043436",0.00370949000406584,0.998082897510629,29,338,"oxoacid metabolic process","BP",0.676344357147567
"GO:0099103","GO:0099103",0.00385936219068138,0.999799895089814,3,7,"channel activator activity","MF",0.68234693034941
"GO:0099104","GO:0099104",0.00385936219068138,0.999799895089814,3,7,"potassium channel activator activity","MF",0.68234693034941
"GO:0005044","GO:0005044",0.00416831853436087,0.999395148682043,5,22,"scavenger receptor activity","MF",0.71529595315321
"GO:0009190","GO:0009190",0.00416831989154326,0.999395148438145,5,22,"cyclic nucleotide biosynthetic process","BP",0.71529595315321
"GO:0045434","GO:0045434",0.00430808061785497,0.999556604255356,4,14,"negative regulation of female receptivity, post-mating","BP",0.716908757304705
"GO:0010884","GO:0010884",0.00430821934879373,0.999556585903139,4,14,"positive regulation of lipid storage","BP",0.716908757304705
"GO:0016787","GO:0016787",0.00436202945999092,0.996967717757212,92,1400,"hydrolase activity","MF",0.716908757304705
"GO:0006909","GO:0006909",0.00480952793353846,0.998780223945656,8,53,"phagocytosis","BP",0.774142195078639
"GO:0016616","GO:0016616",0.00484294971640592,0.998326695532861,12,101,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",0.774142195078639
"GO:0045017","GO:0045017",0.00508075151704323,0.998332255217309,11,89,"glycerolipid biosynthetic process","BP",0.784353255289739
"GO:0008654","GO:0008654",0.00508075295785037,0.998332254679997,11,89,"phospholipid biosynthetic process","BP",0.784353255289739
"GO:0009975","GO:0009975",0.00510847950998545,0.999216255219472,5,23,"cyclase activity","MF",0.784353255289739
"GO:0006644","GO:0006644",0.00539513589900042,0.997844215956985,15,142,"phospholipid metabolic process","BP",0.816980892685367
"GO:0042454","GO:0042454",0.00564288411995778,0.999362371179801,4,15,"ribonucleoside catabolic process","BP",0.816980892685367
"GO:0046467","GO:0046467",0.00570770027328056,0.998217581922073,10,78,"membrane lipid biosynthetic process","BP",0.816980892685367
"GO:0006303","GO:0006303",0.0059444403191267,0.999615785567772,3,8,"double-strand break repair via nonhomologous end joining","BP",0.816980892685367
"GO:0003993","GO:0003993",0.00594445314995652,0.99961578443472,3,8,"acid phosphatase activity","MF",0.816980892685367
