"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0022402","GO:0022402",2.2442339936296e-24,1,236,567,"cell cycle process","BP",2.61879664716638e-20
"GO:0007049","GO:0007049",9.37774341459064e-23,1,270,691,"cell cycle","BP",5.47144439524291e-19
"GO:0000278","GO:0000278",2.05867101704145e-16,1,178,444,"mitotic cell cycle","BP",8.00754403261888e-13
"GO:0051321","GO:0051321",4.03645560335626e-16,1,100,207,"meiotic cell cycle","BP",1.17753501088911e-12
"GO:0000280","GO:0000280",1.66214573155149e-15,1,120,270,"nuclear division","BP",3.87911570829486e-12
"GO:1903046","GO:1903046",1.15003600379013e-14,1,93,195,"meiotic cell cycle process","BP",2.2366283547045e-11
"GO:1903047","GO:1903047",2.07226940068178e-14,1,132,314,"mitotic cell cycle process","BP",3.45447309093652e-11
"GO:0048285","GO:0048285",3.85945389955628e-14,1,123,290,"organelle fission","BP",5.62949594424027e-11
"GO:0005622","GO:0005622",5.59244145126867e-14,1,1528,6133,"intracellular anatomical structure","CC",7.25091103276156e-11
"GO:0051726","GO:0051726",9.1909753171377e-14,1,118,272,"regulation of cell cycle","BP",1.0724949097568e-10
"GO:0008152","GO:0008152",5.65098492188837e-13,1,1371,5461,"metabolic process","BP",5.99466755031958e-10
"GO:0022412","GO:0022412",9.3622201933025e-12,1,271,824,"cellular process involved in reproduction in multicellular organism","BP",9.10397895297057e-09
"GO:0140640","GO:0140640",4.49659123377183e-11,1,123,320,"catalytic activity, acting on a nucleic acid","MF",4.03620946976027e-08
"GO:0051276","GO:0051276",5.23848099269337e-11,1,116,293,"chromosome organization","BP",4.36627390740993e-08
"GO:0071704","GO:0071704",7.83017033206147e-11,1,1290,5169,"organic substance metabolic process","BP",6.09135050698835e-08
"GO:0009987","GO:0009987",1.24845535119923e-10,1,1772,7324,"cellular process","BP",9.10514093321487e-08
"GO:0003824","GO:0003824",2.39531602448831e-10,1,879,3384,"catalytic activity","MF",1.6441730993973e-07
"GO:0006260","GO:0006260",2.75796145736626e-10,0.999999999942059,51,99,"DNA replication","BP",1.73163951567836e-07
"GO:0006259","GO:0006259",2.81953473287246e-10,1,114,296,"DNA metabolic process","BP",1.73163951567836e-07
"GO:0098813","GO:0098813",3.54865600797838e-10,0.999999999906881,74,164,"nuclear chromosome segregation","BP",1.99655778654387e-07
"GO:0140013","GO:0140013",3.59308539869922e-10,0.999999999907333,71,157,"meiotic nuclear division","BP",1.99655778654387e-07
"GO:0007059","GO:0007059",3.88793155320986e-10,1,86,202,"chromosome segregation","BP",2.06219424065481e-07
"GO:0140014","GO:0140014",6.89374970422871e-10,0.999999999791564,64,136,"mitotic nuclear division","BP",3.49752892602803e-07
"GO:0007346","GO:0007346",7.38491066218902e-10,0.999999999761494,71,158,"regulation of mitotic cell cycle","BP",3.59060510487848e-07
"GO:0007292","GO:0007292",9.81385298012662e-10,1,198,586,"female gamete generation","BP",4.5807140170039e-07
"GO:0005737","GO:0005737",1.27345916287087e-09,1,1051,4174,"cytoplasm","CC",5.71538268136159e-07
"GO:0006807","GO:0006807",1.32346439507342e-09,1,1121,4467,"nitrogen compound metabolic process","BP",5.71981704670804e-07
"GO:0044238","GO:0044238",1.5393437432047e-09,1,1207,4847,"primary metabolic process","BP",6.41521504980557e-07
"GO:0043226","GO:0043226",1.9933780858152e-09,1,1284,5198,"organelle","CC",8.02094099426814e-07
"GO:0007143","GO:0007143",3.06002550322706e-09,0.999999999469323,32,52,"female meiotic nuclear division","BP",1.19024791990522e-06
"GO:1901564","GO:1901564",3.82108756410281e-09,1,722,2779,"organonitrogen compound metabolic process","BP",1.41592995797266e-06
"GO:0043229","GO:0043229",3.88291701560761e-09,1,1257,5091,"intracellular organelle","CC",1.41592995797266e-06
"GO:0005694","GO:0005694",4.87915157348657e-09,1,185,564,"chromosome","CC",1.72529756700045e-06
