"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005576","GO:0005576",3.51566022253478e-10,1,61,887,"extracellular region","CC",4.10242391367583e-06
"GO:0005615","GO:0005615",2.82162824410839e-07,0.999999904772298,42,603,"extracellular space","CC",0.00164627899902504
"GO:0005506","GO:0005506",7.08373501179578e-07,0.999999861728066,17,136,"iron ion binding","MF",0.00275533679508817
"GO:0020037","GO:0020037",1.53165666134456e-06,0.999999701016439,16,129,"heme binding","MF",0.003555954841612
"GO:0046906","GO:0046906",1.69237104394381e-06,0.999999666853159,16,130,"tetrapyrrole binding","MF",0.003555954841612
"GO:0016705","GO:0016705",1.8346169851308e-06,0.999999613524035,17,146,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF",0.003555954841612
"GO:0004497","GO:0004497",2.13314627571206e-06,0.99999962971312,14,102,"monooxygenase activity","MF",0.003555954841612
"GO:0016491","GO:0016491",0.000240672524659612,0.999892188360093,32,544,"oxidoreductase activity","MF",0.351050961281626
"GO:0003824","GO:0003824",0.000405756308159974,0.999735393044931,129,3384,"catalytic activity","MF",0.526085595546526
"GO:0042335","GO:0042335",0.000490676764101236,0.999846573691345,15,191,"cuticle development","BP",0.53068515090334
"GO:0040003","GO:0040003",0.00052718185680216,0.999850445650983,13,151,"chitin-based cuticle development","BP",0.53068515090334
"GO:0045833","GO:0045833",0.000616398678933026,0.999963067675149,4,14,"negative regulation of lipid metabolic process","BP",0.53068515090334
"GO:0008349","GO:0008349",0.000635149937024211,1,2,2,"MAP kinase kinase kinase kinase activity","MF",0.53068515090334
"GO:0005214","GO:0005214",0.000639553557925243,0.999851434624217,10,95,"structural constituent of chitin-based cuticle","MF",0.53068515090334
"GO:0042302","GO:0042302",0.000695465633821968,0.999836571970683,10,96,"structural constituent of cuticle","MF",0.53068515090334
"GO:0031012","GO:0031012",0.000727651248132097,0.999763056761453,15,202,"extracellular matrix","CC",0.53068515090334
"GO:0051615","GO:0051615",0.000778474503817612,1,2,2,"histamine uptake","BP",0.534354057943983
"GO:0097501","GO:0097501",0.000851751142663982,0.999943355182963,4,15,"stress response to metal ion","BP",0.552171337985889
"GO:0030312","GO:0030312",0.00104712741980758,0.999631481342205,16,230,"external encapsulating structure","CC",0.643101571670242
"GO:0005178","GO:0005178",0.00114603123906611,0.999914271421903,4,18,"integrin binding","MF",0.668651926433121
"GO:0062129","GO:0062129",0.00123189980181639,0.999714883055263,9,86,"chitin-based extracellular matrix","CC",0.671006623524538
"GO:0016884","GO:0016884",0.00126507376103692,0.999953142240038,3,8,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor","MF",0.671006623524538
"GO:0031589","GO:0031589",0.00159728473905393,0.999806025116648,5,32,"cell-substrate adhesion","BP",0.810378940000881
"GO:0000041","GO:0000041",0.00171323087060084,0.999729299637488,6,44,"transition metal ion transport","BP",0.832987126210052
"GO:0019731","GO:0019731",0.00181114339204183,0.999652659643449,7,60,"antibacterial humoral response","BP",0.845369289669446
"GO:0006094","GO:0006094",0.00208215726928471,0.999903755125103,3,9,"gluconeogenesis","BP",0.894387442008942
"GO:0019319","GO:0019319",0.00208215726928471,0.999903755125103,3,9,"hexose biosynthetic process","BP",0.894387442008942
"GO:0071944","GO:0071944",0.00214610064069332,0.998675585681348,62,1526,"cell periphery","CC",0.894387442008942
"GO:0005975","GO:0005975",0.00236525088849235,0.99909646324198,16,243,"carbohydrate metabolic process","BP",0.899958909185181
"GO:0040009","GO:0040009",0.00243031384831049,0.999976371442645,2,3,"regulation of growth rate","BP",0.899958909185181
"GO:0008253","GO:0008253",0.00256348353806454,0.99997438238927,2,3,"5'-nucleotidase activity","MF",0.899958909185181
"GO:0004553","GO:0004553",0.00259090637122283,0.999393855884156,8,80,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF",0.899958909185181
"GO:0030730","GO:0030730",0.00265247050282471,0.999861783427504,3,10,"sequestering of triglyceride","BP",0.899958909185181
"GO:0008238","GO:0008238",0.00265368956345511,0.999375980997111,8,82,"exopeptidase activity","MF",0.899958909185181
"GO:0004556","GO:0004556",0.00277646077047446,0.999971088479033,2,3,"alpha-amylase activity","MF",0.899958909185181
"GO:0016160","GO:0016160",0.00277646077047446,0.999971088479033,2,3,"amylase activity","MF",0.899958909185181
"GO:0046364","GO:0046364",0.00291612042202035,0.999842819732434,3,10,"monosaccharide biosynthetic process","BP",0.919681329852849
"GO:0007160","GO:0007160",0.00348044568039446,0.999632839227119,4,23,"cell-matrix adhesion","BP",1
"GO:0050830","GO:0050830",0.00349764176586819,0.999356764424326,6,49,"defense response to Gram-positive bacterium","BP",1
