"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0003824","GO:0003824",7.99563007366334e-24,1,340,3384,"catalytic activity","MF",9.33010073295775e-20
"GO:0016491","GO:0016491",1.21090344263625e-14,1,84,544,"oxidoreductase activity","MF",7.06501613606121e-11
"GO:0032787","GO:0032787",7.20254016897722e-14,1,41,170,"monocarboxylic acid metabolic process","BP",2.80154804105984e-10
"GO:0006629","GO:0006629",2.67502521798332e-13,1,77,499,"lipid metabolic process","BP",7.80371731716185e-10
"GO:0044281","GO:0044281",5.25142903062432e-13,1,97,715,"small molecule metabolic process","BP",1.19452367721473e-09
"GO:0006082","GO:0006082",6.14203621843207e-13,1,60,342,"organic acid metabolic process","BP",1.19452367721473e-09
"GO:0019752","GO:0019752",1.0450099989618e-12,1,59,337,"carboxylic acid metabolic process","BP",1.73586051567609e-09
"GO:0043436","GO:0043436",1.19006634033839e-12,1,59,338,"oxoacid metabolic process","BP",1.73586051567609e-09
"GO:0016614","GO:0016614",3.86929200616139e-11,1,30,119,"oxidoreductase activity, acting on CH-OH group of donors","MF",5.01675204665525e-08
"GO:0006631","GO:0006631",1.845387617963e-10,0.999999999969752,29,117,"fatty acid metabolic process","BP",2.15338281140103e-07
"GO:0006633","GO:0006633",2.8139386774951e-10,0.999999999968872,20,59,"fatty acid biosynthetic process","BP",2.98507731160821e-07
"GO:0016616","GO:0016616",5.03945361336344e-10,0.999999999921835,26,101,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",4.90044868452817e-07
"GO:0072330","GO:0072330",7.08490561466577e-10,0.999999999916667,20,62,"monocarboxylic acid biosynthetic process","BP",6.35952027827191e-07
"GO:0044255","GO:0044255",9.31158754702326e-10,1,55,358,"cellular lipid metabolic process","BP",7.76120822044389e-07
"GO:0044282","GO:0044282",2.10464450723479e-08,0.999999994954931,28,133,"small molecule catabolic process","BP",1.63727311699485e-05
"GO:0016053","GO:0016053",4.18070962675115e-08,0.999999990975464,24,106,"organic acid biosynthetic process","BP",2.86968827262112e-05
"GO:0046394","GO:0046394",4.18070962675115e-08,0.999999990975464,24,106,"carboxylic acid biosynthetic process","BP",2.86968827262112e-05
"GO:0016054","GO:0016054",5.59825302215635e-08,0.999999988756218,22,91,"organic acid catabolic process","BP",3.43821129029171e-05
"GO:0046395","GO:0046395",5.59825302215635e-08,0.999999988756218,22,91,"carboxylic acid catabolic process","BP",3.43821129029171e-05
"GO:0098533","GO:0098533",6.76146713126585e-07,0.999999969185428,8,14,"ATPase dependent transmembrane transport complex","CC",0.000394497799773706
"GO:0042761","GO:0042761",1.97222790699618e-06,0.999999847048576,9,21,"very long-chain fatty acid biosynthetic process","BP",0.00107081264131691
"GO:0030497","GO:0030497",2.01884292646946e-06,0.99999984296922,9,21,"fatty acid elongation","BP",0.00107081264131691
"GO:0008610","GO:0008610",3.64644508864851e-06,0.999998654615565,35,237,"lipid biosynthetic process","BP",0.00185001598867128
"GO:0000038","GO:0000038",5.09881653351007e-06,0.999999536843892,9,23,"very long-chain fatty acid metabolic process","BP",0.00247908708873037
"GO:0004364","GO:0004364",5.75764710140131e-06,0.999999241850302,11,37,"glutathione transferase activity","MF",0.00268743936105008
"GO:0009063","GO:0009063",6.13732914063107e-06,0.999998994291725,13,47,"amino acid catabolic process","BP",0.00275448052853938
"GO:0033764","GO:0033764",7.95022476428911e-06,0.999999381031303,8,19,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",0.00336812269311824
"GO:0044283","GO:0044283",8.0818780878662e-06,0.99999715145979,30,197,"small molecule biosynthetic process","BP",0.00336812269311824
"GO:0030170","GO:0030170",8.77303407207086e-06,0.999998968235851,10,29,"pyridoxal phosphate binding","MF",0.0034124178195665
"GO:0070279","GO:0070279",8.77303407207086e-06,0.999998968235851,10,29,"vitamin B6 binding","MF",0.0034124178195665
"GO:0016229","GO:0016229",1.26640809174154e-05,0.999998923693396,8,20,"steroid dehydrogenase activity","MF",0.00476700516855871
"GO:0016740","GO:0016740",1.58779821920586e-05,0.999990748390892,106,1109,"transferase activity","MF",0.00579000544372286
"GO:0019637","GO:0019637",2.04053256893402e-05,0.999990860080796,44,352,"organophosphate metabolic process","BP",0.00721544683239124
"GO:0043190","GO:0043190",2.27925132746682e-05,0.999999475961614,5,7,"ATP-binding cassette (ABC) transporter complex","CC",0.00782252462947361
"GO:0016765","GO:0016765",2.42399621286984e-05,0.999995323029197,13,56,"transferase activity, transferring alkyl or aryl (other than methyl) groups","MF",0.00808160337370804
"GO:0005975","GO:0005975",4.607170525298e-05,0.999981105695423,33,243,"carbohydrate metabolic process","BP",0.0149336313499173
"GO:0004303","GO:0004303",5.43848033346851e-05,0.999995260879405,7,18,"estradiol 17-beta-dehydrogenase [NAD(P)] activity","MF",0.0159434807384394
"GO:0009922","GO:0009922",5.83002864739667e-05,0.999994861485169,7,18,"fatty acid elongase activity","MF",0.0159434807384394
"GO:0019367","GO:0019367",5.83002864739667e-05,0.999994861485169,7,18,"fatty acid elongation, saturated fatty acid","BP",0.0159434807384394
"GO:0019368","GO:0019368",5.83002864739667e-05,0.999994861485169,7,18,"fatty acid elongation, unsaturated fatty acid","BP",0.0159434807384394
"GO:0034625","GO:0034625",5.83002864739667e-05,0.999994861485169,7,18,"fatty acid elongation, monounsaturated fatty acid","BP",0.0159434807384394
"GO:0034626","GO:0034626",5.83002864739667e-05,0.999994861485169,7,18,"fatty acid elongation, polyunsaturated fatty acid","BP",0.0159434807384394
"GO:0019915","GO:0019915",5.87513644487869e-05,0.999987576800939,13,57,"lipid storage","BP",0.0159434807384394
"GO:1901606","GO:1901606",7.06562121003628e-05,0.999987303160309,11,43,"alpha-amino acid catabolic process","BP",0.018682859381683
"GO:0006665","GO:0006665",7.2048048005462e-05,0.999984373293228,13,59,"sphingolipid metabolic process","BP",0.018682859381683
"GO:0019842","GO:0019842",7.42342774116615e-05,0.999983885382776,13,58,"vitamin binding","MF",0.0188312996329713
"GO:0020037","GO:0020037",8.02004756268652e-05,0.999973839802394,21,129,"heme binding","MF",0.0199119010657423
"GO:1901605","GO:1901605",8.23697693856718e-05,0.999978073951474,16,84,"alpha-amino acid metabolic process","BP",0.0200244341450292
"GO:0046906","GO:0046906",9.00732527860199e-05,0.999970349585763,21,130,"tetrapyrrole binding","MF",0.0210585557070405
"GO:0006749","GO:0006749",9.02329064488837e-05,0.999983084225869,11,47,"glutathione metabolic process","BP",0.0210585557070405
"GO:0006643","GO:0006643",9.65673049996004e-05,0.999972580871839,17,94,"membrane lipid metabolic process","BP",0.0220949780792223
"GO:0004497","GO:0004497",9.88190767309629e-05,0.999970645149126,18,102,"monooxygenase activity","MF",0.0221753808918001
"GO:0016298","GO:0016298",0.000120665800494371,0.999966653707786,16,87,"lipase activity","MF",0.0265669665277136
"GO:0048878","GO:0048878",0.000147747067521438,0.999935162943128,33,260,"chemical homeostasis","BP",0.0319270468686604
"GO:0016042","GO:0016042",0.000156623280446614,0.999947793858251,20,126,"lipid catabolic process","BP",0.0332297647187552
"GO:0005506","GO:0005506",0.0001870288703286,0.999934758419169,21,136,"iron ion binding","MF",0.0389721408547219
"GO:0042908","GO:0042908",0.000250137997585291,0.999993108579003,4,6,"xenobiotic transport","BP",0.051208075330224
"GO:0072329","GO:0072329",0.00034001327164311,0.999931736203867,10,43,"monocarboxylic acid catabolic process","BP",0.0684071528759216
"GO:0046467","GO:0046467",0.000410713034492664,0.999884207169473,14,78,"membrane lipid biosynthetic process","BP",0.0812306847372015
"GO:0050830","GO:0050830",0.000440816297984949,0.99990686560182,10,49,"defense response to Gram-positive bacterium","BP",0.0852961059798616
"GO:0005576","GO:0005576",0.00044588760517367,0.999724353313029,78,887,"extracellular region","CC",0.0852961059798616
"GO:0030148","GO:0030148",0.000516513674593218,0.999889449974096,10,46,"sphingolipid biosynthetic process","BP",0.097149909046363
"GO:0005739","GO:0005739",0.000524504607928774,0.999680070837086,72,788,"mitochondrion","CC",0.097149909046363
"GO:0042910","GO:0042910",0.000553243684387389,0.999977191257319,4,7,"xenobiotic transmembrane transporter activity","MF",0.100871883642444
"GO:0042593","GO:0042593",0.000606580092251696,0.999867383408205,10,46,"glucose homeostasis","BP",0.108895124561308
"GO:0030258","GO:0030258",0.000731405993370744,0.999805554489432,12,64,"lipid modification","BP",0.127589685945245
"GO:0016829","GO:0016829",0.000749433801996837,0.999731846777263,18,121,"lyase activity","MF",0.127589685945245
"GO:0000253","GO:0000253",0.00076744623166689,0.999961392224645,4,8,"3-keto sterol reductase activity","MF",0.127589685945245
"GO:0072555","GO:0072555",0.00076744623166689,0.999961392224645,4,8,"17-beta-ketosteroid reductase activity","MF",0.127589685945245
"GO:0072582","GO:0072582",0.00076744623166689,0.999961392224645,4,8,"17-beta-hydroxysteroid dehydrogenase (NADP+) activity","MF",0.127589685945245
"GO:0034440","GO:0034440",0.000776319110644649,0.999861971227864,8,32,"lipid oxidation","BP",0.127589685945245
"GO:0006520","GO:0006520",0.000943051934270367,0.999633540328375,20,143,"amino acid metabolic process","BP",0.152102963977044
"GO:0055093","GO:0055093",0.000966553809532636,0.999948184066961,4,8,"response to hyperoxia","BP",0.152102963977044
"GO:0008465","GO:0008465",0.0010036788264832,0.999983146743601,3,4,"glycerate dehydrogenase activity","MF",0.152102963977044
"GO:0016618","GO:0016618",0.0010036788264832,0.999983146743601,3,4,"hydroxypyruvate reductase activity","MF",0.152102963977044
"GO:0030267","GO:0030267",0.0010036788264832,0.999983146743601,3,4,"glyoxylate reductase (NADP+) activity","MF",0.152102963977044
"GO:0106345","GO:0106345",0.0010036788264832,0.999983146743601,3,4,"glyoxylate reductase activity","MF",0.152102963977044
"GO:0017085","GO:0017085",0.00102094878521031,0.999871097481615,6,19,"response to insecticide","BP",0.15273655608486
"GO:0008559","GO:0008559",0.00107792833623784,0.999981433510227,3,4,"ABC-type xenobiotic transporter activity","MF",0.159219566526067
"GO:0006805","GO:0006805",0.00129848503556404,0.999825790015484,6,20,"xenobiotic metabolic process","BP",0.187061998518479
"GO:0071466","GO:0071466",0.00129848503556404,0.999825790015484,6,20,"cellular response to xenobiotic stimulus","BP",0.187061998518479
"GO:0016782","GO:0016782",0.00133356469955811,0.999777118591631,7,27,"transferase activity, transferring sulphur-containing groups","MF",0.189772761940775
"GO:0016853","GO:0016853",0.0013784271891699,0.999532548450573,15,98,"isomerase activity","MF",0.193793576752092
"GO:0008483","GO:0008483",0.00145151695695015,0.9998521627013,5,14,"transaminase activity","MF",0.201639897269659
"GO:1901681","GO:1901681",0.00150699579153615,0.999658387615055,9,43,"sulfur compound binding","MF",0.206883928134534
"GO:0016787","GO:0016787",0.00152875787320324,0.998933951827691,116,1400,"hydrolase activity","MF",0.207431111888472
"GO:0006635","GO:0006635",0.00163262458156242,0.999715285114296,7,28,"fatty acid beta-oxidation","BP",0.218978117727033
"GO:0036296","GO:0036296",0.00166578888818964,0.999888371205184,4,9,"response to increased oxygen levels","BP",0.220887392457783
"GO:0031000","GO:0031000",0.00173935525490431,0.999882022745392,4,9,"response to caffeine","BP",0.225777548042365
"GO:0055082","GO:0055082",0.001751581528581,0.999319935649027,18,130,"intracellular chemical homeostasis","BP",0.225777548042365
"GO:0004806","GO:0004806",0.0017718195354083,0.999544752282062,10,53,"triglyceride lipase activity","MF",0.225777548042365
"GO:0016788","GO:0016788",0.00178461578247631,0.99898604541921,45,448,"hydrolase activity, acting on ester bonds","MF",0.225777548042365
"GO:0051235","GO:0051235",0.00179940971530893,0.999372134565588,15,99,"maintenance of location","BP",0.225777548042365
"GO:0050660","GO:0050660",0.00208542513492468,0.999406510418185,11,62,"flavin adenine dinucleotide binding","MF",0.256964042053258
"GO:0033500","GO:0033500",0.00209200308467388,0.999448896986167,10,54,"carbohydrate homeostasis","BP",0.256964042053258
"GO:0050829","GO:0050829",0.00235493084986595,0.999116345205271,16,119,"defense response to Gram-negative bacterium","BP",0.28415457969812
"GO:0030246","GO:0030246",0.00238538909353459,0.999139268299359,15,105,"carbohydrate binding","MF",0.28415457969812
"GO:0005996","GO:0005996",0.00238642118522717,0.999259918877667,12,73,"monosaccharide metabolic process","BP",0.28415457969812
"GO:0009636","GO:0009636",0.00244903096110144,0.99923647600354,12,75,"response to toxic substance","BP",0.286070701040735
"GO:0006591","GO:0006591",0.00245154427149486,0.999917187795465,3,5,"ornithine metabolic process","BP",0.286070701040735
"GO:0005976","GO:0005976",0.00273872004522581,0.99931396799344,9,47,"polysaccharide metabolic process","BP",0.312077117628859
"GO:0005978","GO:0005978",0.00277017995289488,0.999774615065758,4,10,"glycogen biosynthetic process","BP",0.312077117628859
"GO:0009250","GO:0009250",0.00277017995289488,0.999774615065758,4,10,"glucan biosynthetic process","BP",0.312077117628859
"GO:0000062","GO:0000062",0.0028161216126523,0.999769806046254,4,10,"fatty-acyl-CoA binding","MF",0.312077117628859
"GO:1901567","GO:1901567",0.0028161216126523,0.999769806046254,4,10,"fatty acid derivative binding","MF",0.312077117628859
"GO:0000271","GO:0000271",0.00283487655057495,0.999648492941317,5,16,"polysaccharide biosynthetic process","BP",0.312077117628859
"GO:0006793","GO:0006793",0.00296679164036457,0.99805059072825,73,817,"phosphorus metabolic process","BP",0.323546650947796
"GO:0016705","GO:0016705",0.00305886167019628,0.998709989422368,19,146,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF",0.330498674347411
"GO:0019395","GO:0019395",0.00308982387165232,0.999385329929776,7,31,"fatty acid oxidation","BP",0.330781236314779
"GO:0006783","GO:0006783",0.00318074352694632,0.999720460473249,4,11,"heme biosynthetic process","BP",0.337419056508514
"GO:0036094","GO:0036094",0.00352016380689561,0.99759546880459,86,996,"small molecule binding","MF",0.350095352917855
"GO:0004090","GO:0004090",0.0035862074760379,1,2,2,"carbonyl reductase (NADPH) activity","MF",0.350095352917855
"GO:0006796","GO:0006796",0.00359808875602586,0.997622310581895,72,810,"phosphate-containing compound metabolic process","BP",0.350095352917855
"GO:0009410","GO:0009410",0.00364400062247805,0.99937378958227,6,24,"response to xenobiotic stimulus","BP",0.350095352917855
"GO:0009062","GO:0009062",0.00365587469603222,0.999137346408163,8,40,"fatty acid catabolic process","BP",0.350095352917855
"GO:1990573","GO:1990573",0.00368303634983853,0.999506523218752,5,17,"potassium ion import across plasma membrane","BP",0.350095352917855
"GO:0005811","GO:0005811",0.00374307543662901,0.99935317080636,6,24,"lipid droplet","CC",0.350095352917855
"GO:0016769","GO:0016769",0.0037627713088121,0.999493252022696,5,17,"transferase activity, transferring nitrogenous groups","MF",0.350095352917855
"GO:0019725","GO:0019725",0.00388446247980481,0.99813593394931,24,208,"cellular homeostasis","BP",0.350095352917855
"GO:0046487","GO:0046487",0.00394839908460724,1,2,2,"glyoxylate metabolic process","BP",0.350095352917855
"GO:0010876","GO:0010876",0.00399893491039442,0.99831306432277,18,141,"lipid localization","BP",0.350095352917855
"GO:0005977","GO:0005977",0.00405446383235028,0.999023749337921,8,41,"glycogen metabolic process","BP",0.350095352917855
"GO:0006112","GO:0006112",0.00405446383235028,0.999023749337921,8,41,"energy reserve metabolic process","BP",0.350095352917855
"GO:0044042","GO:0044042",0.00405446383235028,0.999023749337921,8,41,"glucan metabolic process","BP",0.350095352917855
"GO:1901575","GO:1901575",0.00419389805942195,0.997193912585149,74,849,"organic substance catabolic process","BP",0.350095352917855
"GO:0120227","GO:0120227",0.00419753322764539,0.999600700550847,4,11,"acyl-CoA binding","MF",0.350095352917855
"GO:0006527","GO:0006527",0.00420278198209498,1,2,2,"arginine catabolic process","BP",0.350095352917855
"GO:0006739","GO:0006739",0.00420946708958471,0.999599238871838,4,11,"NADP metabolic process","BP",0.350095352917855
"GO:0008043","GO:0008043",0.00425995955314818,1,2,2,"intracellular ferritin complex","CC",0.350095352917855
"GO:0033212","GO:0033212",0.00425995955314818,1,2,2,"iron import into cell","BP",0.350095352917855
"GO:0070288","GO:0070288",0.00425995955314818,1,2,2,"ferritin complex","CC",0.350095352917855
"GO:0098711","GO:0098711",0.00425995955314818,1,2,2,"iron ion import across plasma membrane","BP",0.350095352917855
"GO:1990461","GO:1990461",0.00425995955314818,1,2,2,"detoxification of iron ion","BP",0.350095352917855
"GO:0052689","GO:0052689",0.00426728631974601,0.998295887100615,16,120,"carboxylic ester hydrolase activity","MF",0.350095352917855
"GO:0016034","GO:0016034",0.00431150750014453,1,2,2,"maleylacetoacetate isomerase activity","MF",0.350095352917855
"GO:0010911","GO:0010911",0.0043134595763043,1,2,2,"regulation of isomerase activity","BP",0.350095352917855
"GO:0010912","GO:0010912",0.0043134595763043,1,2,2,"positive regulation of isomerase activity","BP",0.350095352917855
"GO:2000371","GO:2000371",0.0043134595763043,1,2,2,"regulation of DNA topoisomerase (ATP-hydrolyzing) activity","BP",0.350095352917855
"GO:2000373","GO:2000373",0.0043134595763043,1,2,2,"positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity","BP",0.350095352917855
"GO:0006549","GO:0006549",0.00431590913838914,1,2,2,"isoleucine metabolic process","BP",0.350095352917855
"GO:0009082","GO:0009082",0.00431590913838914,1,2,2,"branched-chain amino acid biosynthetic process","BP",0.350095352917855
"GO:0009450","GO:0009450",0.00431590913838914,1,2,2,"gamma-aminobutyric acid catabolic process","BP",0.350095352917855
"GO:0043564","GO:0043564",0.00432031286487026,1,2,2,"Ku70:Ku80 complex","CC",0.350095352917855
"GO:0006585","GO:0006585",0.00432031286487027,1,2,2,"dopamine biosynthetic process from tyrosine","BP",0.350095352917855
"GO:0006790","GO:0006790",0.00438898279693352,0.998304212329152,15,109,"sulfur compound metabolic process","BP",0.353207174189085
"GO:0016653","GO:0016653",0.00457256683747206,0.999770859618889,3,6,"oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor","MF",0.363344579708446
"GO:0042168","GO:0042168",0.00457722625907461,0.999540359769158,4,12,"heme metabolic process","BP",0.363344579708446
"GO:0009064","GO:0009064",0.00462005046729719,0.999159959057553,6,25,"glutamine family amino acid metabolic process","BP",0.364266006100615
"GO:0098659","GO:0098659",0.00473490584746631,0.998971693772094,7,33,"inorganic cation import across plasma membrane","BP",0.367130021956152
"GO:0099587","GO:0099587",0.00473490584746631,0.998971693772094,7,33,"inorganic ion import across plasma membrane","BP",0.367130021956152
"GO:0004300","GO:0004300",0.00475076127477753,0.999758572796068,3,6,"enoyl-CoA hydratase activity","MF",0.367130021956152
"GO:0006525","GO:0006525",0.00478680015219708,0.999756066520044,3,6,"arginine metabolic process","BP",0.367481387999919
"GO:0035384","GO:0035384",0.00488923125184827,0.999289593130333,5,18,"thioester biosynthetic process","BP",0.37023396577454
"GO:0071616","GO:0071616",0.00488923125184827,0.999289593130333,5,18,"acyl-CoA biosynthetic process","BP",0.37023396577454
"GO:0009072","GO:0009072",0.00491783912032339,0.999284428596395,5,18,"aromatic amino acid metabolic process","BP",0.37023396577454
"GO:0015645","GO:0015645",0.00505463558082289,0.999259629248934,5,18,"fatty acid ligase activity","MF",0.378093221747579
"GO:0006163","GO:0006163",0.00520256017796455,0.997687132061045,19,154,"purine nucleotide metabolic process","BP",0.385219767608468
