"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0043228","GO:0043228",2.59916254408987e-13,1,1317,1535,"non-membrane-bounded organelle","CC",1.51648138634923e-09
"GO:0043232","GO:0043232",2.59916254408987e-13,1,1317,1535,"intracellular non-membrane-bounded organelle","CC",1.51648138634923e-09
"GO:0042254","GO:0042254",2.29909647674165e-11,1,198,208,"ribosome biogenesis","BP",8.94271892903276e-08
"GO:1990904","GO:1990904",5.37537939491269e-11,1,525,592,"ribonucleoprotein complex","CC",1.5681325539809e-07
"GO:0005840","GO:0005840",8.74600912413379e-10,0.999999999820849,179,190,"ribosome","CC",1.86988340342346e-06
"GO:0005634","GO:0005634",9.61462029354765e-10,1,2202,2645,"nucleus","CC",1.86988340342346e-06
"GO:0044391","GO:0044391",2.96427163003281e-09,0.999999999403615,165,175,"ribosomal subunit","CC",4.94144080726469e-06
"GO:0006364","GO:0006364",3.44119690931586e-09,0.999999999542935,134,139,"rRNA processing","BP",5.01941584185085e-06
"GO:0031974","GO:0031974",4.84871827065904e-09,1,743,861,"membrane-enclosed lumen","CC",5.6422851041249e-06
"GO:0043233","GO:0043233",4.84871827065904e-09,1,743,861,"organelle lumen","CC",5.6422851041249e-06
"GO:0070013","GO:0070013",5.31880505145033e-09,1,742,860,"intracellular organelle lumen","CC",5.6422851041249e-06
"GO:0003735","GO:0003735",9.39502017527546e-09,0.999999997889553,166,177,"structural constituent of ribosome","MF",8.80693358718717e-06
"GO:0140513","GO:0140513",9.81147798726825e-09,1,640,737,"nuclear protein-containing complex","CC",8.80693358718717e-06
"GO:0006412","GO:0006412",1.50934529076447e-08,1,382,430,"translation","BP",1.25803929985219e-05
"GO:0016072","GO:0016072",2.38914468681348e-08,0.999999995367267,148,156,"rRNA metabolic process","BP",1.85859529002843e-05
"GO:0022613","GO:0022613",2.8069000056642e-08,1,264,291,"ribonucleoprotein complex biogenesis","BP",2.04710726038097e-05
"GO:0031981","GO:0031981",5.41496004997364e-08,1,593,684,"nuclear lumen","CC",3.71689228371426e-05
"GO:0034660","GO:0034660",7.53548269153749e-08,1,312,348,"ncRNA metabolic process","BP",4.88508597375283e-05
"GO:0030684","GO:0030684",1.27666702715335e-07,0.999999994324551,80,81,"preribosome","CC",7.84075133676446e-05
"GO:0034641","GO:0034641",1.36893324853305e-07,1,2190,2652,"cellular nitrogen compound metabolic process","BP",7.98704103856606e-05
"GO:0015934","GO:0015934",2.16736191328076e-07,0.999999970788546,100,104,"large ribosomal subunit","CC",0.000120433076981301
"GO:0005730","GO:0005730",3.56388509225357e-07,1,207,227,"nucleolus","CC",0.000189031705188668
"GO:0034470","GO:0034470",5.98145104753667e-07,1,251,279,"ncRNA processing","BP",0.000303467618581328
"GO:0022626","GO:0022626",7.14925940873323e-07,0.999999898136805,94,98,"cytosolic ribosome","CC",0.000347602950168784
"GO:0006396","GO:0006396",8.42766704600749e-07,1,533,618,"RNA processing","BP",0.000388245586400845
"GO:0032543","GO:0032543",8.65060009120058e-07,0.999999855416562,103,108,"mitochondrial translation","BP",0.000388245586400845
"GO:0042273","GO:0042273",1.15675189541793e-06,1,58,58,"ribosomal large subunit biogenesis","BP",0.000496504869454242
"GO:0009059","GO:0009059",1.19137341200778e-06,0.999999312479706,2245,2726,"macromolecule biosynthetic process","BP",0.000496504869454242
"GO:0003723","GO:0003723",1.84206858183249e-06,1,562,655,"RNA binding","MF",0.000741210285565632
"GO:0043043","GO:0043043",1.94306710582506e-06,1,414,477,"peptide biosynthetic process","BP",0.000755788335262423
"GO:0010467","GO:0010467",2.05115973748646e-06,0.999998680310956,2060,2498,"gene expression","BP",0.00077209622505579
"GO:0140053","GO:0140053",2.73676732747639e-06,0.999999359721329,119,127,"mitochondrial gene expression","BP",0.00097569440919143
"GO:0005694","GO:0005694",2.75926947496077e-06,1,487,564,"chromosome","CC",0.00097569440919143
"GO:0070925","GO:0070925",3.21816877866308e-06,1,348,397,"organelle assembly","BP",0.00110449445524175
"GO:0002181","GO:0002181",4.15420933470212e-06,0.99999901092651,115,123,"cytoplasmic translation","BP",0.00138501339218969
"GO:0022625","GO:0022625",1.95741166625006e-05,0.999998816511554,54,55,"cytosolic large ribosomal subunit","CC",0.00634473242596443
"GO:0009058","GO:0009058",2.09141329817269e-05,0.999983595848569,2608,3190,"biosynthetic process","BP",0.00659586534496678
"GO:1901576","GO:1901576",2.65431277596194e-05,0.999979006869383,2595,3175,"organic substance biosynthetic process","BP",0.00815083573228945
"GO:0042274","GO:0042274",3.72030239504802e-05,0.999994530798456,70,73,"ribosomal small subunit biogenesis","BP",0.0111313355507219
"GO:0044249","GO:0044249",3.93663492020777e-05,0.999968688868986,2562,3136,"cellular biosynthetic process","BP",0.0114841482209761
"GO:0043604","GO:0043604",5.20226943993376e-05,0.999970095558805,440,514,"amide biosynthetic process","BP",0.0148061663645334
"GO:0090304","GO:0090304",5.61815369328968e-05,0.999956929299608,1667,2022,"nucleic acid metabolic process","BP",0.0156091036778565
"GO:0019953","GO:0019953",7.3600766744815e-05,0.999947830211657,930,1113,"sexual reproduction","BP",0.0199731941196569
"GO:0032991","GO:0032991",0.000111858574849295,0.999910576219481,2188,2677,"protein-containing complex","CC",0.0296654024981006
"GO:0043412","GO:0043412",0.000126147669035847,0.999908497356871,975,1169,"macromolecule modification","BP",0.0326540876826854
"GO:0044085","GO:0044085",0.000128724657931573,0.999904527263486,1119,1348,"cellular component biogenesis","BP",0.0326540876826854
"GO:0005929","GO:0005929",0.000152228247265874,0.999938687460548,153,170,"cilium","CC",0.0377947110073507
"GO:0003676","GO:0003676",0.000188976559014248,0.999855420686865,1330,1610,"nucleic acid binding","MF",0.045940988898693
"GO:0006139","GO:0006139",0.000208914568826284,0.99983385057058,1850,2256,"nucleobase-containing compound metabolic process","BP",0.0497515123190593
"GO:0046483","GO:0046483",0.000248935341617289,0.999800859362623,1907,2328,"heterocycle metabolic process","BP",0.0580965300266429
"GO:0140640","GO:0140640",0.000277745678266341,0.999851285310615,278,320,"catalytic activity, acting on a nucleic acid","MF",0.0635493003860771
"GO:0001539","GO:0001539",0.000309767573816818,0.999959618924679,53,55,"cilium or flagellum-dependent cell motility","BP",0.0681243762075053
"GO:0060285","GO:0060285",0.000309767573816818,0.999959618924679,53,55,"cilium-dependent cell motility","BP",0.0681243762075053
"GO:1901360","GO:1901360",0.000324006905050499,0.999738522012986,1995,2439,"organic cyclic compound metabolic process","BP",0.0681243762075053
"GO:0060271","GO:0060271",0.000325312757261074,0.99987779935931,124,137,"cilium assembly","BP",0.0681243762075053
"GO:0006725","GO:0006725",0.000326931619472131,0.999736692556862,1950,2383,"cellular aromatic compound metabolic process","BP",0.0681243762075053
"GO:0036211","GO:0036211",0.000369209708391284,0.999728328363939,901,1082,"protein modification process","BP",0.0755843524073315
"GO:0032040","GO:0032040",0.000403575876382112,0.999968238555101,43,44,"small-subunit processome","CC",0.0811952914052219
"GO:0000228","GO:0000228",0.000452900198110971,0.999852460531268,98,107,"nuclear chromosome","CC",0.0895744476568969
"GO:0071013","GO:0071013",0.000465672442620309,0.999833680372284,110,121,"catalytic step 2 spliceosome","CC",0.0905655288822731
"GO:0044782","GO:0044782",0.000553785068347785,0.9997676713473,137,153,"cilium organization","BP",0.104615046623887
"GO:0016859","GO:0016859",0.000557389159096766,1,32,32,"cis-trans isomerase activity","MF",0.104615046623887
"GO:1901566","GO:1901566",0.000569563778743565,0.999585045369788,776,932,"organonitrogen compound biosynthetic process","BP",0.104615046623887
"GO:0006260","GO:0006260",0.000573773501065112,0.99982037780442,91,99,"DNA replication","BP",0.104615046623887
"GO:0000003","GO:0000003",0.000587123005380893,0.999549023104324,1123,1360,"reproduction","BP",0.104993812167451
"GO:1901363","GO:1901363",0.000593846225302236,0.999514719264795,2069,2534,"heterocyclic compound binding","MF",0.104993812167451
"GO:0000313","GO:0000313",0.00061633804815425,0.999833146812608,73,79,"organellar ribosome","CC",0.105765421822234
"GO:0005761","GO:0005761",0.00061633804815425,0.999833146812608,73,79,"mitochondrial ribosome","CC",0.105765421822234
"GO:0006518","GO:0006518",0.000628261920386133,0.999588641285994,442,523,"peptide metabolic process","BP",0.10624910650704
"GO:0016070","GO:0016070",0.000754590438113374,0.999399292095688,1472,1793,"RNA metabolic process","BP",0.125790226033499
"GO:0032838","GO:0032838",0.000794495570704394,0.999799972614238,70,75,"plasma membrane bounded cell projection cytoplasm","CC",0.130577025557036
"GO:0006913","GO:0006913",0.000832695305798865,0.999669986444897,118,131,"nucleocytoplasmic transport","BP",0.132415215157888
"GO:0051169","GO:0051169",0.000832695305798865,0.999669986444897,118,131,"nuclear transport","BP",0.132415215157888
"GO:0003341","GO:0003341",0.000839722848717433,0.999787862888963,69,74,"cilium movement","BP",0.132415215157888
"GO:0006261","GO:0006261",0.000861448769403085,0.999759510194967,76,82,"DNA-templated DNA replication","BP",0.134029942535528
"GO:0003755","GO:0003755",0.000882876131193143,1,30,30,"peptidyl-prolyl cis-trans isomerase activity","MF",0.135556336511747
"GO:0097159","GO:0097159",0.000905600295828946,0.999254385436428,2082,2553,"organic cyclic compound binding","MF",0.137239608467896
"GO:0060294","GO:0060294",0.00100379238791468,0.999854297510017,47,49,"cilium movement involved in cell motility","BP",0.150169915058672
"GO:0051168","GO:0051168",0.00106377511276161,0.999674058404689,81,88,"nuclear export","BP",0.15712901001032
"GO:0006397","GO:0006397",0.00137243607017108,0.999185109824507,272,317,"mRNA processing","BP",0.200186956285329
"GO:0015935","GO:0015935",0.00140032479459589,0.999596840876234,68,74,"small ribosomal subunit","CC",0.201733210223943
"GO:0030703","GO:0030703",0.00152368162722914,0.999769337462054,45,47,"eggshell formation","BP",0.216827328148011
"GO:0046467","GO:0046467",0.00162117106250671,0.999524821813816,72,78,"membrane lipid biosynthetic process","BP",0.227510285138503
