"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005737","GO:0005737",4.86502169009875e-32,1,1569,4174,"cytoplasm","CC",5.67699381017623e-28
"GO:0006412","GO:0006412",3.27178077155923e-30,1,233,430,"translation","BP",1.90892049116623e-26
"GO:0043043","GO:0043043",3.07453127436262e-29,1,251,477,"peptide biosynthetic process","BP",1.19589018135125e-25
"GO:0006518","GO:0006518",1.34638054438418e-28,1,269,523,"peptide metabolic process","BP",3.92772864310475e-25
"GO:0043603","GO:0043603",6.43831498353538e-28,1,304,611,"amide metabolic process","BP",1.50257395085749e-24
"GO:0044391","GO:0044391",1.16699240163565e-27,1,108,175,"ribosomal subunit","CC",2.26960572244773e-24
"GO:0043604","GO:0043604",4.38810400587655e-27,1,262,514,"amide biosynthetic process","BP",7.31496937779621e-24
"GO:0003735","GO:0003735",8.94472669869014e-27,1,108,177,"structural constituent of ribosome","MF",1.30470019808769e-23
"GO:0005840","GO:0005840",1.04547150909522e-26,1,114,190,"ribosome","CC",1.35551189329246e-23
"GO:0005622","GO:0005622",1.60660233091523e-25,1,2155,6133,"intracellular anatomical structure","CC",1.87474425994498e-22
"GO:1901566","GO:1901566",3.64980414331333e-23,1,415,932,"organonitrogen compound biosynthetic process","BP",3.87177859530211e-20
"GO:0110165","GO:0110165",1.06281300552738e-21,1,2788,8399,"cellular anatomical entity","CC",1.03349708012492e-18
"GO:0002181","GO:0002181",1.99662032465984e-21,1,81,123,"cytoplasmic translation","BP",1.79219712065043e-18
"GO:0008152","GO:0008152",2.16347512636105e-21,1,1923,5461,"metabolic process","BP",1.80325651782193e-18
"GO:0005198","GO:0005198",2.38683775139798e-21,1,200,408,"structural molecule activity","MF",1.85680064807087e-18
"GO:0009987","GO:0009987",4.28420681960475e-21,1,2505,7324,"cellular process","BP",3.12452558612299e-18
"GO:0015934","GO:0015934",1.4328965836652e-20,1,69,104,"large ribosomal subunit","CC",9.83557072634661e-18
"GO:1901564","GO:1901564",4.69952594978431e-19,1,1041,2779,"organonitrogen compound metabolic process","BP",3.04659823933518e-16
"GO:0071704","GO:0071704",4.371113092939e-18,1,1812,5169,"organic substance metabolic process","BP",2.68455361481606e-15
"GO:0043229","GO:0043229",5.46732011572695e-18,1,1785,5091,"intracellular organelle","CC",3.18990792152089e-15
"GO:0044238","GO:0044238",1.24379475179691e-17,1,1708,4847,"primary metabolic process","BP",6.91135283748485e-15
"GO:0044237","GO:0044237",2.24973497133757e-17,1,1570,4397,"cellular metabolic process","BP",1.19327988093355e-14
"GO:0043226","GO:0043226",3.11870723260012e-17,1,1814,5198,"organelle","CC",1.58226933466134e-14
"GO:0009058","GO:0009058",8.64595010122062e-17,1,1173,3190,"biosynthetic process","BP",4.20373298879764e-14
"GO:0022626","GO:0022626",1.02428357782474e-16,1,61,98,"cytosolic ribosome","CC",4.78094602785474e-14
"GO:1901576","GO:1901576",1.22251068937559e-16,1,1167,3175,"organic substance biosynthetic process","BP",5.48672201320147e-14
"GO:0019538","GO:0019538",4.94408516568104e-16,1,869,2318,"protein metabolic process","BP",2.13676036290119e-13
"GO:0007275","GO:0007275",6.22078994991025e-16,1,829,2069,"multicellular organism development","BP",2.5925142116251e-13
"GO:0044249","GO:0044249",7.83365680600204e-16,1,1149,3136,"cellular biosynthetic process","BP",3.15210142307717e-13
"GO:0005829","GO:0005829",2.3818092503719e-15,1,365,853,"cytosol","CC",9.2644440475299e-13
"GO:0043231","GO:0043231",2.21913382734062e-14,1,1570,4490,"intracellular membrane-bounded organelle","CC",8.35324923588313e-12
"GO:0006807","GO:0006807",2.52200537724866e-14,1,1563,4467,"nitrogen compound metabolic process","BP",9.19665023347331e-12
"GO:0048856","GO:0048856",4.37757913227176e-14,1,957,2481,"anatomical structure development","BP",1.54793851195391e-11
"GO:0000313","GO:0000313",4.75632762367144e-14,1,50,79,"organellar ribosome","CC",1.58575962973206e-11
"GO:0005761","GO:0005761",4.75632762367144e-14,1,50,79,"mitochondrial ribosome","CC",1.58575962973206e-11
"GO:0005739","GO:0005739",3.67042780514267e-13,1,320,788,"mitochondrion","CC",1.18972839050583e-10
"GO:0048513","GO:0048513",1.86387304476503e-12,1,489,1155,"animal organ development","BP",5.87825258361167e-10
"GO:0010467","GO:0010467",3.98116122873964e-12,1,913,2498,"gene expression","BP",1.22253079942534e-09
"GO:0044271","GO:0044271",8.10633719110974e-12,1,681,1795,"cellular nitrogen compound biosynthetic process","BP",2.42545765853999e-09
"GO:0009059","GO:0009059",1.46013514629907e-11,1,985,2726,"macromolecule biosynthetic process","BP",4.25957925554098e-09
"GO:0000315","GO:0000315",1.96154537800401e-11,1,34,49,"organellar large ribosomal subunit","CC",5.44982690855448e-09
"GO:0005762","GO:0005762",1.96154537800401e-11,1,34,49,"mitochondrial large ribosomal subunit","CC",5.44982690855448e-09
"GO:0005759","GO:0005759",2.09874258631962e-11,1,75,142,"mitochondrial matrix","CC",5.69540168366597e-09
"GO:0032502","GO:0032502",3.65913551423876e-11,1,994,2657,"developmental process","BP",9.70419370810274e-09
"GO:0043227","GO:0043227",4.16148083803823e-11,1,1604,4674,"membrane-bounded organelle","CC",1.07911821997929e-08
"GO:0140053","GO:0140053",9.21045321193120e-11,1,68,127,"mitochondrial gene expression","BP",2.33645170717446e-08
"GO:0022625","GO:0022625",1.51816973624694e-10,0.999999999978445,35,55,"cytosolic large ribosomal subunit","CC",3.76926013877991e-08
"GO:0032543","GO:0032543",1.72567928913006e-10,0.999999999962047,59,108,"mitochondrial translation","BP",4.19519825517889e-08
"GO:0048731","GO:0048731",2.43668048704627e-10,1,573,1419,"system development","BP",5.80278053129448e-08
"GO:0043170","GO:0043170",5.18765757922558e-10,1,1441,4190,"macromolecule metabolic process","BP",1.21069552583967e-07
"GO:1990904","GO:1990904",8.36972252701789e-10,1,233,592,"ribonucleoprotein complex","CC",1.91502533662297e-07
"GO:0098798","GO:0098798",1.14350360899637e-09,1,112,251,"mitochondrial protein-containing complex","CC",2.5660660794959e-07
"GO:0048518","GO:0048518",2.12040874703571e-09,1,636,1645,"positive regulation of biological process","BP",4.66849993757731e-07
"GO:0034641","GO:0034641",3.03414834237413e-09,1,939,2652,"cellular nitrogen compound metabolic process","BP",6.55656981614142e-07
"GO:0009653","GO:0009653",4.42997026815865e-09,1,579,1465,"anatomical structure morphogenesis","BP",9.39878601075333e-07
"GO:0015935","GO:0015935",9.00910792275882e-09,0.999999997815285,40,74,"small ribosomal subunit","CC",1.87727286340487e-06
"GO:0032991","GO:0032991",1.11697794745085e-08,1,937,2677,"protein-containing complex","CC",2.28666941557965e-06
"GO:0009887","GO:0009887",2.13159955646638e-08,1,312,731,"animal organ morphogenesis","BP",4.28855779731142e-06
"GO:0048583","GO:0048583",2.36572711531977e-08,1,376,927,"regulation of response to stimulus","BP",4.67892706926549e-06
"GO:0009056","GO:0009056",4.92139708939833e-08,1,396,1023,"catabolic process","BP",9.57129710603152e-06
"GO:0012505","GO:0012505",8.99104838767401e-08,1,429,1130,"endomembrane system","CC",1.71994333829128e-05
"GO:0048522","GO:0048522",1.94527687149807e-07,1,561,1469,"positive regulation of cellular process","BP",3.66119932475984e-05
"GO:0009966","GO:0009966",2.47537073763457e-07,1,302,736,"regulation of signal transduction","BP",4.58493668848537e-05
"GO:0032501","GO:0032501",4.62007650404701e-07,0.999999793463544,1123,3176,"multicellular organismal process","BP",8.42369886339445e-05
"GO:0022627","GO:0022627",7.35042915443062e-07,0.999999852211954,25,43,"cytosolic small ribosomal subunit","CC",0.000131957165850848
"GO:0043436","GO:0043436",1.02131433900726e-06,1,146,338,"oxoacid metabolic process","BP",0.00018057147002842
"GO:1901575","GO:1901575",1.11289035985746e-06,0.99999953965671,327,849,"organic substance catabolic process","BP",0.000193825635957861
"GO:0008135","GO:0008135",1.33511514376079e-06,0.999999598796916,42,71,"translation factor activity, RNA binding","MF",0.000229109685478598
"GO:0003824","GO:0003824",1.96757196559524e-06,0.999998547935554,1159,3384,"catalytic activity","MF",0.000332747786471461
"GO:0006082","GO:0006082",2.10336902277084e-06,0.999999217138025,147,342,"organic acid metabolic process","BP",0.000350631616095899
"GO:0019752","GO:0019752",2.25362715884125e-06,0.999999162345216,145,337,"carboxylic acid metabolic process","BP",0.000370388384739698
"GO:0023051","GO:0023051",2.59838669462878e-06,0.999998408387316,344,865,"regulation of signaling","BP",0.000421119088050323
"GO:0010646","GO:0010646",2.98109837791823e-06,0.99999817037409,345,869,"regulation of cell communication","BP",0.000476526533862025
"GO:0065007","GO:0065007",3.78757020779207e-06,0.999997020388544,1393,4010,"biological regulation","BP",0.00059725887506386
"GO:0009894","GO:0009894",3.92228491984506e-06,0.999998153845257,126,280,"regulation of catabolic process","BP",0.000610255236395626
"GO:0005488","GO:0005488",4.09444509088221e-06,0.999996733366748,1698,5066,"binding","MF",0.000628658944282954
"GO:0031090","GO:0031090",4.34902092209307e-06,0.999997374663573,282,740,"organelle membrane","CC",0.000659074352466286
"GO:0045182","GO:0045182",4.46916288113096e-06,0.999998324648851,52,96,"translation regulator activity","MF",0.000668598226409194
"GO:0090079","GO:0090079",6.79327387621579e-06,0.999997488172398,49,90,"translation regulator activity, nucleic acid binding","MF",0.00100342674508306
"GO:0060429","GO:0060429",7.7783167111191e-06,0.99999519138501,231,548,"epithelium development","BP",0.00113456472127561
"GO:0003743","GO:0003743",8.96087047184897e-06,0.999997626565859,31,50,"translation initiation factor activity","MF",0.00129091848809883
"GO:0044281","GO:0044281",1.04578332664247e-05,0.999992961893168,276,715,"small molecule metabolic process","BP",0.00148820068763304
"GO:0009791","GO:0009791",1.07032336025903e-05,0.999993037560219,255,622,"post-embryonic development","BP",0.00150477148082682
"GO:0002165","GO:0002165",1.22232788346887e-05,0.99999218686874,227,544,"instar larval or pupal development","BP",0.00169801715145216
"GO:0050789","GO:0050789",1.34531099574561e-05,0.999988992627056,1310,3769,"regulation of biological process","BP",0.00184687458933595
"GO:0007423","GO:0007423",1.45034833943141e-05,0.99999092047231,200,468,"sensory organ development","BP",0.00196792032242153
"GO:0044248","GO:0044248",1.58510319405564e-05,0.999989674961062,219,546,"cellular catabolic process","BP",0.00212604243349831
"GO:0009886","GO:0009886",1.83183690972144e-05,0.999988552928472,193,452,"post-embryonic animal morphogenesis","BP",0.00242905737494767
"GO:0048569","GO:0048569",1.95184199375653e-05,0.999987556792565,196,462,"post-embryonic animal organ development","BP",0.00255910609271292
"GO:0048707","GO:0048707",2.08914785168219e-05,0.99998678090087,188,439,"instar larval or pupal morphogenesis","BP",0.00270869625347549
"GO:0009888","GO:0009888",2.31331467137807e-05,0.999984256127429,262,639,"tissue development","BP",0.00294880587617011
"GO:0009968","GO:0009968",2.32487908653398e-05,0.999986030249182,154,358,"negative regulation of signal transduction","BP",0.00294880587617011
"GO:0002009","GO:0002009",2.40724648730892e-05,0.999985831199269,143,319,"morphogenesis of an epithelium","BP",0.00302044723230191
"GO:0101031","GO:0101031",2.52989640438062e-05,0.999999070624562,11,12,"protein folding chaperone complex","CC",0.00314057033433164
"GO:0006413","GO:0006413",2.82319568808631e-05,0.999990644659776,36,64,"translational initiation","BP",0.00346777584045043
"GO:0048523","GO:0048523",2.88950645125122e-05,0.99997798351189,500,1337,"negative regulation of cellular process","BP",0.00351225528954693
"GO:0043228","GO:0043228",3.24265721330126e-05,0.999974852421242,544,1535,"non-membrane-bounded organelle","CC",0.00386107826755229
"GO:0043232","GO:0043232",3.24265721330126e-05,0.999974852421242,544,1535,"intracellular non-membrane-bounded organelle","CC",0.00386107826755229
"GO:0048585","GO:0048585",3.36894995380254e-05,0.99997865402069,170,404,"negative regulation of response to stimulus","BP",0.00397093707181029
"GO:0006629","GO:0006629",3.75140100641623e-05,0.999975318537126,198,499,"lipid metabolic process","BP",0.00435831735398268
"GO:0007444","GO:0007444",3.77230313439242e-05,0.999974625873861,231,559,"imaginal disc development","BP",0.00435831735398268
"GO:1901565","GO:1901565",4.06236615788132e-05,0.999972922579377,203,516,"organonitrogen compound catabolic process","BP",0.00464241349093269
"GO:0009057","GO:0009057",4.09776835689491e-05,0.999972463096312,212,541,"macromolecule catabolic process","BP",0.00464241349093269
"GO:0044255","GO:0044255",4.16123256636968e-05,0.999974399178805,148,358,"cellular lipid metabolic process","BP",0.00466898296316998
"GO:0001654","GO:0001654",4.39178977512235e-05,0.999972181821157,168,387,"eye development","BP",0.00478951354073858
"GO:0048880","GO:0048880",4.39178977512235e-05,0.999972181821157,168,387,"sensory system development","BP",0.00478951354073858
"GO:0150063","GO:0150063",4.39178977512235e-05,0.999972181821157,168,387,"visual system development","BP",0.00478951354073858
"GO:0048729","GO:0048729",4.75928883464011e-05,0.999970507212903,151,344,"tissue morphogenesis","BP",0.0051422353158718
"GO:0007399","GO:0007399",4.91876223458835e-05,0.999962823458485,425,1096,"nervous system development","BP",0.00526578316655151
"GO:0009790","GO:0009790",4.98489385874503e-05,0.999966293849183,216,524,"embryo development","BP",0.00528806603979052
"GO:0006979","GO:0006979",5.09420995952432e-05,0.999975979762757,62,131,"response to oxidative stress","BP",0.00535534558717921
