"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0044282","GO:0044282",1.07042885630772e-18,1,70,133,"small molecule catabolic process","BP",1.24908343242548e-14
"GO:0016054","GO:0016054",1.24904226289028e-17,1,54,91,"organic acid catabolic process","BP",4.85835805522224e-14
"GO:0046395","GO:0046395",1.24904226289028e-17,1,54,91,"carboxylic acid catabolic process","BP",4.85835805522224e-14
"GO:0044281","GO:0044281",2.09938746737582e-15,1,218,715,"small molecule metabolic process","BP",6.1244380892021e-12
"GO:0016491","GO:0016491",3.95676380940327e-13,1,168,544,"oxidoreductase activity","MF",9.23429537838536e-10
"GO:1901605","GO:1901605",3.49009109944449e-12,1,44,84,"alpha-amino acid metabolic process","BP",6.63394812528714e-09
"GO:0003824","GO:0003824",3.97957296058017e-12,1,758,3384,"catalytic activity","MF",6.63394812528714e-09
"GO:0019752","GO:0019752",7.0659623708771e-12,1,115,337,"carboxylic acid metabolic process","BP",1.03065893632206e-08
"GO:0043436","GO:0043436",8.79845114665193e-12,1,115,338,"oxoacid metabolic process","BP",1.0675494704598e-08
"GO:0006082","GO:0006082",9.14859431364981e-12,1,116,342,"organic acid metabolic process","BP",1.0675494704598e-08
"GO:1901606","GO:1901606",3.19370334662384e-10,0.999999999962599,27,43,"alpha-amino acid catabolic process","BP",3.38793857743214e-07
"GO:0006520","GO:0006520",1.45845533466104e-09,0.999999999533715,58,143,"amino acid metabolic process","BP",1.4182262750133e-06
"GO:0009063","GO:0009063",5.33332870433793e-09,0.999999999131552,27,47,"amino acid catabolic process","BP",4.78727789622456e-06
"GO:0006749","GO:0006749",1.61168176355295e-08,0.999999997282794,25,47,"glutathione metabolic process","BP",1.30468700613143e-05
"GO:0006635","GO:0006635",1.67711929830932e-08,0.999999998306415,19,28,"fatty acid beta-oxidation","BP",1.30468700613143e-05
"GO:1901565","GO:1901565",2.66314125072695e-08,1,145,516,"organonitrogen compound catabolic process","BP",1.85270311706256e-05
"GO:0019395","GO:0019395",2.69911329077586e-08,0.999999996820387,20,31,"fatty acid oxidation","BP",1.85270311706256e-05
"GO:0005975","GO:0005975",3.96360332873895e-08,1,81,243,"carbohydrate metabolic process","BP",2.56951595794749e-05
"GO:0071944","GO:0071944",5.69188388409699e-08,1,362,1526,"cell periphery","CC",3.49571542334357e-05
"GO:0034440","GO:0034440",6.06987592119028e-08,0.999999992193171,20,32,"lipid oxidation","BP",3.54146910621847e-05
"GO:0009062","GO:0009062",6.47709088552951e-08,0.999999989594173,23,40,"fatty acid catabolic process","BP",3.59910350205923e-05
"GO:0072329","GO:0072329",7.50133678605756e-08,0.999999987057839,24,43,"monocarboxylic acid catabolic process","BP",3.97877722529571e-05
"GO:0016616","GO:0016616",1.23387306487744e-07,0.999999961857551,41,101,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",6.21397798287728e-05
"GO:0004364","GO:0004364",1.31739857390608e-07,0.999999979974146,20,37,"glutathione transferase activity","MF",6.21397798287728e-05
"GO:0042558","GO:0042558",1.33130045052646e-07,0.999999989195625,15,21,"pteridine-containing compound metabolic process","BP",6.21397798287728e-05
"GO:0016614","GO:0016614",1.65613287435565e-07,0.999999943727922,46,119,"oxidoreductase activity, acting on CH-OH group of donors","MF",7.43285173494466e-05
"GO:0030001","GO:0030001",1.83667723385105e-07,1,80,248,"metal ion transport","BP",7.9378469043733e-05
"GO:0016020","GO:0016020",2.01792792492056e-07,1,580,2628,"membrane","CC",8.40971462710645e-05
"GO:0016765","GO:0016765",3.49116761990994e-07,0.999999921979934,26,56,"transferase activity, transferring alkyl or aryl (other than methyl) groups","MF",0.000140477361919755
"GO:1901136","GO:1901136",5.00903550340241e-07,0.999999859776078,33,76,"carbohydrate derivative catabolic process","BP",0.000194834784297342
"GO:0006575","GO:0006575",6.99483163858455e-07,0.999999900412486,18,30,"cellular modified amino acid metabolic process","BP",0.000263299001260139
"GO:0055086","GO:0055086",7.55393581107873e-07,1,73,230,"nucleobase-containing small molecule metabolic process","BP",0.000275458990560868
"GO:0005886","GO:0005886",9.65268603055311e-07,0.999999600016822,295,1219,"plasma membrane","CC",0.000341324828153104
"GO:1901575","GO:1901575",1.32569599056525e-06,0.999999468400139,211,849,"organic substance catabolic process","BP",0.000454986662173704
"GO:0016645","GO:0016645",1.38566416847642e-06,0.999999859717162,14,21,"oxidoreductase activity, acting on the CH-NH group of donors","MF",0.000461980433770037
"GO:0007268","GO:0007268",1.46513373407476e-06,0.999999493599601,90,297,"chemical synaptic transmission","BP",0.000462071501159957
"GO:0098916","GO:0098916",1.46513373407476e-06,0.999999493599601,90,297,"anterograde trans-synaptic signaling","BP",0.000462071501159957
"GO:0005838","GO:0005838",1.94827478075962e-06,0.999999740460018,16,26,"proteasome regulatory particle","CC",0.000598274168860105
"GO:0099537","GO:0099537",3.12142232192477e-06,0.999998590240205,90,301,"trans-synaptic signaling","BP",0.000920172785662716
"GO:0006811","GO:0006811",3.15424727281761e-06,0.999998497244389,112,397,"monoatomic ion transport","BP",0.000920172785662716
"GO:0005737","GO:0005737",3.73845398901521e-06,0.999997218441481,857,4174,"cytoplasm","CC",0.00106400047799557
"GO:0022624","GO:0022624",3.92202264567107e-06,0.999999426121046,16,27,"proteasome accessory complex","CC",0.0010682034295001
"GO:0015079","GO:0015079",3.93630537908168e-06,0.999998908139917,28,63,"potassium ion transmembrane transporter activity","MF",0.0010682034295001
"GO:0030258","GO:0030258",4.31353791462864e-06,0.999998790593653,28,64,"lipid modification","BP",0.00114396986195004
"GO:0009056","GO:0009056",4.67877977780881e-06,0.999997019689035,246,1023,"catabolic process","BP",0.0012132595828278
"GO:0030431","GO:0030431",5.13182865461643e-06,0.999998336493427,33,83,"sleep","BP",0.0013018110558852
"GO:0046873","GO:0046873",6.71479778671323e-06,0.999996889169315,61,186,"metal ion transmembrane transporter activity","MF",0.00166712713559908
"GO:1901135","GO:1901135",7.01362681932847e-06,0.999996220294567,119,436,"carbohydrate derivative metabolic process","BP",0.00170504190322383
"GO:0008652","GO:0008652",7.20332643483882e-06,0.999998473205827,20,40,"amino acid biosynthetic process","BP",0.00171542073812519
"GO:0062129","GO:0062129",8.37092313543867e-06,0.99999729155665,30,86,"chitin-based extracellular matrix","CC",0.00195360604134868
"GO:0099536","GO:0099536",9.60952658139355e-06,0.999994938618833,90,308,"synaptic signaling","BP",0.00219869736624081
"GO:0005261","GO:0005261",1.12720741855324e-05,0.999995037633004,52,154,"monoatomic cation channel activity","MF",0.00252949680136495
"GO:0006812","GO:0006812",1.16808089437557e-05,0.999993732834168,94,329,"monoatomic cation transport","BP",0.00257176150122048
"GO:0044242","GO:0044242",2.00624509268803e-05,0.999993081949736,32,82,"cellular lipid catabolic process","BP",0.00433534703455122
"GO:0000502","GO:0000502",2.18468292105385e-05,0.999994062487168,23,53,"proteasome complex","CC",0.00463510272832316
"GO:0005244","GO:0005244",2.46562296070677e-05,0.999993581204994,22,48,"voltage-gated monoatomic ion channel activity","MF",0.00504760602254162
"GO:0022832","GO:0022832",2.46562296070677e-05,0.999993581204994,22,48,"voltage-gated channel activity","MF",0.00504760602254162
"GO:0004553","GO:0004553",2.95486480343234e-05,0.999989867515737,30,80,"hydrolase activity, hydrolyzing O-glycosyl compounds","MF",0.00584946280072933
"GO:0034220","GO:0034220",2.95756538900532e-05,0.999984075466903,81,280,"monoatomic ion transmembrane transport","BP",0.00584946280072933
"GO:0022843","GO:0022843",3.11605535265374e-05,0.999992810134428,19,39,"voltage-gated monoatomic cation channel activity","MF",0.00606020831835275
"GO:0005576","GO:0005576",3.30133350750672e-05,0.999977529723769,195,887,"extracellular region","CC",0.00624669104494542
"GO:0098662","GO:0098662",3.31900629691161e-05,0.999982716645107,72,243,"inorganic cation transmembrane transport","BP",0.00624669104494542
"GO:0016860","GO:0016860",3.47579824425922e-05,0.999993212457041,16,31,"intramolecular oxidoreductase activity","MF",0.00643795074797791
"GO:0031012","GO:0031012",3.79093169859979e-05,0.99998147259124,58,202,"extracellular matrix","CC",0.00691193468608765
"GO:0008540","GO:0008540",4.21390771711628e-05,0.999997107739662,9,12,"proteasome regulatory particle, base subcomplex","CC",0.00756493679246614
"GO:0016742","GO:0016742",4.29475757020018e-05,1,6,6,"hydroxymethyl-, formyl- and related transferase activity","MF",0.00759326152828271
"GO:0030126","GO:0030126",4.78864723017708e-05,0.999998690037765,7,8,"COPI vesicle coat","CC",0.00806151479596046
"GO:0030137","GO:0030137",4.78864723017708e-05,0.999998690037765,7,8,"COPI-coated vesicle","CC",0.00806151479596046
"GO:0030663","GO:0030663",4.78864723017708e-05,0.999998690037765,7,8,"COPI-coated vesicle membrane","CC",0.00806151479596046
"GO:0008010","GO:0008010",4.83594168923843e-05,0.999984783793304,24,70,"structural constituent of chitin-based larval cuticle","MF",0.00806151479596046
"GO:0098655","GO:0098655",5.03174669443973e-05,0.999973280483574,73,250,"monoatomic cation transmembrane transport","BP",0.00816112427485965
"GO:0004029","GO:0004029",5.10551094408051e-05,1,6,6,"aldehyde dehydrogenase (NAD+) activity","MF",0.00816112427485965
"GO:0004030","GO:0004030",5.10551094408051e-05,1,6,6,"aldehyde dehydrogenase [NAD(P)+] activity","MF",0.00816112427485965
"GO:0045938","GO:0045938",5.19174107255329e-05,0.999994010347796,11,17,"positive regulation of circadian sleep/wake cycle, sleep","BP",0.0081868144021114
"GO:1901607","GO:1901607",5.29832678934162e-05,0.999988313792366,17,35,"alpha-amino acid biosynthetic process","BP",0.00824349004064364
"GO:1901702","GO:1901702",5.69100810959416e-05,0.999969558149244,72,244,"salt transmembrane transporter activity","MF",0.00873794389879661
"GO:0008324","GO:0008324",5.82113339469632e-05,0.999967498576473,81,283,"monoatomic cation transmembrane transporter activity","MF",0.00882166306268979
"GO:0005267","GO:0005267",6.30428633293553e-05,0.999983506394062,20,44,"potassium channel activity","MF",0.00943137400243907
"GO:0016798","GO:0016798",6.52166103667538e-05,0.999975371428459,32,91,"hydrolase activity, acting on glycosyl bonds","MF",0.00963307121986899
"GO:0072521","GO:0072521",6.90479281812642e-05,0.999966021940449,55,178,"purine-containing compound metabolic process","BP",0.0100715034243397
"GO:0034702","GO:0034702",8.21986780892571e-05,0.99997210982395,27,68,"monoatomic ion channel complex","CC",0.0118416836373277
"GO:0016646","GO:0016646",9.38254573240892e-05,0.99999349701526,8,11,"oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor","MF",0.0133518202623756
"GO:0009072","GO:0009072",9.92002527988242e-05,0.999986849703587,11,18,"aromatic amino acid metabolic process","BP",0.0139465993964998
"GO:0042302","GO:0042302",0.000107552630406417,0.999958697906505,30,96,"structural constituent of cuticle","MF",0.0149408529072914
"GO:0098660","GO:0098660",0.00011247407800609,0.999936214799563,78,277,"inorganic ion transmembrane transport","BP",0.0154407060735654
"GO:0072376","GO:0072376",0.000117962933993237,0.999978631175031,13,25,"protein activation cascade","BP",0.015821948008817
"GO:0160032","GO:0160032",0.000117962933993237,0.999978631175031,13,25,"Toll receptor ligand protein activation cascade","BP",0.015821948008817
"GO:0006836","GO:0006836",0.000120767264069795,0.999946415232615,41,122,"neurotransmitter transport","BP",0.0159795665714073
"GO:0015629","GO:0015629",0.000121876889609671,0.999946340957011,40,121,"actin cytoskeleton","CC",0.0159795665714073
"GO:0006760","GO:0006760",0.000126831684108029,0.999990777127403,8,11,"folic acid-containing compound metabolic process","BP",0.0163631418241326
"GO:1905369","GO:1905369",0.000127606984831268,0.999959482095982,23,58,"endopeptidase complex","CC",0.0163631418241326
"GO:0110165","GO:0110165",0.000140214196521341,0.999888843562089,1604,8399,"cellular anatomical entity","CC",0.0176900919717958
"GO:0044248","GO:0044248",0.000141540015798112,0.999906531584776,137,546,"cellular catabolic process","BP",0.0176900919717958
"GO:0009127","GO:0009127",0.000145199026069665,0.999989209744535,8,11,"purine nucleoside monophosphate biosynthetic process","BP",0.0176900919717958
"GO:0009168","GO:0009168",0.000145199026069665,0.999989209744535,8,11,"purine ribonucleoside monophosphate biosynthetic process","BP",0.0176900919717958
"GO:0023061","GO:0023061",0.000145535078352249,0.999934625795149,41,124,"signal release","BP",0.0176900919717958
"GO:0071805","GO:0071805",0.000157572321439064,0.999946121528011,25,65,"potassium ion transmembrane transport","BP",0.0189557878234272
"GO:0009112","GO:0009112",0.000161834470269531,0.999972707274768,12,22,"nucleobase metabolic process","BP",0.0192698615670935
"GO:0019915","GO:0019915",0.000168917680124893,0.999945463964283,23,57,"lipid storage","BP",0.0198173324384468
"GO:0007267","GO:0007267",0.000169828883695662,0.99988970059806,124,482,"cell-cell signaling","BP",0.0198173324384468
"GO:0005829","GO:0005829",0.000177370611717811,0.99987367685638,196,853,"cytosol","CC",0.0204924521597539
"GO:0006813","GO:0006813",0.000180924131766764,0.999935788730005,26,69,"potassium ion transport","BP",0.0206980754273174
"GO:0046653","GO:0046653",0.000194622669937016,0.999994133327378,6,7,"tetrahydrofolate metabolic process","BP",0.0220490479174276
"GO:0034703","GO:0034703",0.000198503479007658,0.99993943855217,21,50,"cation channel complex","CC",0.0222724720821189
"GO:0005509","GO:0005509",0.000215741455167221,0.999886186551071,57,197,"calcium ion binding","MF",0.0239760670509172
"GO:0005214","GO:0005214",0.000222965258359076,0.999911547986907,29,95,"structural constituent of chitin-based cuticle","MF",0.0243582517471595
"GO:0005249","GO:0005249",0.000226536267640246,0.999948152517461,15,31,"voltage-gated potassium channel activity","MF",0.0243582517471595
"GO:0009064","GO:0009064",0.000226677212166408,0.999955815482493,13,25,"glutamine family amino acid metabolic process","BP",0.0243582517471595
