"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005214","GO:0005214",1.03763979174901e-06,0.999999925684873,8,95,"structural constituent of chitin-based cuticle","MF",0.00665155173762507
"GO:0042302","GO:0042302",1.14003800456339e-06,0.999999917256874,8,96,"structural constituent of cuticle","MF",0.00665155173762507
"GO:0062129","GO:0062129",7.02051074158396e-06,0.999999472149563,7,86,"chitin-based extracellular matrix","CC",0.019341515151842
"GO:0031012","GO:0031012",7.19040222754909e-06,0.999999186234749,9,202,"extracellular matrix","CC",0.019341515151842
"GO:0040003","GO:0040003",8.28756326670754e-06,0.9999991958382,8,151,"chitin-based cuticle development","BP",0.019341515151842
"GO:0009074","GO:0009074",1.98905347411519e-05,0.999999812259243,3,10,"aromatic amino acid family catabolic process","BP",0.0374317521335109
"GO:0030312","GO:0030312",2.24545603680329e-05,0.999997051724243,9,230,"external encapsulating structure","CC",0.0374317521335109
"GO:0042335","GO:0042335",2.86934260307366e-05,0.999996663329993,8,191,"cuticle development","BP",0.0402702092057626
"GO:0005576","GO:0005576",3.10593780831145e-05,0.999991986809333,18,887,"extracellular region","CC",0.0402702092057626
"GO:0071944","GO:0071944",5.66905893025186e-05,0.99998364186143,20,1526,"cell periphery","CC",0.0661522486571089
"GO:1901606","GO:1901606",7.58742763270267e-05,0.999997052284864,4,43,"alpha-amino acid catabolic process","BP",0.0760278957614228
"GO:0005615","GO:0005615",7.81844844577147e-05,0.999981643062271,14,603,"extracellular space","CC",0.0760278957614228
"GO:0009072","GO:0009072",0.000105986945350313,0.999998008610001,3,18,"aromatic amino acid metabolic process","BP",0.0951355127148314
"GO:0004806","GO:0004806",0.000272904010471842,0.999984996898185,4,53,"triglyceride lipase activity","MF",0.227465492728281
"GO:0052689","GO:0052689",0.000582883135318113,0.999941464429137,5,120,"carboxylic ester hydrolase activity","MF",0.401079477240487
"GO:0006558","GO:0006558",0.000653055966027017,0.999993999195964,2,7,"L-phenylalanine metabolic process","BP",0.401079477240487
"GO:0006559","GO:0006559",0.000653055966027017,0.999993999195964,2,7,"L-phenylalanine catabolic process","BP",0.401079477240487
"GO:1902221","GO:1902221",0.000653055966027017,0.999993999195964,2,7,"erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process","BP",0.401079477240487
"GO:1902222","GO:1902222",0.000653055966027017,0.999993999195964,2,7,"erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process","BP",0.401079477240487
"GO:0016702","GO:0016702",0.000704606105633165,0.999993271800188,2,7,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF",0.41110243233167
"GO:0016701","GO:0016701",0.000918805841604909,0.99998957396743,2,8,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","MF",0.510549779318461
"GO:1901605","GO:1901605",0.00116151906808869,0.999904266908497,4,84,"alpha-amino acid metabolic process","BP",0.616080272978498
"GO:0016054","GO:0016054",0.00136687798357214,0.999881985568236,4,91,"organic acid catabolic process","BP",0.664587466262637
"GO:0046395","GO:0046395",0.00136687798357214,0.999881985568236,4,91,"carboxylic acid catabolic process","BP",0.664587466262637
"GO:0016298","GO:0016298",0.00145303446010988,0.999872599207445,4,87,"lipase activity","MF",0.678218364600889
"GO:0006570","GO:0006570",0.00161384346955032,0.999973564664104,2,12,"tyrosine metabolic process","BP",0.724305363314718
"GO:0009063","GO:0009063",0.00194713634018413,0.99989217152884,3,47,"amino acid catabolic process","BP",0.841523479763284
"GO:0008010","GO:0008010",0.00346615677033183,0.999616399961413,4,70,"structural constituent of chitin-based larval cuticle","MF",1
"GO:0006952","GO:0006952",0.0036586146861739,0.999100671939703,8,436,"defense response","BP",1
"GO:0043225","GO:0043225",0.0041500621496002,1,1,1,"ATPase-coupled inorganic anion transmembrane transporter activity","MF",1
