"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0044281","GO:0044281",1.19435660777213e-17,1,284,715,"small molecule metabolic process","BP",1.3936947256093e-13
"GO:0016491","GO:0016491",8.08076646756795e-16,1,223,544,"oxidoreductase activity","MF",4.71472319550252e-12
"GO:0006082","GO:0006082",1.9502482256954e-13,1,149,342,"organic acid metabolic process","BP",5.87289716334221e-10
"GO:0032787","GO:0032787",2.03754891484335e-13,1,88,170,"monocarboxylic acid metabolic process","BP",5.87289716334221e-10
"GO:0019752","GO:0019752",2.51645263661934e-13,1,147,337,"carboxylic acid metabolic process","BP",5.87289716334221e-10
"GO:0043436","GO:0043436",3.32921807562903e-13,1,147,338,"oxoacid metabolic process","BP",6.47477428741918e-10
"GO:0044282","GO:0044282",5.24115693946884e-13,1,73,133,"small molecule catabolic process","BP",8.73700861809456e-10
"GO:0005975","GO:0005975",9.02459497333188e-11,1,108,243,"carbohydrate metabolic process","BP",1.31634998429762e-07
"GO:0016614","GO:0016614",1.89576117523363e-10,0.999999999956309,63,119,"oxidoreductase activity, acting on CH-OH group of donors","MF",2.45795968375569e-07
"GO:0016616","GO:0016616",7.14586537590802e-10,0.999999999811699,55,101,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",8.33851030714707e-07
"GO:0003824","GO:0003824",4.52840647846607e-09,1,991,3384,"catalytic activity","MF",4.80381592702005e-06
"GO:0016620","GO:0016620",6.09295441725989e-08,0.999999992281642,23,32,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","MF",5.92489042458381e-05
"GO:0016052","GO:0016052",7.26598100952786e-08,0.999999981763804,38,67,"carbohydrate catabolic process","BP",6.52205633847543e-05
"GO:0006090","GO:0006090",7.91848631499034e-08,0.999999986626351,27,41,"pyruvate metabolic process","BP",6.60005834354445e-05
"GO:0005576","GO:0005576",1.05105334167629e-07,1,293,887,"extracellular region","CC",8.17649429601373e-05
