"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0003824","GO:0003824",2.17701110781964e-35,1,1157,3384,"catalytic activity","MF",2.54035426171474e-31
"GO:0005739","GO:0005739",1.43846833151237e-32,1,345,788,"mitochondrion","CC",8.39274348020895e-29
"GO:0005737","GO:0005737",2.53879789089594e-29,1,1341,4174,"cytoplasm","CC",9.87507752962156e-26
"GO:0044281","GO:0044281",2.0391175609921e-25,1,313,715,"small molecule metabolic process","BP",5.94861570480421e-22
"GO:0098798","GO:0098798",3.88188441730283e-23,1,132,251,"mitochondrial protein-containing complex","CC",9.05954185310135e-20
"GO:0006082","GO:0006082",1.57636377931908e-18,1,165,342,"organic acid metabolic process","BP",2.972489483903e-15
"GO:0019752","GO:0019752",1.78313706292921e-18,1,163,337,"carboxylic acid metabolic process","BP",2.972489483903e-15
"GO:0043436","GO:0043436",2.58807760512305e-18,1,163,338,"oxoacid metabolic process","BP",3.77503469677261e-15
"GO:0006091","GO:0006091",3.03628748248024e-18,1,122,232,"generation of precursor metabolites and energy","BP",3.93671540367355e-15
"GO:0005740","GO:0005740",2.26945017985253e-16,1,136,288,"mitochondrial envelope","CC",2.64822141486992e-13
"GO:0031966","GO:0031966",3.94602544769737e-16,1,128,266,"mitochondrial membrane","CC",4.1860155408346e-13
"GO:0044282","GO:0044282",6.1207947082457e-16,1,79,133,"small molecule catabolic process","BP",5.95196278754325e-13
"GO:0009060","GO:0009060",1.10108066712383e-15,1,78,134,"aerobic respiration","BP",9.88346946512923e-13
"GO:0016491","GO:0016491",2.13556229717394e-15,1,224,544,"oxidoreductase activity","MF",1.77999117469448e-12
"GO:0005743","GO:0005743",3.51377746123237e-15,1,105,209,"mitochondrial inner membrane","CC",2.73348461300803e-12
"GO:0045333","GO:0045333",5.94386106135844e-15,1,80,142,"cellular respiration","BP",4.33493217031198e-12
"GO:0098800","GO:0098800",1.42307540089185e-14,1,79,144,"inner mitochondrial membrane protein complex","CC",9.76815697235704e-12
"GO:0005975","GO:0005975",2.0465693187162e-14,1,120,243,"carbohydrate metabolic process","BP",1.32674541000552e-11
"GO:1990204","GO:1990204",3.99058999362689e-14,1,57,89,"oxidoreductase complex","CC",2.27384891332678e-11
"GO:0006119","GO:0006119",4.08528963141485e-14,1,64,107,"oxidative phosphorylation","BP",2.27384891332678e-11
"GO:1901564","GO:1901564",4.09210962206379e-14,1,872,2779,"organonitrogen compound metabolic process","BP",2.27384891332678e-11
"GO:0019866","GO:0019866",6.6097540176816e-14,1,105,216,"organelle inner membrane","CC",3.50587361965121e-11
"GO:0015980","GO:0015980",8.32419964767985e-14,1,94,183,"energy derivation by oxidation of organic compounds","BP",4.22326459516418e-11
"GO:0016787","GO:0016787",9.21462700672232e-14,1,480,1400,"hydrolase activity","MF",4.48022843922678e-11
"GO:0042773","GO:0042773",2.8253987348151e-13,1,56,91,"ATP synthesis coupled electron transport","BP",1.26806068602144e-10
"GO:0042775","GO:0042775",2.8253987348151e-13,1,56,91,"mitochondrial ATP synthesis coupled electron transport","BP",1.26806068602144e-10
"GO:0005759","GO:0005759",3.96769210129651e-13,1,73,142,"mitochondrial matrix","CC",1.71477774555663e-10
"GO:0019637","GO:0019637",5.84516251535971e-13,1,155,352,"organophosphate metabolic process","BP",2.43597147827616e-10
"GO:0022904","GO:0022904",7.93887412788092e-13,1,57,95,"respiratory electron transport chain","BP",3.19443869649112e-10
"GO:0022900","GO:0022900",1.01297149365023e-12,1,59,100,"electron transport chain","BP",3.94012145313485e-10
"GO:0055086","GO:0055086",1.50500568206278e-12,1,110,230,"nucleobase-containing small molecule metabolic process","BP",5.66513267870665e-10
"GO:0070469","GO:0070469",1.7573854897319e-12,1,52,84,"respirasome","CC",6.2142215999035e-10
"GO:0098803","GO:0098803",1.7573854897319e-12,1,52,84,"respiratory chain complex","CC",6.2142215999035e-10
