"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0022626","GO:0022626",1.17863792453488e-44,1,89,98,"cytosolic ribosome","CC",1.37535259413975e-40
"GO:0042254","GO:0042254",7.47755361983546e-42,1,142,208,"ribosome biogenesis","BP",4.362778659493e-38
"GO:0002181","GO:0002181",1.15948788498964e-39,1,99,123,"cytoplasmic translation","BP",4.51002137664805e-36
"GO:0022625","GO:0022625",1.82072818259561e-30,1,53,55,"cytosolic large ribosomal subunit","CC",5.31151929067704e-27
"GO:0030684","GO:0030684",4.86563164249774e-30,1,68,81,"preribosome","CC",1.13554111272612e-26
"GO:0022613","GO:0022613",2.08746060417768e-27,1,155,291,"ribonucleoprotein complex biogenesis","BP",4.0597629650249e-24
"GO:0005730","GO:0005730",9.5602605086898e-25,1,126,227,"nucleolus","CC",1.59369542679859e-21
"GO:0006364","GO:0006364",1.35632431918585e-23,1,89,139,"rRNA processing","BP",1.97836856007245e-20
"GO:0016072","GO:0016072",4.04911129442074e-22,1,94,156,"rRNA metabolic process","BP",5.24989774384396e-19
"GO:0042273","GO:0042273",5.57407132353731e-21,1,48,58,"ribosomal large subunit biogenesis","BP",6.50438382743569e-18
"GO:0032040","GO:0032040",3.58465676207342e-18,1,38,44,"small-subunit processome","CC",3.80266906878497e-15
"GO:0005840","GO:0005840",5.51032586413675e-18,1,101,190,"ribosome","CC",5.35833270905098e-15
"GO:0043436","GO:0043436",1.59546455608596e-17,1,152,338,"oxoacid metabolic process","BP",1.43211353115131e-14
"GO:0006082","GO:0006082",2.22803418787912e-17,1,153,342,"organic acid metabolic process","BP",1.85706649559724e-14
"GO:0019752","GO:0019752",3.03402175268486e-17,1,151,337,"carboxylic acid metabolic process","BP",2.36026665547197e-14
"GO:0044391","GO:0044391",1.15581816419936e-16,1,93,175,"ribosomal subunit","CC",8.42952634877645e-14
"GO:0003735","GO:0003735",2.9724376247554e-16,1,93,177,"structural constituent of ribosome","MF",2.04031615548652e-13
"GO:0022627","GO:0022627",3.26314103763139e-16,1,36,43,"cytosolic small ribosomal subunit","CC",2.11542182045115e-13
"GO:0044281","GO:0044281",7.83158399160948e-16,1,265,715,"small molecule metabolic process","BP",4.80982913674163e-13
"GO:0042274","GO:0042274",1.29606832785225e-15,1,50,73,"ribosomal small subunit biogenesis","BP",7.56191065885393e-13
"GO:0005829","GO:0005829",3.11984284749238e-14,1,298,853,"cytosol","CC",1.73359267558993e-11
"GO:0006412","GO:0006412",6.37801606754831e-14,1,172,430,"translation","BP",3.38295770419187e-11
"GO:0043043","GO:0043043",6.01740320416439e-12,1,180,477,"peptide biosynthetic process","BP",3.05291643432149e-09
"GO:0034660","GO:0034660",1.66526475435538e-11,1,139,348,"ncRNA metabolic process","BP",8.09665600773871e-09
"GO:0006518","GO:0006518",1.85162835045728e-11,1,192,523,"peptide metabolic process","BP",8.6426604885944e-09
"GO:0030687","GO:0030687",2.039761006687e-11,1,19,20,"preribosome, large subunit precursor","CC",9.15460430270409e-09
