"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0042254","GO:0042254",2.79222015695836e-40,1,158,208,"ribosome biogenesis","BP",3.25824170115471e-36
"GO:0043228","GO:0043228",9.26773152430283e-36,1,678,1535,"non-membrane-bounded organelle","CC",3.60483863856966e-32
"GO:0043232","GO:0043232",9.26773152430283e-36,1,678,1535,"intracellular non-membrane-bounded organelle","CC",3.60483863856966e-32
"GO:0016072","GO:0016072",3.21294236091078e-32,1,120,156,"rRNA metabolic process","BP",8.47131888009553e-29
"GO:0005730","GO:0005730",3.62983926647336e-32,1,156,227,"nucleolus","CC",8.47131888009553e-29
"GO:0006364","GO:0006364",1.3858403651403e-30,1,109,139,"rRNA processing","BP",2.69522853680369e-27
"GO:0022613","GO:0022613",5.67442575981624e-29,1,183,291,"ribonucleoprotein complex biogenesis","BP",9.45926774161367e-26
"GO:0034660","GO:0034660",5.26600600448265e-26,1,203,348,"ncRNA metabolic process","BP",7.68112800828851e-23
"GO:0022626","GO:0022626",1.08568198594358e-25,1,83,98,"cytosolic ribosome","CC",1.40764701044174e-22
"GO:0030684","GO:0030684",3.72053081142086e-25,1,70,81,"preribosome","CC",4.341487403847e-22
"GO:0034470","GO:0034470",2.75973859839939e-24,1,169,279,"ncRNA processing","BP",2.92758088224749e-21
"GO:0002181","GO:0002181",1.854093572169e-22,1,93,123,"cytoplasmic translation","BP",1.80295149113667e-19
"GO:0031981","GO:0031981",6.66697721741489e-21,1,321,684,"nuclear lumen","CC",5.98438131923188e-18
"GO:0042273","GO:0042273",8.58438513918089e-19,1,51,58,"ribosomal large subunit biogenesis","BP",7.15508501350727e-16
"GO:0022625","GO:0022625",1.26934460153634e-17,1,49,55,"cytosolic large ribosomal subunit","CC",9.87465477021838e-15
"GO:0051276","GO:0051276",1.47334601129211e-17,1,154,293,"chromosome organization","BP",1.07452966286048e-14
"GO:0005694","GO:0005694",2.9155313812759e-17,1,259,564,"chromosome","CC",2.00125504047697e-14
"GO:0006259","GO:0006259",1.23394922486856e-16,1,156,296,"DNA metabolic process","BP",7.99941861388404e-14
"GO:0006260","GO:0006260",1.6195251984664e-15,1,68,99,"DNA replication","BP",9.94644186363394e-13
"GO:0032040","GO:0032040",2.33497194255677e-15,1,39,44,"small-subunit processome","CC",1.36233937988475e-12
"GO:0042274","GO:0042274",3.28380087870819e-15,1,56,73,"ribosomal small subunit biogenesis","BP",1.82469868826885e-12
"GO:0048285","GO:0048285",1.04173645034698e-14,1,147,290,"organelle fission","BP",5.52546483595403e-12
"GO:0098813","GO:0098813",1.53350968112548e-14,1,94,164,"nuclear chromosome segregation","BP",7.78022803002315e-12
"GO:0000280","GO:0000280",1.9769010064859e-14,1,138,270,"nuclear division","BP",9.61185743528499e-12
"GO:0007059","GO:0007059",8.65569019243788e-14,1,108,202,"chromosome segregation","BP",4.0401299542223e-11
"GO:0005634","GO:0005634",1.49816937870042e-13,1,949,2645,"nucleus","CC",6.72389941540584e-11
"GO:0022402","GO:0022402",1.58810427622764e-13,1,245,567,"cell cycle process","BP",6.86355140714829e-11
"GO:0007049","GO:0007049",3.34209976073488e-13,1,288,691,"cell cycle","BP",1.39282007528626e-10
"GO:0000278","GO:0000278",3.54715667791635e-13,1,200,444,"mitotic cell cycle","BP",1.42730245774503e-10
"GO:0006261","GO:0006261",5.10623180733692e-13,1,56,82,"DNA-templated DNA replication","BP",1.98615396532715e-10
"GO:0070013","GO:0070013",5.3513974777189e-13,1,360,860,"intracellular organelle lumen","CC",2.01436958604845e-10
"GO:0031974","GO:0031974",6.25708207211138e-13,1,360,861,"membrane-enclosed lumen","CC",2.21254214240811e-10
"GO:0043233","GO:0043233",6.25708207211138e-13,1,360,861,"organelle lumen","CC",2.21254214240811e-10
"GO:0019953","GO:0019953",3.71414023136956e-12,1,432,1113,"sexual reproduction","BP",1.27471477528975e-09
"GO:0030686","GO:0030686",7.79801695338747e-12,1,25,27,"90S preribosome","CC",2.59985885225938e-09
"GO:1903047","GO:1903047",9.36545291899077e-12,1,147,314,"mitotic cell cycle process","BP",3.03570750310287e-09
"GO:0006396","GO:0006396",1.92532526591719e-11,1,267,618,"RNA processing","BP",6.00697757768877e-09
"GO:0003723","GO:0003723",1.95616717758311e-11,1,279,655,"RNA binding","MF",6.00697757768877e-09
"GO:0140014","GO:0140014",3.12590830822004e-11,1,76,136,"mitotic nuclear division","BP",9.35287796118452e-09
"GO:0000070","GO:0000070",4.06391091580381e-11,1,61,101,"mitotic sister chromatid segregation","BP",1.18554441191287e-08
