"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005622","GO:0005622",2.96269827810279e-35,1,1932,6133,"intracellular anatomical structure","CC",3.45717262071814e-31
"GO:0043226","GO:0043226",8.07766061916204e-26,1,1637,5198,"organelle","CC",4.71291108825009e-22
"GO:0043229","GO:0043229",9.52989906571928e-25,1,1602,5091,"intracellular organelle","CC",3.70681307326261e-21
"GO:0009987","GO:0009987",1.95949384829402e-24,1,2197,7324,"cellular process","BP",5.71633342893573e-21
"GO:0007049","GO:0007049",5.97408754147235e-24,1,309,691,"cell cycle","BP",1.39423255042882e-20
"GO:0008152","GO:0008152",3.58057133143601e-22,1,1692,5461,"metabolic process","BP",6.96361447775446e-19
"GO:0043231","GO:0043231",4.6453114613805e-22,1,1425,4490,"intracellular membrane-bounded organelle","CC",7.7437342061213e-19
"GO:0043227","GO:0043227",1.16405721676438e-21,1,1474,4674,"membrane-bounded organelle","CC",1.69792295780294e-18
"GO:0006807","GO:0006807",1.81826288716145e-21,1,1416,4467,"nitrogen compound metabolic process","BP",2.35747884780966e-18
"GO:0000278","GO:0000278",1.21334855008389e-20,1,212,444,"mitotic cell cycle","BP",1.41585642309289e-17
"GO:0071704","GO:0071704",1.53486598156405e-20,1,1604,5169,"organic substance metabolic process","BP",1.62821373989735e-17
"GO:0044238","GO:0044238",1.94627188666643e-20,1,1516,4847,"primary metabolic process","BP",1.89258722045921e-17
"GO:0022402","GO:0022402",2.38608651122684e-20,1,255,567,"cell cycle process","BP",2.14178796150047e-17
"GO:0005737","GO:0005737",1.76647756941139e-18,1,1315,4174,"cytoplasm","CC",1.47235905410439e-15
"GO:0044237","GO:0044237",1.00531747656948e-16,1,1372,4397,"cellular metabolic process","BP",7.82069975605952e-14
"GO:1903047","GO:1903047",1.19126536313402e-16,1,154,314,"mitotic cell cycle process","BP",8.68804720150683e-14
"GO:0110165","GO:0110165",1.64651602147309e-16,1,2407,8399,"cellular anatomical entity","CC",1.13018796791585e-13
"GO:0032991","GO:0032991",2.97549165078127e-16,1,875,2677,"protein-containing complex","CC",1.92894511516481e-13
"GO:0043170","GO:0043170",5.2305589545164e-16,1,1306,4190,"macromolecule metabolic process","BP",3.21238907580273e-13
"GO:0022412","GO:0022412",7.31236187243654e-15,1,324,824,"cellular process involved in reproduction in multicellular organism","BP",4.2663975344731e-12
"GO:0000280","GO:0000280",1.37558630055182e-14,1,132,270,"nuclear division","BP",7.64367454339961e-12
"GO:0048285","GO:0048285",4.55986808172946e-14,1,138,290,"organelle fission","BP",2.4185954838955e-11
"GO:0051276","GO:0051276",6.09029152520999e-14,1,139,293,"chromosome organization","BP",3.0898961655511e-11
"GO:0034641","GO:0034641",2.46721042928244e-13,1,854,2652,"cellular nitrogen compound metabolic process","BP",1.19957827080403e-10
"GO:0051321","GO:0051321",3.43537567385332e-13,1,105,207,"meiotic cell cycle","BP",1.60349594952778e-10
