"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme03010","path:dme03010",1.03628184414079e-05,0.999997785154852,137,143,0.00104628783605577,"Ribosome"
"dme03040","path:dme03040",1.4840962213557e-05,0.99999708638949,130,135,0.00104628783605577,"Spliceosome"
"dme03030","path:dme03030",0.00401593941283455,1,34,34,0.188749152403224,"DNA replication"
"dme03020","path:dme03020",0.006790073157228,1,30,30,0.239350078792287,"RNA polymerase"
"dme03022","path:dme03022",0.00864497088930699,0.998989469065282,41,42,0.243788179078457,"Basal transcription factors"
"dme03420","path:dme03420",0.0153683240650015,0.996845013558772,47,49,0.355100918138001,"Nucleotide excision repair"
"dme00512","path:dme00512",0.0176291235955036,1,25,25,0.355100918138001,"Mucin type O-glycan biosynthesis"
"dme00350","path:dme00350",0.024873096249078,1,23,23,0.43838832139,"Tyrosine metabolism"
"dme03013","path:dme03013",0.0350653047462874,0.983554685559095,97,106,0.517216912414806,"Nucleocytoplasmic transport"
"dme01232","path:dme01232",0.0421802891258091,0.985360633671858,56,60,0.517216912414806,"Nucleotide metabolism"
"dme02010","path:dme02010",0.0463092469961022,0.988625792959255,39,41,0.517216912414806,"ABC transporters"
"dme03430","path:dme03430",0.0465257076661092,1,19,19,0.517216912414806,"Mismatch repair"
"dme00514","path:dme00514",0.0506098633487777,0.987371861668398,38,40,0.517216912414806,"Other types of O-glycan biosynthesis"
"dme00230","path:dme00230",0.0513548707362219,0.975817234322484,85,93,0.517216912414806,"Purine metabolism"
"dme00010","path:dme00010",0.0607082977084818,0.977704048568936,53,57,0.570657998459729,"Glycolysis / Gluconeogenesis"
"dme03460","path:dme03460",0.0652241063825334,0.988973805196712,27,28,0.574787437496075,"Fanconi anemia pathway"
"dme03008","path:dme03008",0.0733230948622573,0.965478452881519,72,79,0.578566968125531,"Ribosome biogenesis in eukaryotes"
"dme04350","path:dme04350",0.0738596129521955,0.975472910628306,43,46,0.578566968125531,"TGF-beta signaling pathway"
"dme00590","path:dme00590",0.089102752320253,1,15,15,0.661236214587141,"Arachidonic acid metabolism"
"dme00620","path:dme00620",0.112278682048703,0.954152444612352,46,50,0.791564708443355,"Pyruvate metabolism"
"dme04070","path:dme04070",0.139338972383149,0.931128150781949,58,64,0.93556167171543,"Phosphatidylinositol signaling system"
"dme00240","path:dme00240",0.160357479630388,0.93759486172562,35,38,0.977396073837344,"Pyrimidine metabolism"
"dme03050","path:dme03050",0.163646053160908,0.921710768428407,49,54,0.977396073837344,"Proteasome"
"dme01230","path:dme01230",0.167328673187526,0.910260578832323,63,70,0.977396073837344,"Biosynthesis of amino acids"
"dme03410","path:dme03410",0.173297176212295,0.943274178675405,27,29,0.977396073837344,"Base excision repair"
"dme00380","path:dme00380",0.182585438080562,0.959277748832903,19,20,0.990174875744584,"Tryptophan metabolism"
"dme00260","path:dme00260",0.214170159706821,0.925603573006343,25,27,1,"Glycine, serine and threonine metabolism"
"dme00910","path:dme00910",0.232291010404928,0.94377020822287,17,18,1,"Nitrogen metabolism"
"dme03250","path:dme03250",0.23724389548562,0.898114576292478,31,34,1,"Viral life cycle"
"dme04341","path:dme04341",0.244271716187465,0.882041261854863,37,41,1,"Hedgehog signaling pathway"
"dme03440","path:dme03440",0.258128766004728,0.905109098467419,23,25,1,"Homologous recombination"
"dme04745","path:dme04745",0.274053454723387,0.877526563339218,29,32,1,"Phototransduction"
"dme03015","path:dme03015",0.276743650909601,0.82168796179643,74,84,1,"mRNA surveillance pathway"
"dme00430","path:dme00430",0.277143636507226,1,8,8,1,"Taurine and hypotaurine metabolism"
"dme00340","path:dme00340",0.278938997653987,1,8,8,1,"Histidine metabolism"
"dme00563","path:dme00563",0.288961260155545,0.889716299762368,22,24,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"dme00053","path:dme00053",0.321014815456271,0.833149962932045,34,38,1,"Ascorbate and aldarate metabolism"
"dme00750","path:dme00750",0.322224332558941,1,7,7,1,"Vitamin B6 metabolism"
"dme03450","path:dme03450",0.326915273430909,1,7,7,1,"Non-homologous end-joining"
"dme00360","path:dme00360",0.327221807497531,1,7,7,1,"Phenylalanine metabolism"
"dme00250","path:dme00250",0.333806015999519,0.841448652055262,27,30,1,"Alanine, aspartate and glutamate metabolism"
"dme04814","path:dme04814",0.341181211610156,0.753393971288687,100,115,1,"Motor proteins"
"dme01210","path:dme01210",0.348956698920523,0.857555650159694,20,22,1,"2-Oxocarboxylic acid metabolism"
