"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme03010","path:dme03010",1.24830220563523e-48,1,77,143,1.76010610994568e-46,"Ribosome"
"dme03008","path:dme03008",2.20797501345334e-10,0.999999999969071,26,79,1.55662238448461e-08,"Ribosome biogenesis in eukaryotes"
"dme00260","path:dme00260",0.00564439441624315,0.998780382152957,7,27,0.265286537563428,"Glycine, serine and threonine metabolism"
"dme00310","path:dme00310",0.00809875130274796,0.997847998509627,8,37,0.285480983421866,"Lysine degradation"
"dme00670","path:dme00670",0.0188732722824928,0.997063930550825,4,13,0.48179325459009,"One carbon pool by folate"
"dme00071","path:dme00071",0.0205018406208549,0.994089142059465,7,34,0.48179325459009,"Fatty acid degradation"
"dme03020","path:dme03020",0.0339600081472877,0.990197804668321,6,30,0.681011778318471,"RNA polymerase"
"dme00350","path:dme00350",0.0386389661457288,0.990118439595469,5,23,0.681011778318471,"Tyrosine metabolism"
"dme00250","path:dme00250",0.0995769720535759,0.965567844039159,5,30,1,"Alanine, aspartate and glutamate metabolism"
"dme00981","path:dme00981",0.101500163864466,0.964698178680095,5,30,1,"Insect hormone biosynthesis"
"dme00061","path:dme00061",0.106768587996814,0.975226118055396,3,14,1,"Fatty acid biosynthesis"
"dme00360","path:dme00360",0.111908161596864,0.983988508845445,2,7,1,"Phenylalanine metabolism"
"dme00983","path:dme00983",0.122764591123107,0.932052056028167,12,99,1,"Drug metabolism"
"dme00770","path:dme00770",0.12549801789251,0.968411534346245,3,15,1,"Pantothenate and CoA biosynthesis"
"dme00980","path:dme00980",0.147803781431838,0.923162638543659,9,72,1,"Metabolism of xenobiotics by cytochrome P450"
"dme00410","path:dme00410",0.153015348495209,0.946826124490508,4,25,1,"beta-Alanine metabolism"
"dme00564","path:dme00564",0.170094700304668,0.912470239823742,8,65,1,"Glycerophospholipid metabolism"
"dme00010","path:dme00010",0.198476306931857,0.898946972962517,7,57,1,"Glycolysis / Gluconeogenesis"
"dme00920","path:dme00920",0.203178558159788,0.954677852963812,2,10,1,"Sulfur metabolism"
"dme00220","path:dme00220",0.207437272988633,0.932356386343311,3,19,1,"Arginine biosynthesis"
