"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme03010","path:dme03010",9.32591965382259e-08,0.99999996460129,67,143,1.31495467118899e-05,"Ribosome"
"dme03008","path:dme03008",9.03367343492396e-07,0.999999724234596,40,79,6.36873977162139e-05,"Ribosome biogenesis in eukaryotes"
"dme01100","path:dme01100",4.30239764256863e-05,0.999970185382626,343,1146,0.00202212689200726,"Metabolic pathways"
"dme01200","path:dme01200",0.000338837749110177,0.999836542045563,49,122,0.0119440306561337,"Carbon metabolism"
"dme01212","path:dme01212",0.000508941197031636,0.999818236071924,26,55,0.0143521417562921,"Fatty acid metabolism"
"dme04141","path:dme04141",0.00104233275832553,0.999449426589004,52,138,0.0243363607830616,"Protein processing in endoplasmic reticulum"
"dme01040","path:dme01040",0.00120818812398178,0.999709703495334,14,25,0.0243363607830616,"Biosynthesis of unsaturated fatty acids"
"dme00513","path:dme00513",0.00170267085379789,0.999482779960887,17,34,0.0300095737981878,"Various types of N-glycan biosynthesis"
"dme03060","path:dme03060",0.00891484202298762,0.997549840238084,11,21,0.125759443621596,"Protein export"
"dme01250","path:dme01250",0.00891910947670897,0.99686896639654,15,32,0.125759443621596,"Biosynthesis of nucleotide sugars"
"dme00510","path:dme00510",0.0117833921078694,0.995315106741732,17,39,0.151041662473599,"N-Glycan biosynthesis"
"dme04146","path:dme04146",0.0129507074139952,0.992919158235438,34,92,0.151075000028205,"Peroxisome"
"dme00520","path:dme00520",0.0150418206355957,0.99309876592309,21,52,0.151075000028205,"Amino sugar and nucleotide sugar metabolism"
"dme00630","path:dme00630",0.0159170643386997,0.993847134549883,15,34,0.151075000028205,"Glyoxylate and dicarboxylate metabolism"
"dme00071","path:dme00071",0.0160718085136388,0.993779151182103,15,34,0.151075000028205,"Fatty acid degradation"
"dme00565","path:dme00565",0.0176634123708312,0.99434788447854,11,23,0.15565882151795,"Ether lipid metabolism"
"dme00500","path:dme00500",0.021711602315264,0.99116909257927,15,35,0.180078583908954,"Starch and sucrose metabolism"
"dme00250","path:dme00250",0.0262562772826109,0.989812984188582,13,30,0.19543919786272,"Alanine, aspartate and glutamate metabolism"
"dme00062","path:dme00062",0.026335778435402,0.99220530718242,9,18,0.19543919786272,"Fatty acid elongation"
"dme00260","path:dme00260",0.0319864562387901,0.987809010773034,12,27,0.215137825077499,"Glycine, serine and threonine metabolism"
"dme00052","path:dme00052",0.0320418037349466,0.985668076911237,16,39,0.215137825077499,"Galactose metabolism"
"dme00410","path:dme00410",0.0340280684291472,0.98745657537499,11,25,0.218088984023171,"beta-Alanine metabolism"
"dme00310","path:dme00310",0.0502453593170784,0.976920150356482,14,37,0.308025898422089,"Lysine degradation"
"dme00592","path:dme00592",0.0571215604833877,0.984887752127754,6,12,0.335589167839903,"alpha-Linolenic acid metabolism"
"dme00620","path:dme00620",0.0790159468474444,0.956925578143266,18,50,0.445433363791671,"Pyruvate metabolism"
"dme00564","path:dme00564",0.0821366486424357,0.951756578439613,22,65,0.445433363791671,"Glycerophospholipid metabolism"
"dme00230","path:dme00230",0.0970614264076483,0.937070026794688,29,93,0.491374881920804,"Purine metabolism"
"dme04136","path:dme04136",0.0975779907360462,0.95648398278092,10,26,0.491374881920804,"Autophagy"
"dme00020","path:dme00020",0.108005385552885,0.941694147283014,15,42,0.501562196593626,"Citrate cycle (TCA cycle)"
"dme00604","path:dme00604",0.108786070121617,0.983227780857762,3,5,0.501562196593626,"Glycosphingolipid biosynthesis"
"dme00600","path:dme00600",0.114364555481277,0.944562366635334,11,30,0.501562196593626,"Sphingolipid metabolism"
"dme00603","path:dme00603",0.115842690609065,0.981594017599291,3,5,0.501562196593626,"Glycosphingolipid biosynthesis"
"dme00970","path:dme00970",0.117386897075104,0.935715736535853,15,42,0.501562196593626,"Aminoacyl-tRNA biosynthesis"
"dme00330","path:dme00330",0.125771625002239,0.928595762542622,16,46,0.521582327215168,"Arginine and proline metabolism"
"dme00240","path:dme00240",0.150505105613881,0.917147528372888,13,38,0.606320568330208,"Pyrimidine metabolism"
"dme00480","path:dme00480",0.165083296803534,0.889220948857801,25,80,0.611080528437148,"Glutathione metabolism"
"dme00512","path:dme00512",0.166204052843664,0.918874458594401,9,25,0.611080528437148,"Mucin type O-glycan biosynthesis"
"dme00440","path:dme00440",0.173498634205381,0.961124000899538,3,6,0.611080528437148,"Phosphonate and phosphinate metabolism"
"dme01230","path:dme01230",0.173871252542302,0.885703762636454,22,70,0.611080528437148,"Biosynthesis of amino acids"
"dme00470","path:dme00470",0.175744761016394,0.981010901191253,2,3,0.611080528437148,"D-Amino acid metabolism"
"dme00040","path:dme00040",0.177690082737043,0.888664280695364,18,55,0.611080528437148,"Pentose and glucuronate interconversions"
"dme00640","path:dme00640",0.193691112059845,0.89711175927076,10,29,0.650248733343765,"Propanoate metabolism"
"dme00514","path:dme00514",0.198515950837154,0.883654816793284,13,40,0.650947652745087,"Other types of O-glycan biosynthesis"
"dme00010","path:dme00010",0.20660742740478,0.866653446530934,18,57,0.662082892365318,"Glycolysis / Gluconeogenesis"
"dme03020","path:dme03020",0.2277331162953,0.873487519014393,10,30,0.697811881717231,"RNA polymerase"
"dme00350","path:dme00350",0.231529998035416,0.88139749972475,8,23,0.697811881717231,"Tyrosine metabolism"
"dme00051","path:dme00051",0.23260396057241,0.866117010898927,11,33,0.697811881717231,"Fructose and mannose metabolism"
"dme00531","path:dme00531",0.251993830539146,0.882506955086607,6,17,0.740231877208743,"Glycosaminoglycan degradation"
"dme00100","path:dme00100",0.269951638667152,0.91749665474849,3,7,0.761454363688411,"Steroid biosynthesis"
"dme00511","path:dme00511",0.270019277903692,0.861287753319321,7,21,0.761454363688411,"Other glycan degradation"
"dme01232","path:dme01232",0.278972155756298,0.808954187354646,18,60,0.771275960032117,"Nucleotide metabolism"
"dme00061","path:dme00061",0.284619513267851,0.872575700569705,5,14,0.771756757130136,"Fatty acid biosynthesis"
"dme04145","path:dme04145",0.293018258213822,0.78745735975789,23,80,0.779539139776394,"Phagosome"
"dme00910","path:dme00910",0.321182542707377,0.834904816523259,6,18,0.838643305958152,"Nitrogen metabolism"
"dme04142","path:dme04142",0.343445575295384,0.73019824578306,33,119,0.880469565757258,"Lysosome"
"dme04512","path:dme04512",0.398431032648065,0.828460791516996,3,11,0.992653754772769,"ECM-receptor interaction"
"dme00650","path:dme00650",0.418180372944605,0.774067288908265,5,16,0.992653754772769,"Butanoate metabolism"
"dme00380","path:dme00380",0.422884592243978,0.754343309477108,6,20,0.992653754772769,"Tryptophan metabolism"
"dme00053","path:dme00053",0.423396604125499,0.710699297257771,11,38,0.992653754772769,"Ascorbate and aldarate metabolism"
"dme00030","path:dme00030",0.442392213824706,0.725302305531198,7,24,0.992653754772769,"Pentose phosphate pathway"
"dme00290","path:dme00290",0.444409746425471,0.935249685216307,1,2,0.992653754772769,"Valine, leucine and isoleucine biosynthesis"
"dme03250","path:dme03250",0.447112027255622,0.70058808982457,9,34,0.992653754772769,"Viral life cycle"
"dme00670","path:dme00670",0.44774542071234,0.769775732872392,4,13,0.992653754772769,"One carbon pool by folate"
"dme00980","path:dme00980",0.450566243301115,0.652254711720301,20,72,0.992653754772769,"Metabolism of xenobiotics by cytochrome P450"
"dme04624","path:dme04624",0.478344766397414,0.61843181617503,23,87,1,"Toll and Imd signaling pathway"
"dme04140","path:dme04140",0.485731306363536,0.605433305654829,26,101,1,"Autophagy"
"dme01210","path:dme01210",0.510121276560475,0.67568887780105,6,22,1,"2-Oxocarboxylic acid metabolism"
"dme00900","path:dme00900",0.553253391273074,0.621341284668096,7,26,1,"Terpenoid backbone biosynthesis"
"dme00770","path:dme00770",0.559572113243889,0.667605736314898,4,15,1,"Pantothenate and CoA biosynthesis"
"dme00590","path:dme00590",0.570856704673671,0.656855247135385,4,15,1,"Arachidonic acid metabolism"
"dme00360","path:dme00360",0.585798667737167,0.730275067749142,2,7,1,"Phenylalanine metabolism"
"dme00400","path:dme00400",0.604207340706214,0.825817133244787,1,3,1,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme04137","path:dme04137",0.604596199315231,0.533165958699475,11,44,1,"Mitophagy"
"dme00601","path:dme00601",0.605430697871339,0.824930399243518,1,3,1,"Glycosphingolipid biosynthesis"
"dme04213","path:dme04213",0.617549208926202,0.502781394192484,14,60,1,"Longevity regulating pathway"
"dme03018","path:dme03018",0.625924190427068,0.490565283802855,15,62,1,"RNA degradation"
"dme00270","path:dme00270",0.638693920770531,0.511395333110895,9,36,1,"Cysteine and methionine metabolism"
"dme00450","path:dme00450",0.647428864258933,0.609900923816285,3,12,1,"Selenocompound metabolism"
"dme00515","path:dme00515",0.673546125501797,0.748431628636772,1,4,1,"Mannose type O-glycan biosynthesis"
"dme04068","path:dme04068",0.696444850432012,0.409117653673064,16,70,1,"FoxO signaling pathway"
"dme00982","path:dme00982",0.710456537583151,0.391223190528937,17,70,1,"Drug metabolism"
"dme00983","path:dme00983",0.713538589324445,0.371497328054144,24,99,1,"Drug metabolism"
"dme04150","path:dme04150",0.713920508555958,0.370383989779426,24,104,1,"mTOR signaling pathway"
"dme00790","path:dme00790",0.715073200571688,0.416614891349301,10,43,1,"Folate biosynthesis"
"dme00760","path:dme00760",0.719554365516292,0.489257417368592,4,18,1,"Nicotinate and nicotinamide metabolism"
"dme00130","path:dme00130",0.731939974960493,0.562076075091616,2,9,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme04215","path:dme04215",0.738708568880424,0.442444203082546,5,23,1,"Apoptosis"
"dme04013","path:dme04013",0.744946328911267,0.338267888441301,22,101,1,"MAPK signaling pathway"
"dme00830","path:dme00830",0.749324366735238,0.391245670583122,8,35,1,"Retinol metabolism"
"dme00561","path:dme00561",0.763206626685892,0.352551085849932,11,49,1,"Glycerolipid metabolism"
"dme00220","path:dme00220",0.7659915246945,0.428806531145292,4,19,1,"Arginine biosynthesis"
"dme04120","path:dme04120",0.766951781690902,0.309876225318885,24,106,1,"Ubiquitin mediated proteolysis"
"dme00920","path:dme00920",0.777458058546578,0.496677222440824,2,10,1,"Sulfur metabolism"
"dme03410","path:dme03410",0.781861488481127,0.370104727376548,6,29,1,"Base excision repair"
"dme00785","path:dme00785",0.783735080207378,0.434894574789204,3,15,1,"Lipoic acid metabolism"
"dme00563","path:dme00563",0.798071619468652,0.364161799268224,5,24,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
