"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme03010","path:dme03010",3.71409308837283e-08,0.999999986439227,64,143,5.23687125460569e-06,"Ribosome"
"dme00270","path:dme00270",0.00151536438886628,0.999528351888132,18,36,0.106833189415073,"Cysteine and methionine metabolism"
"dme00190","path:dme00190",0.00315575474680986,0.998185959428791,55,153,0.148320473100064,"Oxidative phosphorylation"
"dme03050","path:dme03050",0.00488697593009233,0.997944823611899,23,54,0.172265901535755,"Proteasome"
"dme00620","path:dme00620",0.00901288267700909,0.996120120500619,21,50,0.254163291491656,"Pyruvate metabolism"
"dme04624","path:dme04624",0.0114334750798765,0.993892738630382,33,87,0.268686664377097,"Toll and Imd signaling pathway"
"dme03018","path:dme03018",0.0159292718129299,0.992121273712116,25,62,0.320861046517588,"RNA degradation"
"dme00260","path:dme00260",0.0280469617952895,0.989537943691886,12,27,0.494327701641977,"Glycine, serine and threonine metabolism"
"dme00310","path:dme00310",0.0416687567448185,0.980886380353488,16,37,0.65281052233549,"Lysine degradation"
"dme00350","path:dme00350",0.0549295453675592,0.97889430287595,10,23,0.742606489870385,"Tyrosine metabolism"
"dme04122","path:dme04122",0.0579338396352783,0.987570196362423,5,9,0.742606489870385,"Sulfur relay system"
"dme04144","path:dme04144",0.0820986716584125,0.942864072782901,46,137,0.958462752389842,"Endocytosis"
"dme03266","path:dme03266",0.0938056497115791,1,2,2,0.958462752389842,"Virion"
"dme00650","path:dme00650",0.0951665144216864,0.96611248861886,7,16,0.958462752389842,"Butanoate metabolism"
"dme04120","path:dme04120",0.112596029194327,0.923144262900536,35,106,1,"Ubiquitin mediated proteolysis"
"dme00562","path:dme00562",0.120428617259514,0.930197145686378,18,49,1,"Inositol phosphate metabolism"
"dme00380","path:dme00380",0.131703884728035,0.943736618922248,8,20,1,"Tryptophan metabolism"
"dme02010","path:dme02010",0.13540540048614,0.923473663659533,16,41,1,"ABC transporters"
"dme03060","path:dme03060",0.140734641304625,0.938132032981273,8,21,1,"Protein export"
"dme04070","path:dme04070",0.172942422020958,0.887370336229676,22,64,1,"Phosphatidylinositol signaling system"
"dme00130","path:dme00130",0.17631157711435,0.946722720894182,4,9,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme00780","path:dme00780",0.18797808642995,0.978726109437555,2,3,1,"Biotin metabolism"
"dme04392","path:dme04392",0.19328328093706,0.909628258339038,8,19,1,"Hippo signaling pathway"
"dme00900","path:dme00900",0.207417222703072,0.892147747386189,9,26,1,"Terpenoid backbone biosynthesis"
"dme00280","path:dme00280",0.213359861337815,0.879652828195541,11,33,1,"Valine, leucine and isoleucine degradation"
"dme00360","path:dme00360",0.265296535315326,0.919683266647718,3,7,1,"Phenylalanine metabolism"
"dme00071","path:dme00071",0.268206819945656,0.839552398718669,11,34,1,"Fatty acid degradation"
"dme04130","path:dme04130",0.275683992507926,0.857409467986829,7,21,1,"SNARE interactions in vesicular transport"
"dme00970","path:dme00970",0.278615970821725,0.823255364440331,13,42,1,"Aminoacyl-tRNA biosynthesis"
"dme00500","path:dme00500",0.303981662864332,0.811682327223315,11,35,1,"Starch and sucrose metabolism"
"dme00010","path:dme00010",0.318327138912561,0.77865942068357,17,57,1,"Glycolysis / Gluconeogenesis"
"dme00062","path:dme00062",0.319561613873982,0.8360296172968,6,18,1,"Fatty acid elongation"
"dme04213","path:dme04213",0.337893024236893,0.758302128248606,19,60,1,"Longevity regulating pathway"
"dme04140","path:dme04140",0.340773324360248,0.736735636271479,30,101,1,"Autophagy"
"dme04141","path:dme04141",0.345415939296708,0.72316797586285,39,138,1,"Protein processing in endoplasmic reticulum"
"dme00534","path:dme00534",0.360607542221399,0.821777725109608,5,14,1,"Glycosaminoglycan biosynthesis"
"dme00980","path:dme00980",0.361780970981174,0.733014014118484,20,72,1,"Metabolism of xenobiotics by cytochrome P450"
"dme00730","path:dme00730",0.365348393224516,0.801109441506065,6,19,1,"Thiamine metabolism"
"dme00450","path:dme00450",0.384113223265334,0.82014837870144,4,12,1,"Selenocompound metabolism"
"dme03250","path:dme03250",0.395637757154538,0.737568217392403,11,34,1,"Viral life cycle"
"dme00982","path:dme00982",0.411291869077954,0.690577753703461,19,70,1,"Drug metabolism"
"dme04320","path:dme04320",0.432345903103298,0.711756881862664,10,31,1,"Dorso-ventral axis formation"
"dme01212","path:dme01212",0.485425244365616,0.634026738746925,15,55,1,"Fatty acid metabolism"
"dme04142","path:dme04142",0.506936080371815,0.576685429010376,32,119,1,"Lysosome"
"dme03020","path:dme03020",0.543122196223549,0.62012394290213,8,30,1,"RNA polymerase"
