"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme01100","path:dme01100",0.000220741077138655,0.999942189890976,24,1146,0.0311244918765503,"Metabolic pathways"
"dme00260","path:dme00260",0.00337619805198832,0.999786116886282,3,27,0.21510762487046,"Glycine, serine and threonine metabolism"
"dme00250","path:dme00250",0.00457675797596724,0.999674129346514,3,30,0.21510762487046,"Alanine, aspartate and glutamate metabolism"
"dme01230","path:dme01230",0.00786024210674854,0.998937488069234,4,70,0.277073534262886,"Biosynthesis of amino acids"
"dme04624","path:dme04624",0.0166136364106278,0.99718324886599,4,87,0.376317835627535,"Toll and Imd signaling pathway"
"dme00910","path:dme00910",0.0175110860480352,0.998988746067801,2,18,0.376317835627535,"Nitrogen metabolism"
"dme00220","path:dme00220",0.0194310483773617,0.998808593759069,2,19,0.376317835627535,"Arginine biosynthesis"
"dme00380","path:dme00380",0.0214355405840939,0.998609381476877,2,20,0.376317835627535,"Tryptophan metabolism"
"dme00040","path:dme00040",0.0243066639761142,0.996695206177736,3,55,0.376317835627535,"Pentose and glucuronate interconversions"
"dme00010","path:dme00010",0.0266892082005344,0.996234453750888,3,57,0.376317835627535,"Glycolysis / Gluconeogenesis"
"dme00564","path:dme00564",0.0374336731814758,0.993954211650509,3,65,0.479831628962554,"Glycerophospholipid metabolism"
"dme00280","path:dme00280",0.0542839731743996,0.993993161034366,2,33,0.571893653280853,"Valine, leucine and isoleucine degradation"
"dme00051","path:dme00051",0.0542839731746341,0.993993161034366,2,33,0.571893653280853,"Fructose and mannose metabolism"
"dme00071","path:dme00071",0.0572681901870422,0.993463499026182,2,34,0.571893653280853,"Fatty acid degradation"
"dme00270","path:dme00270",0.0634050707312892,0.992322504964205,2,36,0.571893653280853,"Cysteine and methionine metabolism"
"dme00310","path:dme00310",0.0665545324658207,0.99171050962393,2,37,0.571893653280853,"Lysine degradation"
"dme04141","path:dme04141",0.0714248600271218,0.980645186031752,4,138,0.571893653280853,"Protein processing in endoplasmic reticulum"
"dme00052","path:dme00052",0.0730077004188323,0.990402019759237,2,39,0.571893653280853,"Galactose metabolism"
"dme00020","path:dme00020",0.0830504713976817,0.988224124983256,2,42,0.616321919319638,"Citrate cycle (TCA cycle)"
"dme00340","path:dme00340",0.0884334715205894,0.996555573542285,1,8,0.623455974220156,"Histidine metabolism"
"dme00561","path:dme00561",0.107978499143868,0.982110164834299,2,49,0.684713146284191,"Glycerolipid metabolism"
"dme00920","path:dme00920",0.109324960332638,0.994543848957906,1,10,0.684713146284191,"Sulfur metabolism"
"dme00620","path:dme00620",0.111690796911606,0.981116647295111,2,50,0.684713146284191,"Pyruvate metabolism"
"dme00670","path:dme00670",0.139791994755455,0.990745406817267,1,13,0.821277969188297,"One carbon pool by folate"
"dme01232","path:dme01232",0.150488880514638,0.969508673313568,2,60,0.821897478819028,"Nucleotide metabolism"
"dme00770","path:dme00770",0.159537862614999,0.987720266582558,1,15,0.821897478819028,"Pantothenate and CoA biosynthesis"
