"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme04624","path:dme04624",0.00290062572538497,0.999407246957268,7,87,0.255427355719647,"Toll and Imd signaling pathway"
"dme01100","path:dme01100",0.00362308305985315,0.998294578898373,37,1146,0.255427355719647,"Metabolic pathways"
"dme01210","path:dme01210",0.0121445743287535,0.998764779731029,3,22,0.516385253399176,"2-Oxocarboxylic acid metabolism"
"dme00790","path:dme00790",0.0146492270467851,0.997596641486502,4,43,0.516385253399176,"Folate biosynthesis"
"dme01230","path:dme01230",0.0189879794930557,0.995736933677928,5,70,0.53546102170417,"Biosynthesis of amino acids"
"dme00500","path:dme00500",0.0420179907570252,0.992895061244283,3,35,0.818304048434543,"Starch and sucrose metabolism"
"dme04391","path:dme04391",0.05075640267574,0.987566676474522,4,63,0.818304048434543,"Hippo signaling pathway"
"dme01200","path:dme01200",0.0531261306880544,0.982091793674008,6,122,0.818304048434543,"Carbon metabolism"
"dme02010","path:dme02010",0.0622943814209652,0.987570792709562,3,41,0.818304048434543,"ABC transporters"
"dme00220","path:dme00220",0.0659392495104988,0.99198391608799,2,19,0.818304048434543,"Arginine biosynthesis"
"dme00730","path:dme00730",0.065939249512934,0.991983916087528,2,19,0.818304048434543,"Thiamine metabolism"
"dme00982","path:dme00982",0.06964289773911,0.98101202050538,4,70,0.818304048434543,"Drug metabolism"
"dme00980","path:dme00980",0.0756248052539533,0.97878771831594,4,72,0.820238272369801,"Metabolism of xenobiotics by cytochrome P450"
"dme00562","path:dme00562",0.0950693538900206,0.977240753700642,3,49,0.936688938116833,"Inositol phosphate metabolism"
"dme00480","path:dme00480",0.102038350154891,0.968207149814834,4,80,0.936688938116833,"Glutathione metabolism"
"dme01040","path:dme01040",0.106290943332407,0.982706945102505,2,25,0.936688938116833,"Biosynthesis of unsaturated fatty acids"
"dme00260","path:dme00260",0.120924287015799,0.978694518362844,2,27,0.951457504658781,"Glycine, serine and threonine metabolism"
"dme00440","path:dme00440",0.126922106580175,0.993029713914594,1,6,0.951457504658781,"Phosphonate and phosphinate metabolism"
"dme00010","path:dme00010",0.133469668928259,0.962838724584997,3,57,0.951457504658781,"Glycolysis / Gluconeogenesis"
"dme00250","path:dme00250",0.143723382670882,0.971798333410435,2,30,0.951457504658781,"Alanine, aspartate and glutamate metabolism"
"dme00100","path:dme00100",0.146472795173159,0.990382024978716,1,7,0.951457504658781,"Steroid biosynthesis"
"dme04146","path:dme04146",0.14845436242903,0.946964231410101,4,92,0.951457504658781,"Peroxisome"
"dme04745","path:dme04745",0.159391292705576,0.966617391980318,2,32,0.969344243611993,"Phototransduction"
"dme04070","path:dme04070",0.170776824273423,0.946743668851886,3,64,0.969344243611993,"Phosphatidylinositol signaling system"
"dme00564","path:dme00564",0.176339116627665,0.944177217398662,3,65,0.969344243611993,"Glycerophospholipid metabolism"
"dme00983","path:dme00983",0.178744328609304,0.93148077192317,4,99,0.969344243611993,"Drug metabolism"
"dme00270","path:dme00270",0.191580363294963,0.954876759366096,2,36,1,"Cysteine and methionine metabolism"
"dme00020","path:dme00020",0.241215234709412,0.933952979719612,2,42,1,"Citrate cycle (TCA cycle)"
"dme00190","path:dme00190",0.25530105222202,0.875519060143521,5,153,1,"Oxidative phosphorylation"
"dme04145","path:dme04145",0.264669141305944,0.897961649852172,3,80,1,"Phagosome"
"dme00520","path:dme00520",0.324750718731857,0.891129510255182,2,52,1,"Amino sugar and nucleotide sugar metabolism"
"dme00910","path:dme00910",0.335010247599967,0.940157925812957,1,18,1,"Nitrogen metabolism"
"dme00062","path:dme00062",0.335010247602224,0.940157925812086,1,18,1,"Fatty acid elongation"
"dme03050","path:dme03050",0.34128153574395,0.881518008129789,2,54,1,"Proteasome"
"dme01212","path:dme01212",0.349503324297869,0.876595860961529,2,55,1,"Fatty acid metabolism"
"dme04392","path:dme04392",0.349958636328943,0.934060750509424,1,19,1,"Hippo signaling pathway"
"dme04130","path:dme04130",0.378868655644099,0.921283571916371,1,21,1,"SNARE interactions in vesicular transport"
"dme01240","path:dme01240",0.392814501647188,0.790528231545549,4,142,1,"Biosynthesis of cofactors"
"dme04013","path:dme04013",0.394415336031904,0.812231997813423,3,101,1,"MAPK signaling pathway"
"dme00565","path:dme00565",0.406510486979665,0.90780468275466,1,23,1,"Ether lipid metabolism"
"dme00350","path:dme00350",0.406510486982989,0.907804682752999,1,23,1,"Tyrosine metabolism"
"dme04150","path:dme04150",0.41273807587816,0.798421626192694,3,104,1,"mTOR signaling pathway"
"dme03440","path:dme03440",0.432938990354661,0.893709056670043,1,25,1,"Homologous recombination"
"dme00900","path:dme00900",0.445714745339091,0.886454883744519,1,26,1,"Terpenoid backbone biosynthesis"
"dme04214","path:dme04214",0.452567550418326,0.806675890004717,2,68,1,"Apoptosis"
"dme04068","path:dme04068",0.467642100678001,0.79512686385261,2,70,1,"FoxO signaling pathway"
"dme04080","path:dme04080",0.475089447611227,0.789291367558401,2,71,1,"Neuroactive ligand-receptor interaction"
"dme03410","path:dme03410",0.482363852811184,0.863978065057086,1,29,1,"Base excision repair"
"dme00600","path:dme00600",0.494041110407968,0.856276617314305,1,30,1,"Sphingolipid metabolism"
"dme00981","path:dme00981",0.49404111040905,0.856276617313591,1,30,1,"Insect hormone biosynthesis"
"dme04142","path:dme04142",0.50137572684199,0.725428589370402,3,119,1,"Lysosome"
"dme00280","path:dme00280",0.52753706986166,0.8326574412517,1,33,1,"Valine, leucine and isoleucine degradation"
"dme00630","path:dme00630",0.538209030203019,0.824637621549234,1,34,1,"Glyoxylate and dicarboxylate metabolism"
"dme00830","path:dme00830",0.548643300022508,0.816556143504521,1,35,1,"Retinol metabolism"
"dme00330","path:dme00330",0.649147561930357,0.725312116769065,1,46,1,"Arginine and proline metabolism"
"dme00860","path:dme00860",0.664886392991961,0.708573547174678,1,48,1,"Porphyrin metabolism"
"dme00561","path:dme00561",0.672492732960533,0.700217925955061,1,49,1,"Glycerolipid metabolism"
"dme00620","path:dme00620",0.679928836988581,0.691876364004357,1,50,1,"Pyruvate metabolism"
"dme04814","path:dme04814",0.736017581174375,0.521677626852246,2,115,1,"Motor proteins"
"dme03018","path:dme03018",0.75717250569674,0.594000878267195,1,62,1,"RNA degradation"
"dme04310","path:dme04310",0.897092210005856,0.343512035824916,1,99,1,"Wnt signaling pathway"
"dme04120","path:dme04120",0.912624072715628,0.306628338660847,1,106,1,"Ubiquitin mediated proteolysis"
"dme03040","path:dme03040",0.955819280624874,0.186772180474326,1,135,1,"Spliceosome"
"dme04144","path:dme04144",0.957859345615983,0.180257153200711,1,137,1,"Endocytosis"
"dme00400","path:dme00400",0.999999999999999,0.934417113732931,0,3,1,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme00470","path:dme00470",0.999999999999999,0.934417113732931,0,3,1,"D-Amino acid metabolism"
"dme00515","path:dme00515",0.999999999999999,0.913512927744412,0,4,1,"Mannose type O-glycan biosynthesis"
"dme00531","path:dme00531",0.999999999999999,0.680276873137301,0,17,1,"Glycosaminoglycan degradation"
"dme00601","path:dme00601",0.999999999999999,0.934417113732931,0,3,1,"Glycosphingolipid biosynthesis"
"dme00650","path:dme00650",0.999999999999999,0.695910287818616,0,16,1,"Butanoate metabolism"
"dme00340","path:dme00340",0.999999999999999,0.83440819544186,0,8,1,"Histidine metabolism"
"dme00410","path:dme00410",0.999999999999999,0.567061009626458,0,25,1,"beta-Alanine metabolism"
"dme00534","path:dme00534",0.999999999999999,0.728247081903093,0,14,1,"Glycosaminoglycan biosynthesis"
"dme00592","path:dme00592",0.999999999999999,0.762064021317904,0,12,1,"alpha-Linolenic acid metabolism"
"dme03022","path:dme03022",0.999999999999999,0.384547689302525,0,42,1,"Basal transcription factors"
"dme03060","path:dme03060",0.999999999999999,0.621131344350873,0,21,1,"Protein export"
"dme04136","path:dme04136",0.999999999999999,0.554285254673083,0,26,1,"Autophagy"
"dme00052","path:dme00052",1,0.411893827599715,0,39,1,"Galactose metabolism"
"dme00061","path:dme00061",1,0.728247081887631,0,14,1,"Fatty acid biosynthesis"
"dme00532","path:dme00532",1,0.834408195438773,0,8,1,"Glycosaminoglycan biosynthesis"
"dme03083","path:dme03083",1,0.278824777634028,0,56,1,"Polycomb repressive complex"
"dme03266","path:dme03266",1,0.955792668627591,0,2,1,"Virion"
"dme00232","path:dme00232",1,0.853527204830238,0,7,1,"Caffeine metabolism"
"dme00430","path:dme00430",1,0.834408195438687,0,8,1,"Taurine and hypotaurine metabolism"
"dme00770","path:dme00770",1,0.711897724692808,0,15,1,"Pantothenate and CoA biosynthesis"
"dme03430","path:dme03430",1,0.65004136361447,0,19,1,"Mismatch repair"
"dme00240","path:dme00240",1,0.421428406953639,0,38,1,"Pyrimidine metabolism"
"dme00511","path:dme00511",1,0.62113134435794,0,21,1,"Other glycan degradation"
"dme00513","path:dme00513",1,0.461790969805466,0,34,1,"Various types of N-glycan biosynthesis"
"dme00670","path:dme00670",1,0.744966431095776,0,13,1,"One carbon pool by folate"
"dme00740","path:dme00740",1,0.87307789341908,0,6,1,"Riboflavin metabolism"
