"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00190","path:dme00190",1.23998537637708e-07,0.999999952388916,63,153,9.80248940931307e-06,"Oxidative phosphorylation"
"dme03050","path:dme03050",1.3904240296898e-07,0.999999969983367,30,54,9.80248940931307e-06,"Proteasome"
"dme03008","path:dme03008",3.4101939347275e-06,0.99999891732057,36,79,0.000160279114932192,"Ribosome biogenesis in eukaryotes"
"dme00970","path:dme00970",5.72141042217868e-06,0.999998735302417,23,42,0.000201679717381798,"Aminoacyl-tRNA biosynthesis"
"dme04141","path:dme04141",3.22843941007888e-05,0.99998562565638,52,138,0.000910419913642245,"Protein processing in endoplasmic reticulum"
"dme00010","path:dme00010",0.0046746062544299,0.998040799912803,22,57,0.109853246979103,"Glycolysis / Gluconeogenesis"
"dme00785","path:dme00785",0.00924957832495462,0.998029633388057,8,15,0.186312934831229,"Lipoic acid metabolism"
"dme00052","path:dme00052",0.0190022799521699,0.992212799468776,15,39,0.334915184156994,"Galactose metabolism"
"dme00020","path:dme00020",0.0372980219104723,0.982956078795295,15,42,0.548420139685484,"Citrate cycle (TCA cycle)"
"dme01040","path:dme01040",0.0388950453677648,0.985688587560834,10,25,0.548420139685484,"Biosynthesis of unsaturated fatty acids"
"dme03450","path:dme03450",0.0497832586573039,0.992014610722269,4,7,0.616582371344344,"Non-homologous end-joining"
"dme03020","path:dme03020",0.0550806805851006,0.976824003064986,11,30,0.616582371344344,"RNA polymerase"
"dme03013","path:dme03013",0.0568480200530246,0.964475963986631,31,106,0.616582371344344,"Nucleocytoplasmic transport"
"dme03040","path:dme03040",0.068812480097577,0.954027288282648,38,135,0.693039978125596,"Spliceosome"
"dme01250","path:dme01250",0.0897661160203716,0.958080785672387,11,32,0.843801490591493,"Biosynthesis of nucleotide sugars"
"dme00051","path:dme00051",0.10762191079322,0.947642371876707,11,33,0.933758931213041,"Fructose and mannose metabolism"
"dme00450","path:dme00450",0.114226458376231,0.964800599241867,5,12,0.933758931213041,"Selenocompound metabolism"
"dme00513","path:dme00513",0.122462786523758,0.938564356516374,11,34,0.933758931213041,"Various types of N-glycan biosynthesis"
"dme00130","path:dme00130",0.125825671581899,0.966826469263948,4,9,0.933758931213041,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme01100","path:dme01100",0.133816738899173,0.884334336424318,272,1146,0.943408009239172,"Metabolic pathways"
"dme01200","path:dme01200",0.14460148984965,0.898289335719544,33,122,0.956484086854158,"Carbon metabolism"
"dme00670","path:dme00670",0.150774923694908,0.947656950596519,5,13,0.956484086854158,"One carbon pool by folate"
"dme04624","path:dme04624",0.156022226933657,0.896059498749908,24,87,0.956484086854158,"Toll and Imd signaling pathway"
