"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00190","path:dme00190",8.03105746828417e-10,0.999999999740914,83,153,1.08722186364244e-07,"Oxidative phosphorylation"
"dme03050","path:dme03050",1.54215867183326e-09,0.999999999739588,38,54,1.08722186364244e-07,"Proteasome"
"dme03030","path:dme03030",6.66980374168711e-09,0.999999999289472,27,34,3.13480775859294e-07,"DNA replication"
"dme03013","path:dme03013",3.8518170788248e-08,0.999999987541208,60,106,1.35776552028574e-06,"Nucleocytoplasmic transport"
"dme03420","path:dme03420",3.34309616002673e-07,0.999999929155115,32,49,9.42753117127537e-06,"Nucleotide excision repair"
"dme03460","path:dme03460",1.59828721473166e-05,0.999997325969871,20,28,0.000375597495461941,"Fanconi anemia pathway"
"dme03430","path:dme03430",2.38123694100796e-05,0.999997428716549,15,19,0.000479649155260175,"Mismatch repair"
"dme03410","path:dme03410",0.000151136743001031,0.999967247307066,19,29,0.00251003271263648,"Base excision repair"
"dme03440","path:dme03440",0.000160214853998073,0.999969371276983,17,25,0.00251003271263648,"Homologous recombination"
"dme03040","path:dme03040",0.00279262136422887,0.998428601270554,56,135,0.0393759612356271,"Spliceosome"
"dme00785","path:dme00785",0.00529249650783545,0.99896881508594,10,15,0.0678401825095272,"Lipoic acid metabolism"
"dme00020","path:dme00020",0.00884096620090186,0.99638895008238,21,42,0.103881352860597,"Citrate cycle (TCA cycle)"
"dme03020","path:dme03020",0.0115374817035694,0.995906618721447,15,30,0.125137301554098,"RNA polymerase"
"dme03450","path:dme03450",0.0385786211545031,0.994459111212641,5,7,0.388541827341781,"Non-homologous end-joining"
"dme00970","path:dme00970",0.0436556358591568,0.978640339419408,19,42,0.410362977076074,"Aminoacyl-tRNA biosynthesis"
"dme03008","path:dme03008",0.049761345582287,0.970261287639756,31,79,0.438521857943904,"Ribosome biogenesis in eukaryotes"
"dme00920","path:dme00920",0.0545125264815557,0.987353620489667,6,10,0.452133307876432,"Sulfur metabolism"
"dme00590","path:dme00590",0.0614499967429728,0.980415697441695,8,15,0.481358307819953,"Arachidonic acid metabolism"
