"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme01212","path:dme01212",0.00725873787772416,0.99903781292091,4,55,1,"Fatty acid metabolism"
"dme00670","path:dme00670",0.0144467011544975,0.99926746747634,2,13,1,"One carbon pool by folate"
"dme00562","path:dme00562",0.0269361088948842,0.996169475955323,3,49,1,"Inositol phosphate metabolism"
"dme03440","path:dme03440",0.0452401209500376,0.995504536651697,2,25,1,"Homologous recombination"
"dme04070","path:dme04070",0.0533881181636562,0.989984550842115,3,64,1,"Phosphatidylinositol signaling system"
"dme03460","path:dme03460",0.0545575952718,0.993950217796797,2,28,1,"Fanconi anemia pathway"
"dme00071","path:dme00071",0.0828493823962084,0.988278294734984,2,34,1,"Fatty acid degradation"
"dme03450","path:dme03450",0.0899639434062343,0.996486339475554,1,7,1,"Non-homologous end-joining"
"dme04624","path:dme04624",0.128763119162201,0.964854172733439,3,87,1,"Toll and Imd signaling pathway"
"dme00230","path:dme00230",0.131250025411865,0.963831010541146,3,93,1,"Purine metabolism"
"dme00620","path:dme00620",0.162505079082073,0.965427241038885,2,50,1,"Pyruvate metabolism"
"dme00061","path:dme00061",0.181803190705415,0.98390510684033,1,14,1,"Fatty acid biosynthesis"
"dme04120","path:dme04120",0.182486471366801,0.941557224879327,3,106,1,"Ubiquitin mediated proteolysis"
"dme04391","path:dme04391",0.19287146802488,0.954175777175644,2,63,1,"Hippo signaling pathway"
"dme00650","path:dme00650",0.206532958186865,0.978823385624246,1,16,1,"Butanoate metabolism"
"dme04392","path:dme04392",0.216930987921374,0.976306062950457,1,19,1,"Hippo signaling pathway"
"dme00760","path:dme00760",0.225554258691599,0.974363982472468,1,18,1,"Nicotinate and nicotinamide metabolism"
"dme00062","path:dme00062",0.234443268301094,0.972197838682674,1,18,1,"Fatty acid elongation"
"dme00380","path:dme00380",0.247212306511716,0.968749197748609,1,20,1,"Tryptophan metabolism"
"dme04130","path:dme04130",0.269843271108145,0.962310760156126,1,21,1,"SNARE interactions in vesicular transport"
"dme04144","path:dme04144",0.279795411713718,0.889649516592528,3,137,1,"Endocytosis"
"dme00563","path:dme00563",0.293869683936135,0.954568659616844,1,24,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"dme01040","path:dme01040",0.299815723005639,0.952512196816668,1,25,1,"Biosynthesis of unsaturated fatty acids"
"dme00900","path:dme00900",0.322701344143192,0.944333518384461,1,26,1,"Terpenoid backbone biosynthesis"
"dme03410","path:dme03410",0.334969829950491,0.939463267532538,1,29,1,"Base excision repair"
"dme01100","path:dme01100",0.345057991454291,0.760734476638968,18,1146,1,"Metabolic pathways"
"dme00981","path:dme00981",0.355331656978055,0.93116000841771,1,30,1,"Insect hormone biosynthesis"
