"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme01100","path:dme01100",0.000317858082347434,0.999852725005073,54,1146,0.0448179896109882,"Metabolic pathways"
"dme01212","path:dme01212",0.00173685022789225,0.999679338880862,7,55,0.0956818152790735,"Fatty acid metabolism"
"dme04146","path:dme04146",0.00258328652472347,0.999350070362979,9,92,0.0956818152790735,"Peroxisome"
"dme00220","path:dme00220",0.00271437773841343,0.999744367443621,4,19,0.0956818152790735,"Arginine biosynthesis"
"dme00061","path:dme00061",0.00924507233109736,0.999193192669214,3,14,0.251862660160495,"Fatty acid biosynthesis"
"dme00020","path:dme00020",0.0107175600068296,0.997947333025222,5,42,0.251862660160495,"Citrate cycle (TCA cycle)"
"dme00062","path:dme00062",0.0191042726864314,0.997729897086262,3,18,0.384814635540975,"Fatty acid elongation"
"dme00071","path:dme00071",0.0229318802449177,0.995716618877525,4,34,0.404174389316674,"Fatty acid degradation"
"dme02010","path:dme02010",0.0353360570416317,0.992362888496179,4,41,0.529349999967716,"ABC transporters"
"dme01200","path:dme01200",0.0423292641637026,0.983870346622278,8,122,0.529349999967716,"Carbon metabolism"
"dme00480","path:dme00480",0.0430311741834538,0.98621737161498,6,80,0.529349999967716,"Glutathione metabolism"
"dme01040","path:dme01040",0.0450510638270397,0.992283192246312,3,25,0.529349999967716,"Biosynthesis of unsaturated fatty acids"
"dme00250","path:dme00250",0.0700607376670089,0.985466816195193,3,30,0.677926266884978,"Alanine, aspartate and glutamate metabolism"
"dme00981","path:dme00981",0.0714667377369119,0.985053300675155,3,30,0.677926266884978,"Insect hormone biosynthesis"
"dme01230","path:dme01230",0.0737314228804948,0.975875201025099,5,70,0.677926266884978,"Biosynthesis of amino acids"
"dme00982","path:dme00982",0.0769278033344656,0.974519312292201,5,70,0.677926266884978,"Drug metabolism"
"dme00980","path:dme00980",0.0845939626585568,0.971169168749442,5,72,0.701632278520971,"Metabolism of xenobiotics by cytochrome P450"
"dme00470","path:dme00470",0.0951746872462904,0.996876469382779,1,3,0.728443671645294,"D-Amino acid metabolism"
"dme00983","path:dme00983",0.100863482803618,0.959708379410702,6,99,0.728443671645294,"Drug metabolism"
"dme00010","path:dme00010",0.111857935960047,0.964066716371404,4,57,0.728443671645294,"Glycolysis / Gluconeogenesis"
"dme00760","path:dme00760",0.113215148753472,0.981213281996256,2,18,0.728443671645294,"Nicotinate and nicotinamide metabolism"
"dme00910","path:dme00910",0.113657877845365,0.981096578520703,2,18,0.728443671645294,"Nitrogen metabolism"
"dme00240","path:dme00240",0.121053538576131,0.967956722173202,3,38,0.74211082344498,"Pyrimidine metabolism"
"dme00564","path:dme00564",0.153806347538696,0.944357918016147,4,65,0.792233556774366,"Glycerophospholipid metabolism"
"dme01210","path:dme01210",0.156006430341566,0.968199476489803,2,22,0.792233556774366,"2-Oxocarboxylic acid metabolism"
"dme04137","path:dme04137",0.167749169865136,0.948354117588676,3,44,0.792233556774366,"Mitophagy"
"dme00350","path:dme00350",0.170366993517848,0.96325622057421,2,23,0.792233556774366,"Tyrosine metabolism"
"dme00440","path:dme00440",0.178290485200855,0.985873204059749,1,6,0.792233556774366,"Phosphonate and phosphinate metabolism"
"dme00030","path:dme00030",0.182572894813964,0.958807887678157,2,24,0.792233556774366,"Pentose phosphate pathway"
"dme04142","path:dme04142",0.183977519659621,0.91277331974747,6,119,0.792233556774366,"Lysosome"
"dme03440","path:dme03440",0.186188539157674,0.957382729982987,2,25,0.792233556774366,"Homologous recombination"
