"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00860","path:dme00860",1.0173509132189e-06,0.999999932368536,8,48,0.000143446478763865,"Porphyrin metabolism"
"dme01240","path:dme01240",0.000111824765381957,0.999980525985101,10,142,0.00788364595942794,"Biosynthesis of cofactors"
"dme00830","path:dme00830",0.000278979123221692,0.999977917310517,5,35,0.0106320136762506,"Retinol metabolism"
"dme00040","path:dme00040",0.000301617409255337,0.999967189195686,6,55,0.0106320136762506,"Pentose and glucuronate interconversions"
"dme00053","path:dme00053",0.000409376394298337,0.99996447306596,5,38,0.0115444143192131,"Ascorbate and aldarate metabolism"
"dme00982","path:dme00982",0.00118029636703705,0.999830652220686,6,70,0.0276230439306842,"Drug metabolism"
"dme00980","path:dme00980",0.00137135679088503,0.999797057818059,6,72,0.0276230439306842,"Metabolism of xenobiotics by cytochrome P450"
"dme00983","path:dme00983",0.00661017848326047,0.99863538334706,6,99,0.116504395767466,"Drug metabolism"
"dme04120","path:dme04120",0.00800524984195005,0.998275371314655,6,106,0.125415580857217,"Ubiquitin mediated proteolysis"
"dme00790","path:dme00790",0.0363588146686154,0.99418154161345,3,43,0.512659286827477,"Folate biosynthesis"
"dme01100","path:dme01100",0.0459762065400973,0.975227593989287,26,1146,0.589331374741247,"Metabolic pathways"
"dme00260","path:dme00260",0.0783238751466757,0.989326834413571,2,27,0.92030553297344,"Glycine, serine and threonine metabolism"
"dme00981","path:dme00981",0.0932829246015002,0.985879265053695,2,30,0.994545233311894,"Insect hormone biosynthesis"
"dme04745","path:dme04745",0.0987491721018902,0.984507649191816,2,32,0.994545233311894,"Phototransduction"
"dme03450","path:dme03450",0.111214998101061,0.994561794229084,1,7,1,"Non-homologous end-joining"
"dme00500","path:dme00500",0.11971321939568,0.978912474351587,2,35,1,"Starch and sucrose metabolism"
"dme00532","path:dme00532",0.128823480143348,0.992501827035878,1,8,1,"Glycosaminoglycan biosynthesis"
"dme00052","path:dme00052",0.145344486040367,0.971160123873136,2,39,1,"Galactose metabolism"
"dme00920","path:dme00920",0.159481315098754,0.988042341851326,1,10,1,"Sulfur metabolism"
"dme04137","path:dme04137",0.173969287656604,0.961360694902399,2,44,1,"Mitophagy"
"dme00670","path:dme00670",0.202515270976623,0.979891670956801,1,13,1,"One carbon pool by folate"
"dme00561","path:dme00561",0.204079626403854,0.949815409134724,2,49,1,"Glycerolipid metabolism"
"dme00770","path:dme00770",0.2271564178177,0.974169485706646,1,15,1,"Pantothenate and CoA biosynthesis"
"dme03083","path:dme03083",0.230428957333268,0.938621240933221,2,56,1,"Polycomb repressive complex"
"dme04392","path:dme04392",0.262140628927675,0.964595273940425,1,19,1,"Hippo signaling pathway"
"dme00062","path:dme00062",0.270469567024723,0.962276798683619,1,18,1,"Fatty acid elongation"
"dme00220","path:dme00220",0.279007884993643,0.959593054555414,1,19,1,"Arginine biosynthesis"
"dme04070","path:dme04070",0.286513936819401,0.911821770367385,2,64,1,"Phosphatidylinositol signaling system"
"dme00380","path:dme00380",0.291960180961374,0.95538725219122,1,20,1,"Tryptophan metabolism"
"dme03060","path:dme03060",0.309631364679907,0.949308861960466,1,21,1,"Protein export"
"dme01210","path:dme01210",0.314240398205802,0.947573900968523,1,22,1,"2-Oxocarboxylic acid metabolism"
"dme00565","path:dme00565",0.32812093028638,0.942370817804467,1,23,1,"Ether lipid metabolism"
"dme03440","path:dme03440",0.345168262510755,0.935517388102277,1,25,1,"Homologous recombination"
"dme00512","path:dme00512",0.350535712409605,0.933329100963017,1,25,1,"Mucin type O-glycan biosynthesis"
"dme01040","path:dme01040",0.35105300056202,0.933115946505334,1,25,1,"Biosynthesis of unsaturated fatty acids"
"dme04136","path:dme04136",0.358888939540918,0.929741409227422,1,26,1,"Autophagy"
"dme00900","path:dme00900",0.367510513738848,0.926023286670405,1,26,1,"Terpenoid backbone biosynthesis"
"dme00600","path:dme00600",0.402049507433787,0.909567045014973,1,30,1,"Sphingolipid metabolism"
"dme03015","path:dme03015",0.419763864033016,0.830764020273714,2,84,1,"mRNA surveillance pathway"
"dme00051","path:dme00051",0.440307764308205,0.889153603943223,1,33,1,"Fructose and mannose metabolism"
"dme04624","path:dme04624",0.442411933862146,0.81447310657964,2,87,1,"Toll and Imd signaling pathway"
"dme00270","path:dme00270",0.468868271603991,0.872165388642495,1,36,1,"Cysteine and methionine metabolism"
"dme04146","path:dme04146",0.473920050594169,0.790501940662485,2,92,1,"Peroxisome"
"dme00514","path:dme00514",0.498374848152015,0.852942669768706,1,40,1,"Other types of O-glycan biosynthesis"
"dme04140","path:dme04140",0.511555540041958,0.759767802326352,2,101,1,"Autophagy"
"dme04814","path:dme04814",0.553759606982572,0.722471638554766,2,115,1,"Motor proteins"
"dme00562","path:dme00562",0.56211068812293,0.805379483022721,1,49,1,"Inositol phosphate metabolism"
"dme00520","path:dme00520",0.594237033498205,0.778072989775063,1,52,1,"Amino sugar and nucleotide sugar metabolism"
"dme01212","path:dme01212",0.61747372282498,0.756696500167585,1,55,1,"Fatty acid metabolism"
"dme04213","path:dme04213",0.63479484752314,0.739699286483888,1,60,1,"Longevity regulating pathway"
"dme04391","path:dme04391",0.643141078474747,0.73119703136389,1,63,1,"Hippo signaling pathway"
"dme00564","path:dme00564",0.67417592665339,0.698271652822576,1,65,1,"Glycerophospholipid metabolism"
"dme03040","path:dme03040",0.679242193572901,0.592625243653224,2,135,1,"Spliceosome"
"dme04141","path:dme04141",0.692187780761156,0.577344582442609,2,138,1,"Protein processing in endoplasmic reticulum"
"dme01230","path:dme01230",0.703975706915546,0.66371209547053,1,70,1,"Biosynthesis of amino acids"
"dme04080","path:dme04080",0.711329766567371,0.654740809149747,1,71,1,"Neuroactive ligand-receptor interaction"
"dme04145","path:dme04145",0.748935528485436,0.60564625255859,1,80,1,"Phagosome"
"dme00480","path:dme00480",0.755472125825221,0.596615055573677,1,80,1,"Glutathione metabolism"
"dme04310","path:dme04310",0.815301913464299,0.504395646630463,1,99,1,"Wnt signaling pathway"
"dme04013","path:dme04013",0.81579062477711,0.503521154859155,1,101,1,"MAPK signaling pathway"
"dme04150","path:dme04150",0.832689636464253,0.474173325322246,1,104,1,"mTOR signaling pathway"
"dme03013","path:dme03013",0.838732481327213,0.463242611308674,1,106,1,"Nucleocytoplasmic transport"
"dme04144","path:dme04144",0.904674808935312,0.326410324435674,1,137,1,"Endocytosis"
"dme00061","path:dme00061",0.999999999999995,0.784810097559375,0,14,1,"Fatty acid biosynthesis"
"dme01232","path:dme01232",0.999999999999999,0.349690544769391,0,60,1,"Nucleotide metabolism"
"dme00592","path:dme00592",0.999999999999999,0.813959261098164,0,12,1,"alpha-Linolenic acid metabolism"
"dme03430","path:dme03430",0.999999999999999,0.721753282799662,0,19,1,"Mismatch repair"
"dme00760","path:dme00760",0.999999999999999,0.732922725283261,0,18,1,"Nicotinate and nicotinamide metabolism"
"dme00785","path:dme00785",0.999999999999999,0.772171428744638,0,15,1,"Lipoic acid metabolism"
"dme00910","path:dme00910",0.999999999999999,0.732949676554548,0,18,1,"Nitrogen metabolism"
"dme04330","path:dme04330",0.999999999999999,0.637094043607666,0,28,1,"Notch signaling pathway"
"dme00440","path:dme00440",0.999999999999999,0.902949385697147,0,6,1,"Phosphonate and phosphinate metabolism"
"dme00020","path:dme00020",0.999999999999999,0.48086351626042,0,42,1,"Citrate cycle (TCA cycle)"
"dme00534","path:dme00534",0.999999999999999,0.790903618690567,0,14,1,"Glycosaminoglycan biosynthesis"
"dme00071","path:dme00071",0.999999999999999,0.553830260479009,0,34,1,"Fatty acid degradation"
"dme00130","path:dme00130",0.999999999999999,0.854040792928177,0,9,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme00010","path:dme00010",1,0.369820689342207,0,57,1,"Glycolysis / Gluconeogenesis"
"dme00630","path:dme00630",1,0.553518321388115,0,34,1,"Glyoxylate and dicarboxylate metabolism"
"dme00780","path:dme00780",1,0.950338046576517,0,3,1,"Biotin metabolism"
"dme01250","path:dme01250",1,0.572793654124794,0,32,1,"Biosynthesis of nucleotide sugars"
"dme03050","path:dme03050",1,0.384639773272838,0,54,1,"Proteasome"
"dme04341","path:dme04341",1,0.499401881337635,0,41,1,"Hedgehog signaling pathway"
"dme04350","path:dme04350",1,0.47409498792202,0,46,1,"TGF-beta signaling pathway"
"dme00030","path:dme00030",1,0.659113774865748,0,24,1,"Pentose phosphate pathway"
"dme03008","path:dme03008",1,0.253823960902283,0,79,1,"Ribosome biogenesis in eukaryotes"
"dme00513","path:dme00513",1,0.558519656700399,0,34,1,"Various types of N-glycan biosynthesis"
"dme00730","path:dme00730",1,0.71734247948263,0,19,1,"Thiamine metabolism"
"dme00511","path:dme00511",1,0.69879572933517,0,21,1,"Other glycan degradation"
"dme00590","path:dme00590",1,0.771104932159203,0,15,1,"Arachidonic acid metabolism"
"dme00620","path:dme00620",1,0.415816612787933,0,50,1,"Pyruvate metabolism"
"dme00640","path:dme00640",1,0.605916790369327,0,29,1,"Propanoate metabolism"
"dme00650","path:dme00650",1,0.75695462112449,0,16,1,"Butanoate metabolism"
"dme00740","path:dme00740",1,0.899244828074029,0,6,1,"Riboflavin metabolism"
"dme00100","path:dme00100",1,0.885117413272881,0,7,1,"Steroid biosynthesis"
"dme00190","path:dme00190",1,0.0651514847243728,0,153,1,"Oxidative phosphorylation"
"dme00240","path:dme00240",1,0.518595163346883,0,38,1,"Pyrimidine metabolism"
"dme00310","path:dme00310",1,0.541033877229524,0,37,1,"Lysine degradation"
"dme00330","path:dme00330",1,0.447327387565115,0,46,1,"Arginine and proline metabolism"
"dme00350","path:dme00350",1,0.670709359758957,0,23,1,"Tyrosine metabolism"
"dme00601","path:dme00601",1,0.948623301317051,0,3,1,"Glycosphingolipid biosynthesis"
"dme03010","path:dme03010",1,0.0713427416431642,0,143,1,"Ribosome"
"dme03020","path:dme03020",1,0.591327702667123,0,30,1,"RNA polymerase"
"dme03022","path:dme03022",1,0.483079403093227,0,42,1,"Basal transcription factors"
"dme03410","path:dme03410",1,0.608138014517008,0,29,1,"Base excision repair"
"dme04142","path:dme04142",1,0.123652524088564,0,119,1,"Lysosome"
"dme04214","path:dme04214",1,0.319338515464891,0,68,1,"Apoptosis"
"dme04320","path:dme04320",1,0.601770905809604,0,31,1,"Dorso-ventral axis formation"
