"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00260","path:dme00260",2.35852905912034e-06,0.999999695620183,21,27,0.000332552597335969,"Glycine, serine and threonine metabolism"
"dme01100","path:dme01100",8.77253786797376e-06,0.999994159920001,437,1146,0.00061846391969215,"Metabolic pathways"
"dme02010","path:dme02010",2.40987114960643e-05,0.999994224573729,28,41,0.00113263944031502,"ABC transporters"
"dme00730","path:dme00730",0.000290782483633391,0.999955453986319,14,19,0.010250082548077,"Thiamine metabolism"
"dme00981","path:dme00981",0.000565659211695493,0.999856312016567,19,30,0.0159515897698129,"Insect hormone biosynthesis"
"dme04512","path:dme04512",0.000719190646733069,0.999959237236238,10,11,0.0169009801982271,"ECM-receptor interaction"
"dme01240","path:dme01240",0.00178218658236138,0.998997552928635,64,142,0.0308352457282279,"Biosynthesis of cofactors"
"dme04146","path:dme04146",0.00187977596509459,0.99907170119843,44,92,0.0308352457282279,"Peroxisome"
"dme00770","path:dme00770",0.00196820717414221,0.999687010364386,11,15,0.0308352457282279,"Pantothenate and CoA biosynthesis"
"dme00053","path:dme00053",0.00454034514889904,0.998343102942536,21,38,0.0640188665994764,"Ascorbate and aldarate metabolism"
"dme00980","path:dme00980",0.00697477217096474,0.996549826547132,33,72,0.0894038978278208,"Metabolism of xenobiotics by cytochrome P450"
"dme00830","path:dme00830",0.00839045959370296,0.996863027638932,19,35,0.0923801865912267,"Retinol metabolism"
"dme00500","path:dme00500",0.00851732216798544,0.996809987488363,19,35,0.0923801865912267,"Starch and sucrose metabolism"
"dme00983","path:dme00983",0.0097983231908133,0.994509568747535,43,99,0.0986831121360482,"Drug metabolism"
"dme01212","path:dme01212",0.0106125287925231,0.99504346867288,27,55,0.0997577706497172,"Fatty acid metabolism"
"dme00562","path:dme00562",0.0123688586231501,0.994383025489299,25,49,0.10900056661651,"Inositol phosphate metabolism"
"dme04624","path:dme04624",0.013694102739007,0.992420826613869,38,87,0.113283883018118,"Toll and Imd signaling pathway"
"dme00982","path:dme00982",0.015631415454412,0.991824151160767,31,70,0.113283883018118,"Drug metabolism"
"dme01040","path:dme01040",0.0161489389135076,0.994516444702245,14,25,0.113283883018118,"Biosynthesis of unsaturated fatty acids"
"dme00230","path:dme00230",0.0167890667219823,0.990338008664758,42,93,0.113283883018118,"Purine metabolism"
"dme04142","path:dme04142",0.0169327749457385,0.98964222374958,51,119,0.113283883018118,"Lysosome"
"dme00061","path:dme00061",0.0176754994780043,0.995909533239747,9,14,0.113283883018118,"Fatty acid biosynthesis"
