"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme03050","path:dme03050",1.40735792876662e-05,0.999996104540682,27,54,0.00198437467956093,"Proteasome"
"dme04512","path:dme04512",0.00158433801737604,0.999828827577192,6,11,0.077580140870455,"ECM-receptor interaction"
"dme01212","path:dme01212",0.00165064129511606,0.999377017413969,22,55,0.077580140870455,"Fatty acid metabolism"
"dme04624","path:dme04624",0.00401597114228216,0.998068886513356,30,87,0.139057317619262,"Toll and Imd signaling pathway"
"dme04145","path:dme04145",0.00493111055387454,0.997678451060855,27,80,0.139057317619262,"Phagosome"
"dme04141","path:dme04141",0.00673868434117456,0.996178203625258,42,138,0.158359082017602,"Protein processing in endoplasmic reticulum"
"dme00601","path:dme00601",0.0131224786181292,1,3,3,0.253361266896676,"Glycosphingolipid biosynthesis"
"dme01200","path:dme01200",0.0143751073416554,0.991691404900773,37,122,0.253361266896676,"Carbon metabolism"
"dme00071","path:dme00071",0.0195069006338296,0.992531753111533,13,34,0.305608109929996,"Fatty acid degradation"
"dme01040","path:dme01040",0.0249012967806015,0.991552549612708,10,25,0.351108284606481,"Biosynthesis of unsaturated fatty acids"
"dme01100","path:dme01100",0.0346613616392518,0.971696325905289,268,1146,0.427374206293332,"Metabolic pathways"
"dme00062","path:dme00062",0.0363722728760283,0.988858243334013,8,18,0.427374206293332,"Fatty acid elongation"
"dme04814","path:dme04814",0.0479866260997975,0.970680155570097,29,115,0.520470329236266,"Motor proteins"
"dme00020","path:dme00020",0.0582867596556804,0.971996880633774,14,42,0.544746548000359,"Citrate cycle (TCA cycle)"
"dme04146","path:dme04146",0.0613836047322822,0.962678912749266,27,92,0.544746548000359,"Peroxisome"
"dme00480","path:dme00480",0.062460288082734,0.963212664088183,24,80,0.544746548000359,"Glutathione metabolism"
"dme00330","path:dme00330",0.0656943073824259,0.966864425430536,15,46,0.544746548000359,"Arginine and proline metabolism"
"dme00620","path:dme00620",0.0695421125106842,0.963687711824823,16,50,0.544746548000359,"Pyruvate metabolism"
"dme04213","path:dme04213",0.082781005753104,0.954706102900969,16,60,0.573016763119728,"Longevity regulating pathway"
"dme04070","path:dme04070",0.085336503145966,0.952159851726307,17,64,0.573016763119728,"Phosphatidylinositol signaling system"
"dme00052","path:dme00052",0.08566915294799,0.957375023582094,13,39,0.573016763119728,"Galactose metabolism"
"dme04142","path:dme04142",0.089406870841376,0.940698174174898,32,119,0.573016763119728,"Lysosome"
"dme01230","path:dme01230",0.0956001376112616,0.943242965215986,20,70,0.578336745970665,"Biosynthesis of amino acids"
"dme00270","path:dme00270",0.0984402971864962,0.951298527254463,12,36,0.578336745970665,"Cysteine and methionine metabolism"
"dme00190","path:dme00190",0.108631325567362,0.922942269050092,41,153,0.603135831816386,"Oxidative phosphorylation"
"dme02010","path:dme02010",0.111216536363305,0.945470265164606,10,41,0.603135831816386,"ABC transporters"
"dme00230","path:dme00230",0.136869192792938,0.910632353344228,23,93,0.714761340140896,"Purine metabolism"
"dme00061","path:dme00061",0.165501219154264,0.939487182321749,5,14,0.833416853598258,"Fatty acid biosynthesis"
"dme00500","path:dme00500",0.209345804898289,0.883912607728315,10,35,0.934041652965058,"Starch and sucrose metabolism"
"dme00592","path:dme00592",0.210652635090758,0.925028567008968,4,12,0.934041652965058,"alpha-Linolenic acid metabolism"
"dme00562","path:dme00562",0.211186385862906,0.874085993268715,12,49,0.934041652965058,"Inositol phosphate metabolism"
"dme00051","path:dme00051",0.211981084360864,0.882902814193032,10,33,0.934041652965058,"Fructose and mannose metabolism"
"dme00790","path:dme00790",0.223682906423382,0.866496042092254,12,43,0.955736054718088,"Folate biosynthesis"
"dme00010","path:dme00010",0.240664111393711,0.844655218076626,15,57,0.998048226662155,"Glycolysis / Gluconeogenesis"
"dme00250","path:dme00250",0.278396581128602,0.844213890528014,8,30,1,"Alanine, aspartate and glutamate metabolism"
"dme04136","path:dme04136",0.279263640433514,0.85077761884737,7,26,1,"Autophagy"
"dme00603","path:dme00603",0.294158524743234,0.92986004066787,2,5,1,"Glycosphingolipid biosynthesis"
"dme00630","path:dme00630",0.315215391882262,0.810295660491374,9,34,1,"Glyoxylate and dicarboxylate metabolism"
"dme00760","path:dme00760",0.325915541119101,0.839084279139855,5,18,1,"Nicotinate and nicotinamide metabolism"
"dme04711","path:dme04711",0.329903780549082,0.870683943309497,3,12,1,"Circadian rhythm"
"dme04150","path:dme04150",0.33199172266051,0.750893854796201,23,104,1,"mTOR signaling pathway"
"dme04350","path:dme04350",0.332571089846285,0.787873061187067,10,46,1,"TGF-beta signaling pathway"
"dme01232","path:dme01232",0.34074105680405,0.762782899410619,15,60,1,"Nucleotide metabolism"
"dme00910","path:dme00910",0.347581576417582,0.823795583248928,5,18,1,"Nitrogen metabolism"
"dme04120","path:dme04120",0.348114805201787,0.735270664747212,24,106,1,"Ubiquitin mediated proteolysis"
"dme00290","path:dme00290",0.358258642000608,0.960494774462522,1,2,1,"Valine, leucine and isoleucine biosynthesis"
"dme00564","path:dme00564",0.372896454143803,0.733949949993179,15,65,1,"Glycerophospholipid metabolism"
"dme03450","path:dme03450",0.392405496901418,0.870838000174045,2,7,1,"Non-homologous end-joining"
"dme04341","path:dme04341",0.405153018588311,0.733671185942228,9,41,1,"Hedgehog signaling pathway"
"dme00030","path:dme00030",0.420416735894899,0.751541735200215,6,24,1,"Pentose phosphate pathway"
"dme03083","path:dme03083",0.424265681959276,0.699206128632229,12,56,1,"Polycomb repressive complex"
"dme04392","path:dme04392",0.445906283611662,0.760323414092169,4,19,1,"Hippo signaling pathway"
"dme00531","path:dme00531",0.453552798009396,0.756773577859428,4,17,1,"Glycosaminoglycan degradation"
"dme00280","path:dme00280",0.467601266787078,0.6886010385915,8,33,1,"Valine, leucine and isoleucine degradation"
"dme00510","path:dme00510",0.478206362876148,0.669569830659028,9,39,1,"N-Glycan biosynthesis"
"dme00750","path:dme00750",0.495885960417191,0.80304100178871,2,7,1,"Vitamin B6 metabolism"
"dme04140","path:dme04140",0.498987786486546,0.599478255440811,21,101,1,"Autophagy"
"dme01210","path:dme01210",0.501967121002005,0.694047672329073,5,22,1,"2-Oxocarboxylic acid metabolism"
"dme00450","path:dme00450",0.504825516965705,0.744957188991014,3,12,1,"Selenocompound metabolism"
"dme04137","path:dme04137",0.505342653388674,0.636658446220638,10,44,1,"Mitophagy"
"dme03060","path:dme03060",0.547714191100956,0.65293690981901,5,21,1,"Protein export"
"dme00565","path:dme00565",0.561425570249108,0.637201888408365,5,23,1,"Ether lipid metabolism"
"dme04130","path:dme04130",0.563126766365849,0.638095204171634,5,21,1,"SNARE interactions in vesicular transport"
"dme00600","path:dme00600",0.573406613947122,0.606884065843756,6,30,1,"Sphingolipid metabolism"
"dme00670","path:dme00670",0.578188707629866,0.67664735413092,3,13,1,"One carbon pool by folate"
"dme03015","path:dme03015",0.580178906982185,0.528589484555788,17,84,1,"mRNA surveillance pathway"
"dme03440","path:dme03440",0.582359531980974,0.614409336700803,5,25,1,"Homologous recombination"
"dme00240","path:dme00240",0.583528608516234,0.574256446280576,8,38,1,"Pyrimidine metabolism"
"dme00640","path:dme00640",0.584564384756692,0.596423811147746,6,29,1,"Propanoate metabolism"
"dme03013","path:dme03013",0.603296798596097,0.493851664253731,21,106,1,"Nucleocytoplasmic transport"
"dme04745","path:dme04745",0.621587434626017,0.555875703290954,6,32,1,"Phototransduction"
"dme04122","path:dme04122",0.638367042453491,0.668087044570658,2,9,1,"Sulfur relay system"
"dme03250","path:dme03250",0.642501392776759,0.532184958544564,6,34,1,"Viral life cycle"
"dme00563","path:dme00563",0.64411440708391,0.550998091916207,5,24,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"dme00380","path:dme00380",0.647057869872406,0.569312616159575,4,20,1,"Tryptophan metabolism"
"dme04144","path:dme04144",0.657053582020013,0.428365217256256,25,137,1,"Endocytosis"
"dme00590","path:dme00590",0.659248979795588,0.588661751552842,3,15,1,"Arachidonic acid metabolism"
"dme00730","path:dme00730",0.659406788078481,0.557284039857416,4,19,1,"Thiamine metabolism"
"dme00604","path:dme00604",0.660158812313561,0.749524435867562,1,5,1,"Glycosphingolipid biosynthesis"
"dme00561","path:dme00561",0.661619179102392,0.474511159294471,10,49,1,"Glycerolipid metabolism"
"dme01240","path:dme01240",0.662042009303753,0.417193689099078,30,142,1,"Biosynthesis of cofactors"
"dme04214","path:dme04214",0.667862316572084,0.453510847013693,12,68,1,"Apoptosis"
"dme03460","path:dme03460",0.670062570592236,0.518488430760422,5,28,1,"Fanconi anemia pathway"
"dme00981","path:dme00981",0.685925129383626,0.486472664345992,6,30,1,"Insect hormone biosynthesis"
"dme00650","path:dme00650",0.725157380085847,0.509559064327466,3,16,1,"Butanoate metabolism"
"dme00513","path:dme00513",0.72982302191336,0.432004350630453,6,34,1,"Various types of N-glycan biosynthesis"
"dme03008","path:dme03008",0.731279565878674,0.370341351568939,15,79,1,"Ribosome biogenesis in eukaryotes"
"dme00970","path:dme00970",0.756834501837914,0.378236045742826,8,42,1,"Aminoacyl-tRNA biosynthesis"
"dme04310","path:dme04310",0.760425727799812,0.329137821870406,17,99,1,"Wnt signaling pathway"
"dme04215","path:dme04215",0.766014009115711,0.423405007021021,4,23,1,"Apoptosis"
"dme00350","path:dme00350",0.771875179555161,0.41567089204168,4,23,1,"Tyrosine metabolism"
"dme00410","path:dme00410",0.775910639209075,0.408320532312981,4,25,1,"beta-Alanine metabolism"
"dme00982","path:dme00982",0.79681543891189,0.296438056013838,14,70,1,"Drug metabolism"
"dme00740","path:dme00740",0.808800348337407,0.555862274570567,1,6,1,"Riboflavin metabolism"
"dme04391","path:dme04391",0.809099670955892,0.300332665044026,9,63,1,"Hippo signaling pathway"
"dme00232","path:dme00232",0.811115047387106,0.544753315185851,1,7,1,"Caffeine metabolism"
"dme00511","path:dme00511",0.827216364247162,0.362101549927064,3,21,1,"Other glycan degradation"
"dme00040","path:dme00040",0.829303573785916,0.271050285643058,10,55,1,"Pentose and glucuronate interconversions"
"dme00430","path:dme00430",0.832038505886232,0.50409951815451,1,8,1,"Taurine and hypotaurine metabolism"
"dme00980","path:dme00980",0.832685642990606,0.250996647946836,14,72,1,"Metabolism of xenobiotics by cytochrome P450"
"dme00100","path:dme00100",0.833003203014111,0.508013949527353,1,7,1,"Steroid biosynthesis"
"dme00830","path:dme00830",0.839557141072232,0.287643227938844,6,35,1,"Retinol metabolism"
"dme00770","path:dme00770",0.846077406322746,0.37674738368296,2,15,1,"Pantothenate and CoA biosynthesis"
"dme04068","path:dme04068",0.851022735933473,0.235593748729759,11,70,1,"FoxO signaling pathway"
"dme03020","path:dme03020",0.852203408046251,0.281936890491833,5,30,1,"RNA polymerase"
"dme01250","path:dme01250",0.856469393951642,0.2743657580878,5,32,1,"Biosynthesis of nucleotide sugars"
"dme03018","path:dme03018",0.860808644483093,0.227108042442753,10,62,1,"RNA degradation"
"dme00053","path:dme00053",0.882787103411949,0.222320927879417,6,38,1,"Ascorbate and aldarate metabolism"
"dme00900","path:dme00900",0.89063764132234,0.236226532875721,4,26,1,"Terpenoid backbone biosynthesis"
"dme03040","path:dme03040",0.891918096955966,0.155489259142962,24,135,1,"Spliceosome"
"dme00260","path:dme00260",0.894643734391267,0.228758621614413,4,27,1,"Glycine, serine and threonine metabolism"
"dme00983","path:dme00983",0.894741156635295,0.159709805700404,18,99,1,"Drug metabolism"
"dme00130","path:dme00130",0.90299547375827,0.355810089106593,1,9,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme00520","path:dme00520",0.90356721186333,0.175134357552669,8,52,1,"Amino sugar and nucleotide sugar metabolism"
"dme00512","path:dme00512",0.922303607083826,0.195608596729459,3,25,1,"Mucin type O-glycan biosynthesis"
"dme03430","path:dme03430",0.926357519218247,0.217391946813098,2,19,1,"Mismatch repair"
"dme00220","path:dme00220",0.939609126099772,0.187168407919734,2,19,1,"Arginine biosynthesis"
"dme00860","path:dme00860",0.939673225493447,0.121765487509032,7,48,1,"Porphyrin metabolism"
