"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme01100","path:dme01100",9.37108508064551e-18,1,501,1146,1.32132299637102e-15,"Metabolic pathways"
"dme01200","path:dme01200",9.97283958242663e-08,0.999999963997901,70,122,7.03085190561077e-06,"Carbon metabolism"
"dme00071","path:dme00071",3.20214401873908e-06,0.999999447639498,25,34,0.000150500768880737,"Fatty acid degradation"
"dme00630","path:dme00630",1.59168908821079e-05,0.999996835388149,24,34,0.000561070403594305,"Glyoxylate and dicarboxylate metabolism"
"dme01212","path:dme01212",2.66934450411328e-05,0.999992017936668,34,55,0.000752755150159946,"Fatty acid metabolism"
"dme00260","path:dme00260",3.49027111502081e-05,0.99999408496014,20,27,0.00082021371202989,"Glycine, serine and threonine metabolism"
"dme00280","path:dme00280",4.46212593879606e-05,0.999990548659602,23,33,0.000898799653386063,"Valine, leucine and isoleucine degradation"
"dme04146","path:dme04146",5.92722911400131e-05,0.999975686665631,50,92,0.000973890621283124,"Peroxisome"
"dme01230","path:dme01230",6.21632311457313e-05,0.999977549133853,40,70,0.000973890621283124,"Biosynthesis of amino acids"
"dme00410","path:dme00410",0.000105069218801745,0.999981202586621,18,25,0.0014814759851046,"beta-Alanine metabolism"
"dme00520","path:dme00520",0.000148978489864573,0.999951642889114,31,52,0.00190963337008225,"Amino sugar and nucleotide sugar metabolism"
"dme03050","path:dme03050",0.000203735092445182,0.999930939466498,32,54,0.00239388733623089,"Proteasome"
"dme00250","path:dme00250",0.000254197676932406,0.999940822580572,20,30,0.00275706711134379,"Alanine, aspartate and glutamate metabolism"
"dme00030","path:dme00030",0.000297117807707486,0.999942410624962,17,24,0.00299240077762539,"Pentose phosphate pathway"
"dme04512","path:dme04512",0.000391472148216434,0.999970102463072,9,11,0.00367983819323448,"ECM-receptor interaction"
"dme00640","path:dme00640",0.000537746872616254,0.999868094145303,19,29,0.00448761533541029,"Propanoate metabolism"
"dme01040","path:dme01040",0.000541060004978546,0.999882443356703,17,25,0.00448761533541029,"Biosynthesis of unsaturated fatty acids"
"dme00330","path:dme00330",0.000694512761126465,0.999763577971743,27,46,0.00544034996215731,"Arginine and proline metabolism"
"dme00561","path:dme00561",0.000842678445584768,0.999698419617316,28,49,0.0062535610961817,"Glycerolipid metabolism"
"dme01250","path:dme01250",0.00109241078734758,0.999689688051724,20,32,0.00770149605080041,"Biosynthesis of nucleotide sugars"
"dme00511","path:dme00511",0.00200228023251138,0.999554105214753,14,21,0.0128410380329404,"Other glycan degradation"
"dme00040","path:dme00040",0.0020035662179056,0.999186425492075,30,55,0.0128410380329404,"Pentose and glucuronate interconversions"
"dme00053","path:dme00053",0.0030106728252079,0.998945812544092,22,38,0.0184567334067093,"Ascorbate and aldarate metabolism"
"dme00380","path:dme00380",0.00495249746767269,0.998789394050025,13,20,0.029095922622577,"Tryptophan metabolism"
"dme00620","path:dme00620",0.0080435698947537,0.996466925421538,26,50,0.0453657342064109,"Pyruvate metabolism"
"dme00531","path:dme00531",0.0090229802109413,0.997855361064364,11,17,0.0460944914325269,"Glycosaminoglycan degradation"
"dme01240","path:dme01240",0.00914694192891309,0.9943716132158,63,142,0.0460944914325269,"Biosynthesis of cofactors"
"dme00480","path:dme00480",0.00933543564420962,0.995078666214354,38,80,0.0460944914325269,"Glutathione metabolism"
"dme00220","path:dme00220",0.00948042731590979,0.997524357538108,12,19,0.0460944914325269,"Arginine biosynthesis"
"dme04142","path:dme04142",0.0106883242595804,0.993643376318592,53,119,0.0502351240200279,"Lysosome"
"dme00980","path:dme00980",0.0113611858576659,0.994111948942811,35,72,0.051675071159061,"Metabolism of xenobiotics by cytochrome P450"
"dme04624","path:dme04624",0.0131686988716346,0.992696612267747,40,87,0.0578052872386959,"Toll and Imd signaling pathway"
"dme01210","path:dme01210",0.0135288970133118,0.995857663455809,13,22,0.0578052872386959,"2-Oxocarboxylic acid metabolism"
"dme00830","path:dme00830",0.0147341090047504,0.994104123745547,19,35,0.0600105385190898,"Retinol metabolism"
"dme00010","path:dme00010",0.0148962329657315,0.992708669073969,28,57,0.0600105385190898,"Glycolysis / Gluconeogenesis"
"dme00051","path:dme00051",0.0153648084079301,0.993993436096106,18,33,0.0601788329310596,"Fructose and mannose metabolism"
"dme00983","path:dme00983",0.0158635233529234,0.990746137484433,45,99,0.0604528862908701,"Drug metabolism"
"dme00600","path:dme00600",0.0202863688440446,0.992162734113279,16,30,0.0752731054476393,"Sphingolipid metabolism"
"dme00650","path:dme00650",0.0216185252875557,0.994225528516719,10,16,0.0765828450692329,"Butanoate metabolism"
"dme00565","path:dme00565",0.0217256298068746,0.992637764626716,13,23,0.0765828450692329,"Ether lipid metabolism"
"dme00982","path:dme00982",0.0231703560466243,0.987350725609437,33,70,0.0796834195749763,"Drug metabolism"
"dme00350","path:dme00350",0.0245695858811375,0.99150634937235,13,23,0.0824836097438188,"Tyrosine metabolism"
"dme00564","path:dme00564",0.0257814955484908,0.986135324124722,30,65,0.084539322612493,"Glycerophospholipid metabolism"
"dme00770","path:dme00770",0.0340321976996177,0.990450660233668,9,15,0.109057724446502,"Pantothenate and CoA biosynthesis"
"dme00400","path:dme00400",0.0430595812326355,1,3,3,0.133799725305533,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme00470","path:dme00470",0.0436509742131525,1,3,3,0.133799725305533,"D-Amino acid metabolism"
"dme00230","path:dme00230",0.0448580528157713,0.972125240267445,39,93,0.134574158447314,"Purine metabolism"
"dme00604","path:dme00604",0.04746858154171,0.995617285447767,4,5,0.139438958278773,"Glycosphingolipid biosynthesis"
"dme00360","path:dme00360",0.0533266085031797,0.991502240840491,5,7,0.153450036713231,"Phenylalanine metabolism"
"dme00062","path:dme00062",0.0565835733218911,0.980173196022911,10,18,0.159565676767733,"Fatty acid elongation"
"dme02010","path:dme02010",0.0592222568412991,0.970142664352372,18,41,0.163732121855356,"ABC transporters"
"dme00061","path:dme00061",0.0667427620377767,0.979140254682128,8,14,0.180975566294741,"Fatty acid biosynthesis"
"dme00592","path:dme00592",0.0685930140758075,0.980530559653129,7,12,0.182483301597903,"alpha-Linolenic acid metabolism"
"dme00270","path:dme00270",0.0843339051925314,0.956832689910053,17,36,0.22020519689161,"Cysteine and methionine metabolism"
"dme00562","path:dme00562",0.0904781859551404,0.948703707505179,21,49,0.231953167630451,"Inositol phosphate metabolism"
"dme00340","path:dme00340",0.0943279176408147,0.978449471978684,5,8,0.237504221202766,"Histidine metabolism"
"dme00500","path:dme00500",0.109116035927341,0.942445222126459,16,35,0.269918615188684,"Starch and sucrose metabolism"
"dme00790","path:dme00790",0.116851852432115,0.933598074483962,19,43,0.284070882636693,"Folate biosynthesis"
"dme00860","path:dme00860",0.127995186318626,0.923907045258055,21,48,0.304414201745368,"Porphyrin metabolism"
"dme00910","path:dme00910",0.129537958189518,0.945547890575641,9,18,0.304414201745368,"Nitrogen metabolism"
"dme01232","path:dme01232",0.14425927001427,0.907967609528593,25,60,0.333451755278887,"Nucleotide metabolism"
"dme04145","path:dme04145",0.150139987116354,0.897821156391037,32,80,0.341447390054934,"Phagosome"
"dme00052","path:dme00052",0.162058738605731,0.905551391371543,17,39,0.355612147549545,"Galactose metabolism"
"dme04122","path:dme04122",0.163070951396723,0.950206693797114,5,9,0.355612147549545,"Sulfur relay system"
"dme00020","path:dme00020",0.163934677948372,0.902378806882466,18,42,0.355612147549545,"Citrate cycle (TCA cycle)"
