"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme02010","path:dme02010",0.000518669292135145,0.999924964437906,7,41,0.0731323701910554,"ABC transporters"
"dme00290","path:dme00290",0.0555020408504944,0.999217267291941,1,2,1,"Valine, leucine and isoleucine biosynthesis"
"dme00500","path:dme00500",0.0557417570592657,0.989408045100549,3,35,1,"Starch and sucrose metabolism"
"dme00052","path:dme00052",0.0588747659725453,0.988500735686151,3,39,1,"Galactose metabolism"
"dme00562","path:dme00562",0.0595152424132971,0.984721500809229,4,49,1,"Inositol phosphate metabolism"
"dme04140","path:dme04140",0.0599879342869378,0.979128294947742,6,101,1,"Autophagy"
"dme00982","path:dme00982",0.0609999202948094,0.984009149055126,4,70,1,"Drug metabolism"
"dme00980","path:dme00980",0.0657816348792982,0.982307183879188,4,72,1,"Metabolism of xenobiotics by cytochrome P450"
"dme03022","path:dme03022",0.0871377675962829,0.979934511551538,3,42,1,"Basal transcription factors"
"dme04137","path:dme04137",0.0919056496854565,0.978316471346736,3,44,1,"Mitophagy"
"dme00350","path:dme00350",0.109554359666068,0.981896281407288,2,23,1,"Tyrosine metabolism"
"dme00480","path:dme00480",0.123327200961546,0.958748949120159,4,80,1,"Glutathione metabolism"
"dme04070","path:dme04070",0.129882372637279,0.956001731682586,4,64,1,"Phosphatidylinositol signaling system"
"dme04392","path:dme04392",0.134454079870721,0.975258614356787,2,19,1,"Hippo signaling pathway"
"dme04136","path:dme04136",0.156651853412178,0.96775908036744,2,26,1,"Autophagy"
"dme04391","path:dme04391",0.159831104539172,0.941613973562961,4,63,1,"Hippo signaling pathway"
"dme04145","path:dme04145",0.161144671144784,0.940594715539426,4,80,1,"Phagosome"
"dme00360","path:dme00360",0.161368981975479,0.98822573211818,1,7,1,"Phenylalanine metabolism"
"dme00130","path:dme00130",0.185759340012575,0.983680737755286,1,9,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme00983","path:dme00983",0.18658584377707,0.927015287734661,4,99,1,"Drug metabolism"
"dme03450","path:dme03450",0.194276514436587,0.982684481553513,1,7,1,"Non-homologous end-joining"
"dme00270","path:dme00270",0.196900026861035,0.952695858684131,2,36,1,"Cysteine and methionine metabolism"
"dme03460","path:dme03460",0.197331563136595,0.953018126941724,2,28,1,"Fanconi anemia pathway"
"dme00430","path:dme00430",0.203776307809343,0.980496115917215,1,8,1,"Taurine and hypotaurine metabolism"
"dme04013","path:dme04013",0.227342872741093,0.893745514839328,5,101,1,"MAPK signaling pathway"
"dme00970","path:dme00970",0.259599503522371,0.925257341499603,2,42,1,"Aminoacyl-tRNA biosynthesis"
"dme00670","path:dme00670",0.27193282038371,0.962390835819383,1,13,1,"One carbon pool by folate"
"dme04141","path:dme04141",0.275664187401282,0.861465550647327,5,138,1,"Protein processing in endoplasmic reticulum"
"dme04320","path:dme04320",0.283301131365798,0.9144903948565,2,31,1,"Dorso-ventral axis formation"
"dme00330","path:dme00330",0.303400902548008,0.902907254720963,2,46,1,"Arginine and proline metabolism"
"dme00590","path:dme00590",0.317988955272464,0.94695909978852,1,15,1,"Arachidonic acid metabolism"
"dme04068","path:dme04068",0.328816675688758,0.858384358580618,3,70,1,"FoxO signaling pathway"
"dme04310","path:dme04310",0.337070107226397,0.832357965117136,4,99,1,"Wnt signaling pathway"
"dme00770","path:dme00770",0.337589859297394,0.939667444671014,1,15,1,"Pantothenate and CoA biosynthesis"
"dme04214","path:dme04214",0.345407208431659,0.847423968609603,3,68,1,"Apoptosis"
"dme04142","path:dme04142",0.360557545901751,0.814807565979943,4,119,1,"Lysosome"
"dme00520","path:dme00520",0.378040913664625,0.858763597350276,2,52,1,"Amino sugar and nucleotide sugar metabolism"
"dme04146","path:dme04146",0.384461282695748,0.819230447854863,3,92,1,"Peroxisome"
"dme00220","path:dme00220",0.386764289239984,0.917865203599186,1,19,1,"Arginine biosynthesis"
"dme04512","path:dme04512",0.390534038606924,0.918994627218176,1,11,1,"ECM-receptor interaction"
"dme00900","path:dme00900",0.437684432746201,0.890758108075247,1,26,1,"Terpenoid backbone biosynthesis"
"dme01210","path:dme01210",0.44879394163879,0.88517301479252,1,22,1,"2-Oxocarboxylic acid metabolism"
"dme04215","path:dme04215",0.451674913119536,0.883322804687746,1,23,1,"Apoptosis"
