"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00240","path:dme00240",0.0243329253777626,0.999854091460159,1,38,1,"Pyrimidine metabolism"
"dme01232","path:dme01232",0.0392526466461536,0.999613601513322,1,60,1,"Nucleotide metabolism"
"dme04624","path:dme04624",0.0570294518434999,0.99917247552293,1,87,1,"Toll and Imd signaling pathway"
"dme00983","path:dme00983",0.0661436717235316,0.998879918808896,1,99,1,"Drug metabolism"
"dme01100","path:dme01100",0.600729024149824,0.864604725387192,1,1146,1,"Metabolic pathways"
"dme00640","path:dme00640",1,0.98212968765259,0,29,1,"Propanoate metabolism"
"dme03440","path:dme03440",1,0.984593352293593,0,25,1,"Homologous recombination"
"dme04330","path:dme04330",1,0.984012112012458,0,28,1,"Notch signaling pathway"
"dme00020","path:dme00020",1,0.973139885077363,0,42,1,"Citrate cycle (TCA cycle)"
"dme00220","path:dme00220",1,0.987960130273169,0,19,1,"Arginine biosynthesis"
"dme00280","path:dme00280",1,0.978660847978346,0,33,1,"Valine, leucine and isoleucine degradation"
"dme00513","path:dme00513",1,0.979047922181272,0,34,1,"Various types of N-glycan biosynthesis"
"dme00532","path:dme00532",1,0.994953424981396,0,8,1,"Glycosaminoglycan biosynthesis"
"dme00562","path:dme00562",1,0.971103843953722,0,49,1,"Inositol phosphate metabolism"
"dme00563","path:dme00563",1,0.984544839802203,0,24,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"dme00620","path:dme00620",1,0.967259061593973,0,50,1,"Pyruvate metabolism"
"dme00900","path:dme00900",1,0.982256343704059,0,26,1,"Terpenoid backbone biosynthesis"
"dme04130","path:dme04130",1,0.985673335066713,0,21,1,"SNARE interactions in vesicular transport"
"dme04144","path:dme04144",1,0.91999684015461,0,137,1,"Endocytosis"
"dme04146","path:dme04146",1,0.940702164031458,0,92,1,"Peroxisome"
"dme04214","path:dme04214",1,0.960114709152564,0,68,1,"Apoptosis"
"dme04391","path:dme04391",1,0.964571442427427,0,63,1,"Hippo signaling pathway"
"dme00030","path:dme00030",1,0.984807672857403,0,24,1,"Pentose phosphate pathway"
"dme00051","path:dme00051",1,0.977841719406274,0,33,1,"Fructose and mannose metabolism"
"dme00053","path:dme00053",1,0.975644938430313,0,38,1,"Ascorbate and aldarate metabolism"
"dme00071","path:dme00071",1,0.978464497187903,0,34,1,"Fatty acid degradation"
"dme00190","path:dme00190",1,0.901823300909496,0,153,1,"Oxidative phosphorylation"
"dme00230","path:dme00230",1,0.944182992638192,0,93,1,"Purine metabolism"
"dme00310","path:dme00310",1,0.977924481981878,0,37,1,"Lysine degradation"
"dme00400","path:dme00400",1,0.998054070880877,0,3,1,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme00531","path:dme00531",1,0.989810743767336,0,17,1,"Glycosaminoglycan degradation"
"dme00604","path:dme00604",1,0.997080450672811,0,5,1,"Glycosphingolipid biosynthesis"
"dme00670","path:dme00670",1,0.991388153789768,0,13,1,"One carbon pool by folate"
"dme00790","path:dme00790",1,0.972080243715048,0,43,1,"Folate biosynthesis"
"dme00980","path:dme00980",1,0.950544385985245,0,72,1,"Metabolism of xenobiotics by cytochrome P450"
"dme01212","path:dme01212",1,0.964863243468821,0,55,1,"Fatty acid metabolism"
"dme03008","path:dme03008",1,0.948805702323837,0,79,1,"Ribosome biogenesis in eukaryotes"
"dme03015","path:dme03015",1,0.94814344822535,0,84,1,"mRNA surveillance pathway"
"dme03018","path:dme03018",1,0.960690693122825,0,62,1,"RNA degradation"
"dme03022","path:dme03022",1,0.972299229405936,0,42,1,"Basal transcription factors"
"dme04013","path:dme04013",1,0.942722502254521,0,101,1,"MAPK signaling pathway"
"dme04215","path:dme04215",1,0.98520063795211,0,23,1,"Apoptosis"
"dme04310","path:dme04310",1,0.940358489083449,0,99,1,"Wnt signaling pathway"
"dme00010","path:dme00010",1,0.963895351062479,0,57,1,"Glycolysis / Gluconeogenesis"
"dme00040","path:dme00040",1,0.964207650758163,0,55,1,"Pentose and glucuronate interconversions"
"dme00061","path:dme00061",1,0.991057309136138,0,14,1,"Fatty acid biosynthesis"
"dme00062","path:dme00062",1,0.987834931868691,0,18,1,"Fatty acid elongation"
"dme00130","path:dme00130",1,0.99392344504505,0,9,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme00232","path:dme00232",1,0.995621437368704,0,7,1,"Caffeine metabolism"
"dme00250","path:dme00250",1,0.981499688745441,0,30,1,"Alanine, aspartate and glutamate metabolism"
"dme00260","path:dme00260",1,0.982175695910267,0,27,1,"Glycine, serine and threonine metabolism"
"dme00290","path:dme00290",1,0.998802408217859,0,2,1,"Valine, leucine and isoleucine biosynthesis"
"dme00330","path:dme00330",1,0.970502351729017,0,46,1,"Arginine and proline metabolism"
"dme00340","path:dme00340",1,0.995131647384258,0,8,1,"Histidine metabolism"
"dme00360","path:dme00360",1,0.995596849513572,0,7,1,"Phenylalanine metabolism"
"dme00380","path:dme00380",1,0.987489478172349,0,20,1,"Tryptophan metabolism"
"dme00410","path:dme00410",1,0.984891180206673,0,25,1,"beta-Alanine metabolism"
"dme00430","path:dme00430",1,0.99514892522037,0,8,1,"Taurine and hypotaurine metabolism"
"dme00440","path:dme00440",1,0.996479507159473,0,6,1,"Phosphonate and phosphinate metabolism"
"dme00450","path:dme00450",1,0.99239807401279,0,12,1,"Selenocompound metabolism"
"dme00470","path:dme00470",1,0.997894484432884,0,3,1,"D-Amino acid metabolism"
"dme00480","path:dme00480",1,0.947087841949205,0,80,1,"Glutathione metabolism"
"dme00500","path:dme00500",1,0.977749873381684,0,35,1,"Starch and sucrose metabolism"
"dme00510","path:dme00510",1,0.974985056000316,0,39,1,"N-Glycan biosynthesis"
"dme00512","path:dme00512",1,0.984191586775718,0,25,1,"Mucin type O-glycan biosynthesis"
"dme00514","path:dme00514",1,0.975183847589707,0,40,1,"Other types of O-glycan biosynthesis"
"dme00520","path:dme00520",1,0.966911355826729,0,52,1,"Amino sugar and nucleotide sugar metabolism"
"dme00534","path:dme00534",1,0.991633115033172,0,14,1,"Glycosaminoglycan biosynthesis"
"dme00561","path:dme00561",1,0.968439563748143,0,49,1,"Glycerolipid metabolism"
"dme00564","path:dme00564",1,0.959854105815077,0,65,1,"Glycerophospholipid metabolism"
"dme00565","path:dme00565",1,0.985293490214589,0,23,1,"Ether lipid metabolism"
"dme00590","path:dme00590",1,0.990377022626284,0,15,1,"Arachidonic acid metabolism"
"dme00592","path:dme00592",1,0.992575039350621,0,12,1,"alpha-Linolenic acid metabolism"
"dme00600","path:dme00600",1,0.981924248996006,0,30,1,"Sphingolipid metabolism"
"dme00601","path:dme00601",1,0.997952662535358,0,3,1,"Glycosphingolipid biosynthesis"
"dme00603","path:dme00603",1,0.996847509833224,0,5,1,"Glycosphingolipid biosynthesis"
"dme00650","path:dme00650",1,0.989713608501455,0,16,1,"Butanoate metabolism"
"dme00730","path:dme00730",1,0.987352990825813,0,19,1,"Thiamine metabolism"
