"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00190","path:dme00190",1.16698726074848e-17,1,76,153,1.64545203765535e-15,"Oxidative phosphorylation"
"dme03030","path:dme03030",6.14768979461472e-15,1,28,34,4.33412130520338e-13,"DNA replication"
"dme03440","path:dme03440",3.77027496189703e-08,0.999999996572108,18,25,1.7720292320916e-06,"Homologous recombination"
"dme03430","path:dme03430",7.95920022588887e-07,0.9999999348619,14,19,2.80561807962583e-05,"Mismatch repair"
"dme03460","path:dme03460",5.13329969265503e-06,0.999999204641476,17,28,0.000144759051332872,"Fanconi anemia pathway"
"dme03420","path:dme03420",2.15958856641488e-05,0.999994446766294,22,49,0.000507503313107496,"Nucleotide excision repair"
"dme03410","path:dme03410",3.99974807665758e-05,0.999992451061987,16,29,0.000805663541155312,"Base excision repair"
"dme00020","path:dme00020",0.000707052569029472,0.999784784777188,18,42,0.0117298312816841,"Citrate cycle (TCA cycle)"
"dme03013","path:dme03013",0.000748712635001112,0.999655673238556,36,106,0.0117298312816841,"Nucleocytoplasmic transport"
"dme03008","path:dme03008",0.00213610014793835,0.999072911354107,26,79,0.0301190120859308,"Ribosome biogenesis in eukaryotes"
"dme00240","path:dme00240",0.0109139371293474,0.995957142853048,14,38,0.13989683047618,"Pyrimidine metabolism"
"dme01200","path:dme01200",0.0268271072389522,0.983942271276364,34,122,0.315218510057688,"Carbon metabolism"
"dme00010","path:dme00010",0.0311675927281041,0.98474874465549,18,57,0.338048505743283,"Glycolysis / Gluconeogenesis"
"dme00500","path:dme00500",0.0390752952302389,0.983637750834719,12,35,0.393544044818835,"Starch and sucrose metabolism"
"dme00785","path:dme00785",0.0685648097675037,0.97916179394008,6,15,0.625699625037334,"Lipoic acid metabolism"
"dme00970","path:dme00970",0.0710013758907613,0.965434055938624,13,42,0.625699625037334,"Aminoacyl-tRNA biosynthesis"
"dme01232","path:dme01232",0.103265749459758,0.941558372190514,16,60,0.856498274930933,"Nucleotide metabolism"
"dme04215","path:dme04215",0.154512931942427,0.931791722598724,7,23,1,"Apoptosis"
"dme01230","path:dme01230",0.181051250838527,0.883876572952482,18,70,1,"Biosynthesis of amino acids"
"dme03450","path:dme03450",0.184702230630563,0.953752545369169,3,7,1,"Non-homologous end-joining"
"dme03040","path:dme03040",0.195847721018513,0.858160309926626,30,135,1,"Spliceosome"
"dme04145","path:dme04145",0.198551247469476,0.867369589510072,20,80,1,"Phagosome"
"dme04120","path:dme04120",0.208461589090761,0.852913073174214,25,106,1,"Ubiquitin mediated proteolysis"
"dme03083","path:dme03083",0.214019940958621,0.866809203199605,14,56,1,"Polycomb repressive complex"
"dme03020","path:dme03020",0.241582073924878,0.87469535087475,7,30,1,"RNA polymerase"
"dme00260","path:dme00260",0.269587020708798,0.856954921312189,7,27,1,"Glycine, serine and threonine metabolism"
"dme04214","path:dme04214",0.28003114022004,0.808017843756153,17,68,1,"Apoptosis"
"dme00983","path:dme00983",0.294380363270867,0.786407774606889,21,99,1,"Drug metabolism"
"dme01210","path:dme01210",0.303517829289437,0.842762707607721,6,22,1,"2-Oxocarboxylic acid metabolism"
