"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme01100","path:dme01100",1.96140477402798e-17,1,414,1146,2.76558073137946e-15,"Metabolic pathways"
"dme01200","path:dme01200",2.43744540091718e-15,1,74,122,1.71839900764661e-13,"Carbon metabolism"
"dme01230","path:dme01230",6.38013781022546e-09,0.999999998536801,42,70,2.99866477080597e-07,"Biosynthesis of amino acids"
"dme00010","path:dme00010",1.15662260803636e-08,0.999999997674677,36,57,4.07709469332818e-07,"Glycolysis / Gluconeogenesis"
"dme00620","path:dme00620",1.00249074282614e-06,0.999999769555856,30,50,2.82702389476972e-05,"Pyruvate metabolism"
"dme01212","path:dme01212",4.28595915278546e-06,0.999998856152416,31,55,0.000100720040090458,"Fatty acid metabolism"
"dme00630","path:dme00630",5.01634304659892e-06,0.999999065279883,22,34,0.000101043481367207,"Glyoxylate and dicarboxylate metabolism"
"dme04146","path:dme04146",5.89521457287924e-06,0.999997867950931,45,92,0.000103903156846997,"Peroxisome"
"dme00500","path:dme00500",1.00686549602543e-05,0.999997969124117,22,35,0.000157742261043984,"Starch and sucrose metabolism"
"dme00071","path:dme00071",2.38063574782512e-05,0.999994983656953,21,34,0.000335669640443342,"Fatty acid degradation"
"dme03050","path:dme03050",9.68052091957436e-05,0.999969180367,28,54,0.00124086677241817,"Proteasome"
"dme00020","path:dme00020",0.000139157996401974,0.999960853994349,23,42,0.00163510645772319,"Citrate cycle (TCA cycle)"
"dme00280","path:dme00280",0.000222436793777221,0.999944674848722,19,33,0.00241258368635294,"Valine, leucine and isoleucine degradation"
"dme00670","path:dme00670",0.000268890595552632,0.999973888568905,10,13,0.00253815209524848,"One carbon pool by folate"
"dme00330","path:dme00330",0.000270016180345583,0.999915697022137,24,46,0.00253815209524848,"Arginine and proline metabolism"
"dme00260","path:dme00260",0.000451480021763606,0.999896333477266,16,27,0.00397866769179178,"Glycine, serine and threonine metabolism"
"dme00410","path:dme00410",0.000568189097279071,0.999874052594488,15,25,0.00471262721860876,"beta-Alanine metabolism"
"dme00250","path:dme00250",0.000618102100836416,0.999841773691685,17,30,0.00484179978988526,"Alanine, aspartate and glutamate metabolism"
"dme01210","path:dme01210",0.00163242304892596,0.999629265712346,13,22,0.0121142973630821,"2-Oxocarboxylic acid metabolism"
"dme00380","path:dme00380",0.00206742875187891,0.999551015600375,12,20,0.0145753727007463,"Tryptophan metabolism"
"dme00650","path:dme00650",0.00326377703187195,0.999373237074202,10,16,0.0211177995311525,"Butanoate metabolism"
"dme00052","path:dme00052",0.00329497581337131,0.998839752118192,19,39,0.0211177995311525,"Galactose metabolism"
"dme00030","path:dme00030",0.00465435030906704,0.998715379363135,13,24,0.0275084061896456,"Pentose phosphate pathway"
"dme00220","path:dme00220",0.00468228190462052,0.998903637859479,11,19,0.0275084061896456,"Arginine biosynthesis"
"dme00340","path:dme00340",0.00670409832655487,0.99932828719876,6,8,0.0378111145617695,"Histidine metabolism"
"dme00051","path:dme00051",0.00724581067374288,0.997460703762672,16,33,0.0392945886537594,"Fructose and mannose metabolism"
"dme00480","path:dme00480",0.00840597594234993,0.995706587524836,32,80,0.0438978743656052,"Glutathione metabolism"
"dme00062","path:dme00062",0.0102659945829917,0.997393776906154,10,18,0.0516966155786367,"Fatty acid elongation"
"dme00640","path:dme00640",0.0123238238579224,0.995700367958419,14,29,0.0599192815161055,"Propanoate metabolism"
"dme00240","path:dme00240",0.0150041077082765,0.993896040698516,17,38,0.0705193062288998,"Pyrimidine metabolism"
"dme00061","path:dme00061",0.0174915022899787,0.995952530462318,8,14,0.0795581233189356,"Fatty acid biosynthesis"
"dme00360","path:dme00360",0.0188328169321716,0.99782019081217,5,7,0.0829820996073812,"Phenylalanine metabolism"
"dme00400","path:dme00400",0.0202207536442917,1,3,3,0.0838566548191598,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme00470","path:dme00470",0.0202207536443364,1,3,3,0.0838566548191598,"D-Amino acid metabolism"
"dme01040","path:dme01040",0.0210978112816432,0.992682916335887,12,25,0.0849940397346196,"Biosynthesis of unsaturated fatty acids"
"dme00350","path:dme00350",0.0276929438443327,0.990431293831968,11,23,0.106277913064782,"Tyrosine metabolism"
"dme04145","path:dme04145",0.0278885303787018,0.984316702932633,30,80,0.106277913064782,"Phagosome"
"dme01250","path:dme01250",0.0323077077641508,0.986604629374421,14,32,0.119775815258354,"Biosynthesis of nucleotide sugars"
"dme00910","path:dme00910",0.0331294808161404,0.989734005417037,9,18,0.119775815258354,"Nitrogen metabolism"
"dme01232","path:dme01232",0.0392802865976546,0.979009135157963,23,60,0.138463010256733,"Nucleotide metabolism"
"dme04141","path:dme04141",0.0435420916198096,0.971180667879018,47,138,0.14974231508276,"Protein processing in endoplasmic reticulum"
"dme04142","path:dme04142",0.0478003362542432,0.969070807664391,41,119,0.160472557424959,"Lysosome"
"dme00040","path:dme00040",0.0496273360680686,0.973514506321221,21,55,0.162731497339481,"Pentose and glucuronate interconversions"
"dme04512","path:dme04512",0.0508883383881502,0.98758866524264,6,11,0.163073993471118,"ECM-receptor interaction"
"dme00983","path:dme00983",0.0701065612771913,0.954902446017425,34,99,0.219667225335199,"Drug metabolism"
"dme00270","path:dme00270",0.0858236716370161,0.957165325011041,14,36,0.263068210887375,"Cysteine and methionine metabolism"
"dme00561","path:dme00561",0.0928541373217095,0.948299357311762,18,49,0.278562411965129,"Glycerolipid metabolism"
"dme00230","path:dme00230",0.113383954868396,0.9244969949297,31,93,0.333065367425914,"Purine metabolism"
"dme02010","path:dme02010",0.122014519058451,0.932963122098324,15,41,0.351103003821256,"ABC transporters"
"dme03022","path:dme03022",0.144267232649388,0.918040365409916,15,42,0.406833596071274,"Basal transcription factors"
"dme00980","path:dme00980",0.150365181978735,0.901839753246557,24,72,0.41571550311768,"Metabolism of xenobiotics by cytochrome P450"
"dme00531","path:dme00531",0.153996997253971,0.936210205790021,7,17,0.417568781015576,"Glycosaminoglycan degradation"
"dme00790","path:dme00790",0.168583183281092,0.901122541856689,15,43,0.440472568350796,"Folate biosynthesis"
"dme00600","path:dme00600",0.168691621921582,0.911116832267719,11,30,0.440472568350796,"Sphingolipid metabolism"
"dme04213","path:dme04213",0.178075595303745,0.885673082501779,20,60,0.456521071596874,"Longevity regulating pathway"
"dme00601","path:dme00601",0.18241397342282,0.979779246355683,2,3,0.459292325939602,"Glycosphingolipid biosynthesis"
"dme00511","path:dme00511",0.189016703460944,0.910101143851865,8,21,0.467567634877073,"Other glycan degradation"
