"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme01100","path:dme01100",4.30169876710143e-30,1,526,1146,6.06539526161302e-28,"Metabolic pathways"
"dme01200","path:dme01200",3.50306378859799e-09,0.999999998886214,72,122,2.46965997096158e-07,"Carbon metabolism"
"dme00190","path:dme00190",6.34630525991825e-08,0.999999974919586,82,153,2.98276347216158e-06,"Oxidative phosphorylation"
"dme00260","path:dme00260",2.45334312938949e-06,0.999999682408785,21,27,8.64803453109797e-05,"Glycine, serine and threonine metabolism"
"dme00500","path:dme00500",4.64812647464441e-06,0.999999141025642,25,35,0.000119126587898086,"Starch and sucrose metabolism"
"dme01230","path:dme01230",5.06921650630154e-06,0.99999840355672,42,70,0.000119126587898086,"Biosynthesis of amino acids"
"dme00052","path:dme00052",1.61356357444803e-05,0.999996352726795,26,39,0.000325017805710247,"Galactose metabolism"
"dme00980","path:dme00980",2.06734104323333e-05,0.999992883831384,40,72,0.000364368858869875,"Metabolism of xenobiotics by cytochrome P450"
"dme00982","path:dme00982",2.42738741350881e-05,0.999991697337061,39,70,0.000380290694783046,"Drug metabolism"
"dme00983","path:dme00983",3.60946180965425e-05,0.999985129088806,51,99,0.000508934115161249,"Drug metabolism"
"dme00270","path:dme00270",0.000126486878913594,0.999968132399728,23,36,0.0016213318115288,"Cysteine and methionine metabolism"
"dme00230","path:dme00230",0.000201396037400678,0.999911817421959,48,93,0.00232443930572522,"Purine metabolism"
"dme04146","path:dme04146",0.000214310006910836,0.999906345932713,47,92,0.00232443930572522,"Peroxisome"
"dme00511","path:dme00511",0.000525060075077304,0.999903611850183,15,21,0.00528810504184999,"Other glycan degradation"
"dme00010","path:dme00010",0.000918502440708277,0.999643297715145,31,57,0.00863392294265781,"Glycolysis / Gluconeogenesis"
"dme00480","path:dme00480",0.00119846982672555,0.999453942828575,39,80,0.0105615153480189,"Glutathione metabolism"
"dme00071","path:dme00071",0.00216709530454775,0.999311767817538,20,34,0.0179741434083078,"Fatty acid degradation"
"dme00250","path:dme00250",0.00303663708847251,0.999073606091061,18,30,0.023786990526368,"Alanine, aspartate and glutamate metabolism"
"dme00020","path:dme00020",0.00355636680526467,0.998667070946061,23,42,0.0263919852390694,"Citrate cycle (TCA cycle)"
"dme01212","path:dme01212",0.00517795506284374,0.99773039508884,28,55,0.0348396903349332,"Fatty acid metabolism"
"dme04141","path:dme04141",0.00518889004988366,0.996939943785424,60,138,0.0348396903349332,"Protein processing in endoplasmic reticulum"
"dme01040","path:dme01040",0.0056693560712486,0.998337000122978,15,25,0.0356025725478866,"Biosynthesis of unsaturated fatty acids"
"dme00510","path:dme00510",0.00580751183405243,0.997798362618748,21,39,0.0356025725478866,"N-Glycan biosynthesis"
"dme00350","path:dme00350",0.00659570375600832,0.998131830493292,14,23,0.0387497595665489,"Tyrosine metabolism"
"dme00410","path:dme00410",0.00721100416432986,0.997815644325521,15,25,0.0406700634868204,"beta-Alanine metabolism"
"dme03060","path:dme03060",0.00996538727447093,0.997179290560556,12,21,0.0533867863187888,"Protein export"
"dme00531","path:dme00531",0.0102230016355127,0.997518685870675,11,17,0.0533867863187888,"Glycosaminoglycan degradation"
"dme00040","path:dme00040",0.0110124901069934,0.99483842849361,27,55,0.0554557537530741,"Pentose and glucuronate interconversions"
"dme01210","path:dme01210",0.0131940481160888,0.995976058866232,13,22,0.063694917809535,"2-Oxocarboxylic acid metabolism"
"dme00630","path:dme00630",0.0135521101722415,0.994717926715898,18,34,0.063694917809535,"Glyoxylate and dicarboxylate metabolism"
"dme01232","path:dme01232",0.0153751419559668,0.992346394210053,28,60,0.0699320972835911,"Nucleotide metabolism"
"dme00620","path:dme00620",0.0166688514702839,0.992169289874331,24,50,0.0734471267909382,"Pyruvate metabolism"
"dme00592","path:dme00592",0.0186120549641674,0.99619528184263,8,12,0.0793584509563103,"alpha-Linolenic acid metabolism"
"dme00051","path:dme00051",0.0191360803724436,0.992332794088148,17,33,0.0793584509563103,"Fructose and mannose metabolism"
