"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme03010","path:dme03010",1.08330988231668e-06,0.999999775742342,136,143,0.000152746693406652,"Ribosome"
"dme03008","path:dme03008",0.000922104671862037,0.999791519072658,75,79,0.0529393711740587,"Ribosome biogenesis in eukaryotes"
"dme04814","path:dme04814",0.00112636959944806,0.999629236657248,107,115,0.0529393711740587,"Motor proteins"
"dme03040","path:dme03040",0.00319236822170926,0.998663532894571,123,135,0.105940481177607,"Spliceosome"
"dme03410","path:dme03410",0.00435200273452487,1,29,29,0.105940481177607,"Base excision repair"
"dme01232","path:dme01232",0.00450810558202584,0.998995736372289,57,60,0.105940481177607,"Nucleotide metabolism"
"dme03030","path:dme03030",0.0130941603625699,0.998388260485615,33,34,0.263753801588908,"DNA replication"
"dme03022","path:dme03022",0.0153049042188877,0.996897758707916,40,42,0.267284033409952,"Basal transcription factors"
"dme04341","path:dme04341",0.018940034430827,0.996034833445123,39,41,0.267284033409952,"Hedgehog signaling pathway"
"dme03420","path:dme03420",0.0198978607711977,0.994690368067823,46,49,0.267284033409952,"Nucleotide excision repair"
"dme03020","path:dme03020",0.0208519458688615,0.997237385172194,29,30,0.267284033409952,"RNA polymerase"
"dme00514","path:dme00514",0.0236413775428983,0.994873525300728,38,40,0.277786186129055,"Other types of O-glycan biosynthesis"
"dme03083","path:dme03083",0.0265069427623606,0.99145799913591,52,56,0.287498379191757,"Polycomb repressive complex"
"dme00240","path:dme00240",0.0300842321878126,0.99322412638542,36,38,0.302991195605826,"Pyrimidine metabolism"
"dme00512","path:dme00512",0.0563716342450932,0.990899114635431,24,25,0.485150064743514,"Mucin type O-glycan biosynthesis"
"dme00970","path:dme00970",0.0585948037753952,0.981497525173378,39,42,0.485150064743514,"Aminoacyl-tRNA biosynthesis"
"dme00590","path:dme00590",0.0599696628966237,1,15,15,0.485150064743514,"Arachidonic acid metabolism"
"dme00230","path:dme00230",0.0620454751742926,0.968063036018053,83,93,0.485150064743514,"Purine metabolism"
"dme03013","path:dme03013",0.0672262247344828,0.963160962577894,94,106,0.485150064743514,"Nucleocytoplasmic transport"
"dme03018","path:dme03018",0.070275191210373,0.969116320650984,56,62,0.485150064743514,"RNA degradation"
"dme03015","path:dme03015",0.0722563926213744,0.963323500110536,75,84,0.485150064743514,"mRNA surveillance pathway"
"dme04120","path:dme04120",0.105229846945495,0.937937613853174,93,106,0.669813633637055,"Ubiquitin mediated proteolysis"
"dme04711","path:dme04711",0.109260379954981,1,12,12,0.669813633637055,"Circadian rhythm"
"dme03460","path:dme03460",0.122411979476472,0.963675899118872,26,28,0.719170379424276,"Fanconi anemia pathway"
"dme00260","path:dme00260",0.138212159645808,0.95776980978813,25,27,0.754221797915544,"Glycine, serine and threonine metabolism"
"dme03430","path:dme03430",0.13907635989932,0.971855876154684,18,19,0.754221797915544,"Mismatch repair"
"dme03050","path:dme03050",0.157826465299944,0.920793766884828,48,54,0.82420487434415,"Proteasome"
"dme00052","path:dme00052",0.180627870432343,0.91937530238361,35,39,0.909590347534301,"Galactose metabolism"
"dme00620","path:dme00620",0.217329607697799,0.883950562624361,44,50,0.974299402523591,"Pyruvate metabolism"
"dme00430","path:dme00430",0.225270751608475,1,8,8,0.974299402523591,"Taurine and hypotaurine metabolism"
"dme00010","path:dme00010",0.225398329220367,0.872992569798371,50,57,0.974299402523591,"Glycolysis / Gluconeogenesis"
"dme00532","path:dme00532",0.226131133005071,1,8,8,0.974299402523591,"Glycosaminoglycan biosynthesis"
"dme00340","path:dme00340",0.228027519739564,1,8,8,0.974299402523591,"Histidine metabolism"
"dme00500","path:dme00500",0.266530691558651,0.869359520010925,31,35,1,"Starch and sucrose metabolism"
"dme03450","path:dme03450",0.273872207663445,1,7,7,1,"Non-homologous end-joining"
"dme03250","path:dme03250",0.295276974799135,0.85120885791939,30,34,1,"Viral life cycle"
"dme00330","path:dme00330",0.315859939279833,0.816418211603161,40,46,1,"Arginine and proline metabolism"
"dme04350","path:dme04350",0.31767664987189,0.815086593623142,40,46,1,"TGF-beta signaling pathway"
"dme00740","path:dme00740",0.318387915860754,1,6,6,1,"Riboflavin metabolism"
"dme00380","path:dme00380",0.318868480699165,0.875337160320625,18,20,1,"Tryptophan metabolism"
"dme04070","path:dme04070",0.324999406940319,0.789827755543955,55,64,1,"Phosphatidylinositol signaling system"
"dme00900","path:dme00900",0.325247518125058,0.848255937187381,23,26,1,"Terpenoid backbone biosynthesis"
"dme04392","path:dme04392",0.351046038687505,0.85788175384569,17,19,1,"Hippo signaling pathway"
"dme04391","path:dme04391",0.361881925160927,0.76032275352143,54,63,1,"Hippo signaling pathway"
"dme00062","path:dme00062",0.382321507203742,0.840132843394154,16,18,1,"Fatty acid elongation"
"dme00310","path:dme00310",0.389255329523075,0.772518044305193,32,37,1,"Lysine degradation"
"dme00563","path:dme00563",0.401033318564203,0.798966567460347,21,24,1,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"dme00565","path:dme00565",0.428059974396028,0.780335825098824,20,23,1,"Ether lipid metabolism"
"dme00630","path:dme00630",0.467512112147632,0.710815499743412,29,34,1,"Glyoxylate and dicarboxylate metabolism"
"dme01230","path:dme01230",0.470621014741051,0.655995370906932,59,70,1,"Biosynthesis of amino acids"
"dme04137","path:dme04137",0.491725232404736,0.666058739421759,37,44,1,"Mitophagy"
"dme00051","path:dme00051",0.49543167923376,0.687476762435744,28,33,1,"Fructose and mannose metabolism"
"dme04013","path:dme04013",0.557813035963378,0.549450518380258,84,101,1,"MAPK signaling pathway"
