"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme03010","path:dme03010",3.35929712300503e-17,1,88,143,4.73660894343709e-15,"Ribosome"
"dme03008","path:dme03008",1.55296533662215e-08,0.999999995957528,46,79,1.09484056231862e-06,"Ribosome biogenesis in eukaryotes"
"dme01200","path:dme01200",3.47991534019698e-08,0.999999988017947,63,122,1.63556020989258e-06,"Carbon metabolism"
"dme03050","path:dme03050",1.19834320073395e-07,0.999999973984811,34,54,4.22415978258717e-06,"Proteasome"
"dme00071","path:dme00071",1.14443880616526e-05,0.999997729159734,22,34,0.000282659131556226,"Fatty acid degradation"
"dme01212","path:dme01212",1.20280481513287e-05,0.999996582728941,31,55,0.000282659131556226,"Fatty acid metabolism"
"dme01100","path:dme01100",8.38453922010081e-05,0.999939980854484,372,1146,0.00168888575719173,"Metabolic pathways"
"dme00260","path:dme00260",0.000195925949557342,0.999958713962475,17,27,0.00345319486094815,"Glycine, serine and threonine metabolism"
"dme01230","path:dme01230",0.000243307637511571,0.999906052395138,34,70,0.00381181965434794,"Biosynthesis of amino acids"
"dme00280","path:dme00280",0.000435704616525359,0.999884516484687,19,33,0.00614343509300756,"Valine, leucine and isoleucine degradation"
"dme01040","path:dme01040",0.000955474379729464,0.999775205062248,15,25,0.0122474443219868,"Biosynthesis of unsaturated fatty acids"
"dme04141","path:dme04141",0.0011825938684655,0.999363182881401,56,138,0.0138954779544696,"Protein processing in endoplasmic reticulum"
"dme03060","path:dme03060",0.00143032352689151,0.999692144104215,13,21,0.0155135090224387,"Protein export"
"dme00010","path:dme00010",0.00179253601125634,0.99927812292779,27,57,0.0180533983990817,"Glycolysis / Gluconeogenesis"
"dme00030","path:dme00030",0.00211666315453541,0.999468996574028,14,24,0.018312766229543,"Pentose phosphate pathway"
"dme00052","path:dme00052",0.00217120636598727,0.999261100371492,20,39,0.018312766229543,"Galactose metabolism"
"dme00630","path:dme00630",0.00220792216951937,0.999302900181112,18,34,0.018312766229543,"Glyoxylate and dicarboxylate metabolism"
"dme00620","path:dme00620",0.002591766258186,0.998986657052643,24,50,0.020302169022457,"Pyruvate metabolism"
"dme00270","path:dme00270",0.00510491597897108,0.998187969217858,18,36,0.0378838501597328,"Cysteine and methionine metabolism"
"dme00970","path:dme00970",0.0064172559228559,0.997486974699605,20,42,0.0452416542561341,"Aminoacyl-tRNA biosynthesis"
"dme04146","path:dme04146",0.00948229446248912,0.994872278295658,37,92,0.0617849988993499,"Peroxisome"
"dme00330","path:dme00330",0.00964021259422481,0.995910014153165,21,46,0.0617849988993499,"Arginine and proline metabolism"
"dme00410","path:dme00410",0.0110088941077569,0.996494848551936,13,25,0.0674893073562491,"beta-Alanine metabolism"
"dme00062","path:dme00062",0.0142408996412322,0.996172024959932,10,18,0.0836652853922394,"Fatty acid elongation"
"dme00640","path:dme00640",0.0186972720957216,0.993075492733465,14,29,0.104430364684144,"Propanoate metabolism"
"dme00790","path:dme00790",0.0192566629914025,0.991466773932003,19,43,0.104430364684144,"Folate biosynthesis"
"dme00500","path:dme00500",0.0218647562113712,0.990979720478279,16,35,0.114182615770494,"Starch and sucrose metabolism"
"dme00051","path:dme00051",0.0280145337689573,0.98837498885275,15,33,0.141073187907963,"Fructose and mannose metabolism"
"dme00020","path:dme00020",0.0320392279691147,0.985085516007843,18,42,0.155776935987764,"Citrate cycle (TCA cycle)"
"dme00910","path:dme00910",0.0429021572214391,0.985980479645925,9,18,0.201640138940764,"Nitrogen metabolism"
"dme00670","path:dme00670",0.0478020070125395,0.986989015629737,7,13,0.217422031895744,"One carbon pool by folate"
"dme00650","path:dme00650",0.0567983050172489,0.981665267244628,8,16,0.250267531482253,"Butanoate metabolism"
"dme01232","path:dme01232",0.0614502488977436,0.965343482204104,23,60,0.262560154381268,"Nucleotide metabolism"
"dme00480","path:dme00480",0.0773057762108923,0.951891435834879,29,80,0.320591601345171,"Glutathione metabolism"
"dme00380","path:dme00380",0.085381431015137,0.966287716330549,9,20,0.343965193518123,"Tryptophan metabolism"
"dme00350","path:dme00350",0.0899733601696842,0.961735708623911,10,23,0.347287624998088,"Tyrosine metabolism"
"dme00240","path:dme00240",0.0911322136519806,0.952993295186188,15,38,0.347287624998088,"Pyrimidine metabolism"
"dme00592","path:dme00592",0.0951752753303047,0.970865253301118,6,12,0.353150363725604,"alpha-Linolenic acid metabolism"
"dme00785","path:dme00785",0.10363336474235,0.963100550202127,7,15,0.374674472530034,"Lipoic acid metabolism"
"dme04512","path:dme04512",0.112979968555669,0.966422786511127,5,11,0.398254389158735,"ECM-receptor interaction"
"dme00230","path:dme00230",0.153136968319198,0.894290429596365,31,93,0.526641769097729,"Purine metabolism"
"dme00340","path:dme00340",0.165021118999853,0.95412338036429,4,8,0.553999470928078,"Histidine metabolism"
"dme00061","path:dme00061",0.182922563105552,0.927078149336255,6,14,0.599815846462392,"Fatty acid biosynthesis"
"dme00601","path:dme00601",0.19839751960829,0.976686459343927,2,3,0.621645561439307,"Glycosphingolipid biosynthesis"
"dme00470","path:dme00470",0.19839751960829,0.976686459343927,2,3,0.621645561439307,"D-Amino acid metabolism"
"dme00450","path:dme00450",0.239564266875164,0.903711452127546,5,12,0.734316557160829,"Selenocompound metabolism"
"dme00310","path:dme00310",0.310843161989316,0.802593530595929,12,37,0.917920326495802,"Lysine degradation"
"dme04145","path:dme04145",0.312483515402826,0.76891138290943,25,80,0.917920326495802,"Phagosome"
"dme00360","path:dme00360",0.321020862228804,0.89178440989879,3,7,0.923753909678802,"Phenylalanine metabolism"
"dme03020","path:dme03020",0.331452813400305,0.796552113051825,10,30,0.934696933788861,"RNA polymerase"
"dme04137","path:dme04137",0.361701041112309,0.752557566373451,14,44,0.999996996016383,"Mitophagy"
"dme00561","path:dme00561",0.417836852542626,0.69898078895396,15,49,1,"Glycerolipid metabolism"
"dme01250","path:dme01250",0.434017712512435,0.709349364170239,10,32,1,"Biosynthesis of nucleotide sugars"
"dme00564","path:dme00564",0.483210998026844,0.624802520607334,19,65,1,"Glycerophospholipid metabolism"
"dme00290","path:dme00290",0.489638804155885,0.918522026357152,1,2,1,"Valine, leucine and isoleucine biosynthesis"
