"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme03030","path:dme03030",1.59530769771814e-11,1,30,34,2.24938385378258e-09,"DNA replication"
"dme03008","path:dme03008",1.82035370918146e-10,0.999999999966882,53,79,1.28334936497293e-08,"Ribosome biogenesis in eukaryotes"
"dme03010","path:dme03010",2.85579345959332e-08,0.999999989306529,82,143,1.34222292600886e-06,"Ribosome"
"dme03013","path:dme03013",2.04336554259774e-06,0.999999231939487,57,106,7.20286353765704e-05,"Nucleocytoplasmic transport"
"dme01200","path:dme01200",5.12192567005085e-06,0.999997872108465,64,122,0.000144438303895434,"Carbon metabolism"
"dme03430","path:dme03430",3.48398557134811e-05,0.99999608272654,15,19,0.000818736609266806,"Mismatch repair"
"dme03410","path:dme03410",0.000213304365408796,0.999952228788333,19,29,0.00429655936037717,"Base excision repair"
"dme03460","path:dme03460",0.00032703802650037,0.999925432608861,18,28,0.00558502416963161,"Fanconi anemia pathway"
"dme00330","path:dme00330",0.000359011576863765,0.999884119278131,27,46,0.00558502416963161,"Arginine and proline metabolism"
"dme00020","path:dme00020",0.000396101004938412,0.999877946421209,25,42,0.00558502416963161,"Citrate cycle (TCA cycle)"
"dme04341","path:dme04341",0.00565416250013331,0.99781794360985,21,41,0.0724760829562543,"Hedgehog signaling pathway"
"dme00500","path:dme00500",0.00744411515306369,0.997255621408578,19,35,0.0807735524017958,"Starch and sucrose metabolism"
"dme00052","path:dme00052",0.00763488230599853,0.997018572686483,21,39,0.0807735524017958,"Galactose metabolism"
"dme00010","path:dme00010",0.00832071201340429,0.996148038513388,28,57,0.0807735524017958,"Glycolysis / Gluconeogenesis"
"dme01230","path:dme01230",0.00859293110657403,0.995705687765263,33,70,0.0807735524017958,"Biosynthesis of amino acids"
"dme03420","path:dme03420",0.0150764929416862,0.993035267598003,24,49,0.13286159404861,"Nucleotide excision repair"
"dme00310","path:dme00310",0.0212883884942109,0.990929602573873,18,37,0.176568398687278,"Lysine degradation"
"dme01210","path:dme01210",0.0265304639768708,0.990961460338893,12,22,0.201049249257275,"2-Oxocarboxylic acid metabolism"
"dme03440","path:dme03440",0.0270917428077179,0.990090046834244,13,25,0.201049249257275,"Homologous recombination"
"dme00100","path:dme00100",0.0468936920655798,0.992833452555244,5,7,0.330600529062337,"Steroid biosynthesis"
"dme00630","path:dme00630",0.0624396083849296,0.970203287527707,16,34,0.419237370584527,"Glyoxylate and dicarboxylate metabolism"
"dme03083","path:dme03083",0.0787480868267397,0.954652212888237,23,56,0.456199459163723,"Polycomb repressive complex"
"dme00480","path:dme00480",0.0804759340283929,0.948950226790787,33,80,0.456199459163723,"Glutathione metabolism"
"dme00230","path:dme00230",0.0814016298519051,0.946822416056134,36,93,0.456199459163723,"Purine metabolism"
"dme00440","path:dme00440",0.0818400913621198,0.986578303556767,4,6,0.456199459163723,"Phosphonate and phosphinate metabolism"
"dme00515","path:dme00515",0.0841218860869277,0.991856276043175,3,4,0.456199459163723,"Mannose type O-glycan biosynthesis"
"dme00260","path:dme00260",0.0874874064154594,0.959627549514018,13,27,0.456878677947399,"Glycine, serine and threonine metabolism"
