Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Curve Quality,Result Quality Issues
A1,false,GR1 5,IDGF6 PRIMER,Unknown,SYBR,18.774163756789413,0.9404410552468248,2.5896183097252092,Amp,false,10294.277171941589,3,13,87.81256103515625,,,,
A2,false,GR1 5,IDGF6 PRIMER,Unknown,SYBR,18.425154548659954,0.9804680966699638,2.577158161476412,Amp,false,10294.277171941589,3,12,87.81256103515625,,,,
A3,false,GR1 5,IDGF6 PRIMER,Unknown,SYBR,18.558273600524444,0.9691757642347731,2.565342503927587,Amp,false,10294.277171941589,3,13,87.81455993652344,,,,
A4,false,GR2 5,IDGF6 PRIMER,Unknown,SYBR,20.436466367900984,0.9856857695144128,2.603131859869178,Amp,false,10294.277171941589,3,14,87.81455993652344,,,,
A5,false,GR2 5,IDGF6 PRIMER,Unknown,SYBR,20.59250346926001,0.9891164196276893,2.608474640427235,Amp,false,10294.277171941589,3,16,88.11112976074219,,,,
A6,false,GR2 5,IDGF6 PRIMER,Unknown,SYBR,20.443763240265348,0.9939683174753001,2.5955235954471205,Amp,false,10294.277171941589,3,14,87.95320129394531,,,,
A7,true,GR3 5,IDGF6 PRIMER,Unknown,SYBR,33.187167705109104,0.6631900120717666,2.102067996364341,No Amp,false,10294.277171941589,3,17,90.4880142211914,81.16815185546875,77.06108856201172,,
A8,false,GR3 5,IDGF6 PRIMER,Unknown,SYBR,19.876154170293304,0.954610572724615,2.5852470114041814,Amp,false,10294.277171941589,3,14,88.11856079101562,,,,
A9,false,GR3 5,IDGF6 PRIMER,Unknown,SYBR,19.773616229003586,0.9822687793622614,2.5958534574959877,Amp,false,10294.277171941589,3,12,87.98072814941406,,,,
B1,false,GR1 2.5,IDGF6 PRIMER,Unknown,SYBR,19.424201748680176,0.9748419044921319,2.588931511165958,Amp,false,10294.277171941589,3,12,87.81256103515625,,,,
B2,false,GR1 2.5,IDGF6 PRIMER,Unknown,SYBR,19.124788724872012,0.9852146074504335,2.5838147781492586,Amp,false,10294.277171941589,3,13,87.81256103515625,,,,
B3,false,GR1 2.5,IDGF6 PRIMER,Unknown,SYBR,18.97903650953434,0.991425788028153,2.569316786789977,Amp,false,10294.277171941589,3,13,87.81455993652344,,,,
B4,false,GR2 2.5,IDGF6 PRIMER,Unknown,SYBR,20.940220890844188,0.990033088538956,2.5731736180262925,Amp,false,10294.277171941589,3,15,87.81455993652344,,,,
B5,false,GR2 2.5,IDGF6 PRIMER,Unknown,SYBR,20.927622697366616,0.9840144325289036,2.587924728556052,Amp,false,10294.277171941589,3,16,87.7952880859375,,,,
B6,false,GR2 2.5,IDGF6 PRIMER,Unknown,SYBR,21.176222937542512,0.9746469144344038,2.5806363896415974,Amp,false,10294.277171941589,3,14,88.11112976074219,,,,
B7,false,GR3 2.5,IDGF6 PRIMER,Unknown,SYBR,20.5725425370526,0.985205000400368,2.58172149717492,Amp,false,10294.277171941589,3,14,87.9605941772461,,,,
B8,false,GR3 2.5,IDGF6 PRIMER,Unknown,SYBR,20.58699096282021,0.9912163341313093,2.5835745203650426,Amp,false,10294.277171941589,3,13,87.9605941772461,,,,
B9,false,GR3 2.5,IDGF6 PRIMER,Unknown,SYBR,20.51755358022222,0.9871440985830556,2.583429720431463,Amp,false,10294.277171941589,3,14,87.8226547241211,,,,
C1,false,WT1 5,IDGF6 PRIMER,Unknown,SYBR,18.41393848148649,0.9825915688404573,2.587450078966316,Amp,false,10294.277171941589,3,12,87.654541015625,,,,
C2,false,WT1 5,IDGF6 PRIMER,Unknown,SYBR,18.254299625441043,0.9779057351002246,2.586928558321247,Amp,false,10294.277171941589,3,11,87.654541015625,,,,
C3,false,WT1 5,IDGF6 PRIMER,Unknown,SYBR,18.482731284838685,0.9879491354831045,2.5673166343704237,Amp,false,10294.277171941589,3,12,87.49848937988281,,,,
C4,false,WT2 5,IDGF6 PRIMER,Unknown,SYBR,18.9637141543502,0.9834582154676158,2.5596662019194945,Amp,false,10294.277171941589,3,13,87.49848937988281,,,,
C5,false,WT2 5,IDGF6 PRIMER,Unknown,SYBR,19.10274776297124,0.982728252180656,2.586552711363323,Amp,false,10294.277171941589,3,13,87.63735961914062,,,,
C6,false,WT2 5,IDGF6 PRIMER,Unknown,SYBR,19.282489273016438,0.9841066146468341,2.5120871460273393,Amp,false,10294.277171941589,3,12,87.47943878173828,,,,
C7,false,WT3 5,IDGF6 PRIMER,Unknown,SYBR,20.57060151923595,0.9904319510592915,2.588106727522339,Amp,false,10294.277171941589,3,15,87.80262756347656,,,,
C8,false,WT3 5,IDGF6 PRIMER,Unknown,SYBR,20.623210333290153,0.9765849728341958,2.5818157463588602,Amp,false,10294.277171941589,3,14,87.9605941772461,,,,
C9,false,WT3 5,IDGF6 PRIMER,Unknown,SYBR,20.660318183394274,0.9838037460576162,2.586738286958887,Amp,false,10294.277171941589,3,16,87.8226547241211,,,,
D1,false,WT1 2.5,IDGF6 PRIMER,Unknown,SYBR,18.9766928365257,0.9708132368275817,2.420382761254542,Amp,false,10294.277171941589,3,12,87.18048095703125,,,,
D2,false,WT1 2.5,IDGF6 PRIMER,Unknown,SYBR,18.92416410762008,0.9835547413878584,2.567334053309246,Amp,false,10294.277171941589,3,13,87.654541015625,,,,
D3,false,WT1 2.5,IDGF6 PRIMER,Unknown,SYBR,19.136538438248394,0.979396263608453,2.5820695941760987,Amp,false,10294.277171941589,3,13,87.65652465820312,,,,
D4,false,WT2 2.5,IDGF6 PRIMER,Unknown,SYBR,19.778381727076642,0.9869511754905842,2.574791975768925,Amp,false,10294.277171941589,3,13,87.65652465820312,,,,
D5,false,WT2 2.5,IDGF6 PRIMER,Unknown,SYBR,19.57878276699843,0.9856320519198801,2.5615329190541365,Amp,false,10294.277171941589,3,11,87.63735961914062,,,,
D6,false,WT2 2.5,IDGF6 PRIMER,Unknown,SYBR,19.641073324620997,0.9882376173564725,2.577328579639174,Amp,false,10294.277171941589,3,13,87.7952880859375,,,,
D7,false,WT3 2.5,IDGF6 PRIMER,Unknown,SYBR,20.983885802637396,0.9945642707700492,2.581900600815345,Amp,false,10294.277171941589,3,13,87.80262756347656,,,,
D8,false,WT3 2.5,IDGF6 PRIMER,Unknown,SYBR,20.965585428184518,0.9928183697406651,2.5818873721253968,Amp,false,10294.277171941589,3,14,87.9605941772461,,,,
D9,false,WT3 2.5,IDGF6 PRIMER,Unknown,SYBR,21.598939035302557,0.9862374672821552,2.592011221474049,Amp,false,10294.277171941589,3,14,87.8226547241211,,,,
E1,false,KD1 5,IDGF6 PRIMER,Unknown,SYBR,21.527137249389867,0.9896421391124387,2.593027055858136,Amp,false,10294.277171941589,3,15,87.3385009765625,,,,
E2,false,KD1 5,IDGF6 PRIMER,Unknown,SYBR,21.486776675107663,0.9772450706766507,2.597421226825885,Amp,false,10294.277171941589,3,15,87.3385009765625,,,,
E3,false,KD1 5,IDGF6 PRIMER,Unknown,SYBR,21.578039380605468,0.9836887660834277,2.5898172709717118,Amp,false,10294.277171941589,3,14,87.34046173095703,,,,
E4,false,KD2 5,IDGF6 PRIMER,Unknown,SYBR,21.109923097092974,0.9854618312755433,2.5609315762416394,Amp,false,10294.277171941589,3,14,87.49848937988281,,,,
E5,false,KD2 5,IDGF6 PRIMER,Unknown,SYBR,21.519094457111898,0.9768495289539751,2.5066006669453693,Amp,false,10294.277171941589,3,14,87.63735961914062,,,,
E6,false,KD2 5,IDGF6 PRIMER,Unknown,SYBR,21.375492417840498,0.9901977605436827,2.5394221413328992,Amp,false,10294.277171941589,3,14,87.7952880859375,,,,
E7,false,KD3 5,IDGF6 PRIMER,Unknown,SYBR,22.239788585306755,0.983552816114222,2.5730742811966296,Amp,false,10294.277171941589,3,15,87.80262756347656,,,,
E8,false,KD3 5,IDGF6 PRIMER,Unknown,SYBR,22.21404113354513,0.9825320379617274,2.5786981596616148,Amp,false,10294.277171941589,3,16,87.80262756347656,,,,
E9,false,KD3 5,IDGF6 PRIMER,Unknown,SYBR,22.468438424340135,0.9239096102809763,2.5811134014560033,Amp,false,10294.277171941589,3,16,87.50650024414062,,,,
F1,false,KD1 2.5,IDGF6 PRIMER,Unknown,SYBR,22.169427064735892,0.9901655084747005,2.6189979660004794,Amp,false,10294.277171941589,3,15,87.49652099609375,,,,
F2,false,KD1 2.5,IDGF6 PRIMER,Unknown,SYBR,22.23668492497748,0.9924263251511737,2.6060221226243545,Amp,false,10294.277171941589,3,16,87.3385009765625,,,,
F3,false,KD1 2.5,IDGF6 PRIMER,Unknown,SYBR,22.346568673058066,0.9886511415801067,2.588771451239944,Amp,false,10294.277171941589,3,15,87.65652465820312,,,,
F4,false,KD2 2.5,IDGF6 PRIMER,Unknown,SYBR,21.889185951099968,0.9884109765197455,2.5890731286124775,Amp,false,10294.277171941589,3,13,87.65652465820312,,,,
F5,false,KD2 2.5,IDGF6 PRIMER,Unknown,SYBR,21.801077500517074,0.992262982069317,2.59656058095809,Amp,false,10294.277171941589,3,13,87.7952880859375,,,,
F6,false,KD2 2.5,IDGF6 PRIMER,Unknown,SYBR,22.108459631825873,0.9882587841530844,2.5485472880418136,Amp,false,10294.277171941589,3,16,87.7952880859375,,,,
