Well,Omit,Sample,Target,Task,Dyes,Cq,Cq Conf,Amp Score,Amp Status,Annotated,Threshold,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Curve Quality,Result Quality Issues
A1,false,GR1 (5ng),RP49,Unknown,SYBR,15.842111425981248,0.9892475942368436,1.5015436074969015,Amp,false,0.42262132729843505,3,10,86.07874298095703,,,,,
A2,false,GR1 (5ng),RP49,Unknown,SYBR,15.761335742354305,0.9726426832073622,1.4971363060214653,Amp,false,0.42262132729843505,3,10,86.07874298095703,,,,,
A3,false,GR1 (5ng),RP49,Unknown,SYBR,15.624916160996577,0.9802036794816473,1.5101564167332129,Amp,false,0.42262132729843505,3,10,86.07781982421875,,,,,
A4,false,GR2 (5ng),RP49,Unknown,SYBR,16.04006335472991,0.9813623583174661,1.5203894052681883,Amp,false,0.42262132729843505,3,11,86.07781982421875,,,,,
A5,false,GR2 (5ng),RP49,Unknown,SYBR,16.02603576270726,0.9777752150107092,1.5158773318140453,Amp,false,0.42262132729843505,3,10,86.06256866455078,,,,,
A6,false,GR2 (5ng),RP49,Unknown,SYBR,37.08718067249948,0.21292197508345648,0.8338863138387189,No Amp,false,0.42262132729843505,3,17,84.64104461669922,,,,,
A7,false,GR3 (5ng),RP49,Unknown,SYBR,Undetermined,0,0.6842811467191474,No Amp,false,0.42262132729843505,3,16,84.33146667480469,,,,,
A8,false,GR3 (5ng),RP49,Unknown,SYBR,15.955068520815054,0.9792144948682332,1.501029821869156,Amp,false,0.42262132729843505,3,10,86.22734832763672,,,,,
A9,false,GR3 (5ng),RP49,Unknown,SYBR,15.76249694891288,0.9827117790831456,1.5190454579490007,Amp,false,0.42262132729843505,3,10,86.08702850341797,,,,,
B1,false,WT1 (5ng),RP49,Unknown,SYBR,15.688709832521422,0.985969760356354,1.507845627349611,Amp,false,0.42262132729843505,3,10,86.07874298095703,,,,,
B2,false,WT1 (5ng),RP49,Unknown,SYBR,15.653048017772868,0.9772805443596323,1.5021533033699979,Amp,false,0.42262132729843505,3,10,85.92070007324219,,,,,
B3,false,WT1 (5ng),RP49,Unknown,SYBR,15.475156604846475,0.9784556571437469,1.5229651018171437,Amp,false,0.42262132729843505,3,10,85.91978454589844,,,,,
B4,false,WT2 (5ng),RP49,Unknown,SYBR,15.785567346517766,0.9780272731394373,1.5215506781207324,Amp,false,0.42262132729843505,3,10,86.07781982421875,,,,,
B5,false,WT2 (5ng),RP49,Unknown,SYBR,15.574154477472202,0.9792444199135492,1.524776767100686,Amp,false,0.42262132729843505,3,10,86.06256866455078,,,,,
B6,false,WT2 (5ng),RP49,Unknown,SYBR,15.87271627690593,0.9814118826697111,1.5032556511676134,Amp,false,0.42262132729843505,3,10,86.06256866455078,,,,,
B7,false,WT3 (5ng),RP49,Unknown,SYBR,15.90497655763712,0.9720879534959622,1.5250332545640395,Amp,false,0.42262132729843505,3,10,86.22734832763672,,,,,
B8,false,WT3 (5ng),RP49,Unknown,SYBR,15.880961810583344,0.9872948406052452,1.5271783271456811,Amp,false,0.42262132729843505,3,10,86.22734832763672,,,,,
B9,false,WT3 (5ng),RP49,Unknown,SYBR,15.572007763027965,0.982239946963421,1.5297785972859954,Amp,false,0.42262132729843505,3,9,86.08702850341797,,,,,
C1,false,KD1 (5ng),RP49,Unknown,SYBR,16.65026444155513,0.9771626733498842,1.5202682776750553,Amp,false,0.42262132729843505,3,11,85.92070007324219,,,,,
C2,false,KD1 (5ng),RP49,Unknown,SYBR,16.724492034146643,0.9736532922689515,1.5230961743003992,Amp,false,0.42262132729843505,3,10,85.92070007324219,,,,,
C3,false,KD1 (5ng),RP49,Unknown,SYBR,16.56055642280524,0.9858763912622979,1.527396528061009,Amp,false,0.42262132729843505,3,10,85.91978454589844,,,,,
C4,false,KD2 (5ng),RP49,Unknown,SYBR,16.78584722814444,0.9841762783844956,1.5286259598747758,Amp,false,0.42262132729843505,3,11,85.91978454589844,,,,,
C5,false,KD2 (5ng),RP49,Unknown,SYBR,16.606928432048853,0.9745985588716745,1.5317814813375046,Amp,false,0.42262132729843505,3,11,86.06256866455078,,,,,
C6,false,KD2 (5ng),RP49,Unknown,SYBR,16.51697876202033,0.9742755867418086,1.5286745993226318,Amp,false,0.42262132729843505,3,10,86.06256866455078,,,,,
C7,false,KD3 (5ng),RP49,Unknown,SYBR,16.07672161482592,0.9755652652643282,1.5276475370604459,Amp,false,0.42262132729843505,3,9,86.0693588256836,,,,,
