Well Position,Sample,Genotype,Plate,Biological replicate,Technical replicate,Concentration ,Primer,Cq,Cq Mean,Cq Confidence,Cq SD,Efficiency,Censor,Comments
A1,GR1 (5ng),G85R,A,1,1,5,PCB,22.54340273,22.52376074,0.967410159,0.050800824,no,no,
A2,GR1 (5ng),G85R,A,1,2,5,PCB,22.56180799,22.52376074,0.972848394,0.050800824,no,no,
A3,GR1 (5ng),G85R,A,1,3,5,PCB,22.46607151,22.52376074,0.979204459,0.050800824,no,no,
A4,GR2 (5ng),G85R,A,2,1,5,PCB,22.45783934,22.67430419,0.978657063,0.192408408,no,no,
A5,GR2 (5ng),G85R,A,2,2,5,PCB,22.73919815,22.67430419,0.986720935,0.192408408,no,no,
A6,GR2 (5ng),G85R,A,2,3,5,PCB,22.82587508,22.67430419,0.989486416,0.192408408,no,no,
A7,GR3 (5ng),G85R,A,3,1,5,PCB,22.50744225,22.28669332,0.986870988,0.192254387,no,no,
A8,GR3 (5ng),G85R,A,3,2,5,PCB,22.19667029,22.28669332,0.985834855,0.192254387,no,no,
A9,GR3 (5ng),G85R,A,3,3,5,PCB,22.15596742,22.28669332,0.971814049,0.192254387,no,no,
A10,Idgf6 RNAI 1 (5ng),"221> Idgf6 RNAi, G85R",A,1,1,5,LDH,UNDETERMINED,21.11453451,0,0.015278706,no,yes,flat melt curve (? no sample?)
A11,Idgf6 RNAI 1 (5ng),"221> Idgf6 RNAi, G85R",A,1,2,5,LDH,21.10373083,21.11453451,0.982022647,0.015278706,no,no,
A12,Idgf6 RNAI 1 (5ng),"221> Idgf6 RNAi, G85R",A,1,3,5,LDH,21.12533819,21.11453451,0.98130218,0.015278706,no,no,
B1,GR1 (5ng),G85R,A,1,1,5,PDH,23.89690506,23.82644109,0.982988885,0.108308042,no,no,
B2,GR1 (5ng),G85R,A,1,2,5,PDH,23.88068957,23.82644109,0.983036207,0.108308042,no,no,
B3,GR1 (5ng),G85R,A,1,3,5,PDH,23.70172864,23.82644109,0.979703522,0.108308042,no,no,
