from,to,FBgn
Ccs,Arc1,FBgn0033926
Ccs,Art8,FBgn0032329
Ccs,BthD,FBgn0030501
Ccs,CG1105,FBgn0037465
Ccs,Gmppb,FBgn0037279
Ccs,CG11777,FBgn0033527
Ccs,Hpf1,FBgn0037377
Ccs,CG1532,FBgn0031143
Ccs,CG18081,FBgn0036537
Ccs,CG18787,FBgn0042125
Ccs,CG18789,FBgn0042127
Ccs,Yod1,FBgn0035593
Ccs,CG6432,FBgn0039184
Ccs,CG7049,FBgn0035102
Ccs,dos,FBgn0016794
Ccs,gish,FBgn0250823
Ccs,Got1,FBgn0001124
Ccs,Hsf,FBgn0001222
Ccs,GJ20676,FBgn0261296
Ccs,RpS21,FBgn0015521
Ccs,SdhA,FBgn0261439
Ccs,Tom20,FBgn0036928
Ccs,Treh,FBgn0003748
Ccs,Trx2,FBgn0040070
Ccs,Wdr82,FBgn0032030
Ccs,Zasp52,FBgn0265991
Arc1,Arc1,FBgn0033926
Arc1,Arc2,FBgn0033928
Arc1,Art8,FBgn0032329
Arc1,BthD,FBgn0030501
Arc1,Ccs,FBgn0010531
Arc1,Gmppb,FBgn0037279
Arc1,CG11777,FBgn0033527
Arc1,Hpf1,FBgn0037377
Arc1,CG1532,FBgn0031143
Arc1,CG15739,FBgn0030347
Arc1,CG18787,FBgn0042125
Arc1,CG18789,FBgn0042127
Arc1,CG34382,FBgn0085411
Arc1,CG7049,FBgn0035102
Arc1,cnk,FBgn0286070
Arc1,Cpr64Ad,FBgn0035513
Arc1,Myc,FBgn0262656
Arc1,Doc2,FBgn0035956
Arc1,Got1,FBgn0001124
Arc1,Raf,FBgn0003079
Arc1,Ras85D,FBgn0003205
Arc1,RpS21,FBgn0015521
Arc1,sau,FBgn0267378
Arc1,S6kII,FBgn0262866
Arc1,sob,FBgn0004892
Arc1,Src42A,FBgn0264959
Arc1,Treh,FBgn0003748
Arc1,Trx2,FBgn0040070
Arc1,Tsc1,FBgn0026317
Arc1,Wdr82,FBgn0032030
Sod1,AnxB10,FBgn0000084
Sod1,Art8,FBgn0032329
Sod1,awd,FBgn0000150
Sod1,CG10214,FBgn0039115
Sod1,CG10638,FBgn0036290
Sod1,Sgsh,FBgn0038660
Sod1,CG14715,FBgn0037930
Sod1,CG1532,FBgn0031143
Sod1,CG2852,FBgn0034753
Sod1,HINT1,FBgn0031459
Sod1,YME1L,FBgn0034792
Sod1,Adck1,FBgn0035039
Sod1,CG3630,FBgn0023540
Sod1,CG4278,FBgn0014092
Sod1,CG4570,FBgn0037844
Sod1,sstn,FBgn0036476
Sod1,CG7492,FBgn0035807
Sod1,CG7737,FBgn0033584
Sod1,CG8993,FBgn0035334
Sod1,Chd64,FBgn0035499
Sod1,cib,FBgn0026084
Sod1,Cln3,FBgn0036756
Sod1,P{clos.15.8},FBtp0055341
Sod1,Cyp1,FBgn0004432
Sod1,Df31,FBgn0022893
Sod1,Dredd,FBgn0020381
Sod1,DUBAI,FBgn0033738
Sod1,Eno,FBgn0000579
Sod1,fabp,FBgn0037913
Sod1,Fadd,FBgn0038928
Sod1,Fkbp12,FBgn0013954
Sod1,Got1,FBgn0001124
Sod1,Diap2,FBgn0015247
Sod1,imd,FBgn0013983
Sod1,IKKβ,FBgn0024222
Sod1,key,FBgn0041205
Sod1,Marf,FBgn0029870
Sod1,mtSSB,FBgn0010438
Sod1,Nlp,FBgn0016685
Sod1,Ntf-2,FBgn0031145
Sod1,P32,FBgn0034259
Sod1,park,FBgn0041100
Sod1,Pdi,FBgn0286818
Sod1,PGRP-LC,FBgn0035976
Sod1,PGRP-LE,FBgn0030695
Sod1,Pink1,FBgn0029891
Sod1,regucalcin,FBgn0030362
Sod1,Rel,FBgn0014018
Sod1,RpS21,FBgn0015521
Sod1,Sh3beta,FBgn0035772
Sod1,Smn,FBgn0036641
Sod1,Sumo,FBgn0264922
Sod1,Sod1,FBgn0003462
Sod1,Sod2,FBgn0010213
Sod1,Tab2,FBgn0086358
Sod1,Taf5,FBgn0010356
Sod1,Tak1,FBgn0026323
Sod1,Tango2,FBgn0030503
Sod1,Treh,FBgn0003748
Sod1,Trx2,FBgn0040070
Sod1,Trxr1,FBgn0020653
Sod1,Vap33,FBgn0029687
Sod1,Wwox,FBgn0031972
Sod1,Zpr1,FBgn0030096
