FBgn0000394,cv
FBgn0000395,cv-2
FBgn0000490,dpp
FBgn0001079,fu
FBgn0001942,eIF4A
FBgn0001987,Gli
FBgn0003169,put
FBgn0003317,sax
FBgn0003396,shn
FBgn0003463,sog
FBgn0003716,tkv
FBgn0003719,tld
FBgn0003865,tsg
FBgn0004885,tok
FBgn0005590,scw
FBgn0005632,faf
FBgn0011648,Mad
FBgn0015754,Lis-1
FBgn0020493,Dad
FBgn0024179,wit
FBgn0024234,gbb
FBgn0024250,brk
FBgn0024734,PRL-1
FBgn0027539,lili
FBgn0028582,lqf
FBgn0029006,Smurf
FBgn0029067,Dd
FBgn0030600,hiw
FBgn0031016,kek5
FBgn0031030,Tao
FBgn0032451,spict
FBgn0032956,Cul2
FBgn0033050,Pngl
FBgn0034962,MAN1
FBgn0036570,IntS9
FBgn0036741,anchor
FBgn0037015,cmpy
FBgn0037265,spartin
FBgn0038168,omd
FBgn0039914,mav
FBgn0039932,fuss
FBgn0043364,cbt
FBgn0050418,nord
FBgn0061469,Ube3a
FBgn0085450,Snoo
FBgn0086676,spin
FBgn0259878,Fs
FBgn0261952,srw
FBgn0262169,magu
FBgn0262249,mir-958
FBgn0262451,mir-ban
FBgn0263593,Lpin
FBgn0263930,dally
FBgn0265048,cv-d
FBgn0266420,Ote
FBgn0268063,ltl
FBgn0288966,Med
FBgn0289323,IntS8
FBgn0031461,daw
FBgn0024913,actb
FBgn0026199,myo
FBgn0011300,babo
FBgn0025800,smox
FBgn0024277,trio
