#submitted_item,validated_id,current_symbol
RanGEF (Rcc1),FBgn0002638,Rcc1
KPT-27,unknown ID,-
purb,unknown ID,-
CG32165,FBgn0042178,Apl
Ranbp11,FBgn0284254,Impβ11
Trn,FBgn0010452,trn
RanGap,FBgn0003346,RanGAP
Fbx011,FBgn0037760,FBXO11
Crm1,FBgn0020497,emb
CG14749,FBgn0033316,Gle1
kap-alpha3,unknown ID,-
Tm,FBgn0003721,Tm1
I(1)G0045,unknown ID,-
CG11660,FBgn0036187,RIOK1
CG7338,FBgn0037073,Tsr1
CG11107,FBgn0033160,Dhx15
CG7971,FBgn0035253,Srrm234
SRm160,FBgn0036340,Srrm1
I(3)72Ab,unknown ID,-
nonA-I,unknown ID,-
I(2)37Cc,unknown ID,-
CG5525,FBgn0032444,CCT4
Cas,FBgn0004878,cas
CG8334,FBgn0036913,Usp32
I(2)03709,unknown ID,-
CG11148,FBgn0039936,Gyf
pcl,FBgn0003044,Pcl
CG42666,FBgn0283741,prage
nAcRalpha-7E,FBgn0015519,nAChRα3
CG42683,FBgn0265595,CG44422
Tao-1,FBgn0031030,Tao
CG14222,FBgn0031043,Naa20A
Sema-1a,FBgn0011259,Sema1a
CG9267,FBgn0032524,Hacd2
Galpha49B,FBgn0004435,Gαq
mos,FBgn0033773,Mos
CG3814,FBgn0025692,Lfg
nsyb,FBgn0013342,nSyb
CG12082,FBgn0035402,Usp5
nAcRbeta-64B,FBgn0000038,nAChRβ1
CG8368,FBgn0286051,Rexo5
CG7526,FBgn0035798,frac
exo70,FBgn0266667,Exo70
nAcRalpha-80B,FBgn0266347,nAChRα4
Tcp-1eta,FBgn0037632,CCT7
Pgm,FBgn0003076,Pgm1
l(2)tid,FBgn0002174,CG5504
