Genotype,BioRep,Primer,Average dCt
OK371>,1,atf4,4.0157
OK371>,2,atf4,4.4895
OK371>,3,atf4,4.4895
OK371>,4,atf4,4.5882
OK371>atf6[c05075],3,atf4,4.0047
OK371>atf6RNAi,2,atf4,3.7954
OK371>G4C2,1,atf4,4.4486
OK371>TBPH,4,atf4,4.3752
OK371>,2,atf6,4.9934
OK371>,3,atf6,4.9934
OK371>,4,atf6,5.9457
OK371>,1,atf6,6.2832
OK371>atf6[c05075],3,atf6,5.0337
OK371>atf6RNAi,2,atf6,4.9275
OK371>G4C2,1,atf6,6.4384
OK371>TBPH,4,atf6,4.0026
OK371>,1,vap33,4.4444
OK371>,2,vap33,6.3768
OK371>,3,vap33,6.3768
OK371>,4,vap33,6.5886
OK371>atf6[c05075],3,vap33,5.3849
OK371>atf6RNAi,2,vap33,5.6515
OK371>G4C2,1,vap33,5.066
OK371>TBPH,4,vap33,6.341
OK371>,1,xbp1,9.3221
OK371>,4,xbp1,9.7138
OK371>,2,xbp1,10.2929
OK371>,3,xbp1,10.2929
OK371>atf6[c05075],3,xbp1,9.1233
OK371>atf6RNAi,2,xbp1,8.8661
OK371>G4C2,1,xbp1,10.2484
OK371>TBPH,4,xbp1,6.6582
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
