Genotype,Concentration,Primer,Cq Mean,Cq - Rp49 Cq
OK371>,5,vap33,21.3799,4.2382
OK371>,5,vap33,21.4109,4.2538
OK371>,5,vap33,21.3682,4.1505
OK371>,5,atf4,20.2298,3.0881
OK371>,5,atf4,20.196,3.0389
OK371>,5,atf4,20.282,3.0642
OK371>,5,atf6,23.0121,5.8704
OK371>,5,atf6,22.9353,5.7782
OK371>,5,atf6,22.9483,5.7306
OK371>,5,xbp1,26.7392,9.5975
OK371>,5,xbp1,24.0724,6.9153
OK371>,5,xbp1,24.1503,6.9326
OK371>,5,Rp49,17.1417,
OK371>,5,Rp49,17.1571,
OK371>,5,Rp49,17.2177,
OK371>G4C2,5,vap33,24.5628,6.2028
OK371>G4C2,5,vap33,24.487,6.1682
OK371>G4C2,5,vap33,24.4584,6.2415
OK371>G4C2,5,atf4,23.1966,4.8366
OK371>G4C2,5,atf4,23.2227,4.904
OK371>G4C2,5,atf4,23.0782,4.8613
OK371>G4C2,5,atf6,24.0724,5.7124
OK371>G4C2,5,atf6,23.9842,5.6654
OK371>G4C2,5,atf6,24.0049,5.788
OK371>G4C2,5,xbp1,27.327,8.967
OK371>G4C2,5,xbp1,27.1042,8.7854
OK371>G4C2,5,xbp1,27.3778,9.1609
OK371>G4C2,5,Rp49,18.36,
OK371>G4C2,5,Rp49,18.3188,
OK371>G4C2,5,Rp49,18.2169,
OK371>G4C2,10,vap33,20.7287,4.449
OK371>G4C2,10,vap33,20.5926,4.3039
OK371>G4C2,10,vap33,20.6857,4.4633
OK371>G4C2,10,atf4,19.3788,3.0991
OK371>G4C2,10,atf4,19.1072,2.8185
OK371>G4C2,10,atf4,19.4795,3.2571
OK371>G4C2,10,atf6,20.8913,4.6116
OK371>G4C2,10,atf6,20.8509,4.5622
OK371>G4C2,10,atf6,22.0646,5.8422
OK371>G4C2,10,xbp1,23.1659,6.8861
OK371>G4C2,10,xbp1,22.2274,5.9386
OK371>G4C2,10,xbp1,23.289,7.0666
OK371>G4C2,10,Rp49,16.2798,
OK371>G4C2,10,Rp49,16.2887,
OK371>G4C2,10,Rp49,16.2224,
OK371>G4C2,2.5,vap33,22.5007,4.4831
OK371>G4C2,2.5,vap33,22.3413,4.1039
OK371>G4C2,2.5,vap33,22.431,4.4395
OK371>G4C2,2.5,atf4,21.1606,3.143
OK371>G4C2,2.5,atf4,21.2672,3.0297
OK371>G4C2,2.5,atf4,21.5995,3.608
OK371>G4C2,2.5,atf6,23.9386,5.9209
OK371>G4C2,2.5,atf6,23.8812,5.6437
OK371>G4C2,2.5,atf6,24.1906,6.1991
OK371>G4C2,2.5,xbp1,24.7328,6.7151
OK371>G4C2,2.5,xbp1,24.7929,6.5555
OK371>G4C2,2.5,xbp1,24.6766,6.6851
OK371>G4C2,2.5,Rp49,18.0176,
OK371>G4C2,2.5,Rp49,18.2375,
OK371>G4C2,2.5,Rp49,17.9915,
