"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0030527","GO:0030527",9.13962999469227e-71,1,112,114,"structural constituent of chromatin","MF",1.0617508164834e-66
"GO:0000786","GO:0000786",2.82007890576764e-69,1,112,115,"nucleosome","CC",1.63804283241513e-65
"GO:0044815","GO:0044815",5.07489183145305e-56,1,117,137,"DNA packaging complex","CC",1.96516728019967e-52
"GO:0032993","GO:0032993",2.49372756543406e-55,1,117,138,"protein-DNA complex","CC",7.24240828191186e-52
"GO:0006334","GO:0006334",9.92041168859936e-50,1,89,96,"nucleosome assembly","BP",2.30490845172918e-46
"GO:0034728","GO:0034728",1.276389734053e-40,1,93,115,"nucleosome organization","BP",2.47130325674895e-37
"GO:0065004","GO:0065004",2.0422063589073e-32,1,96,138,"protein-DNA complex assembly","BP",3.38918732448945e-29
"GO:0035059","GO:0035059",4.13677539471663e-30,1,45,45,"RCAF complex","CC",6.00711497005288e-27
"GO:0071824","GO:0071824",3.18263675809317e-29,1,103,163,"protein-DNA complex subunit organization","BP",4.10807680208537e-26
"GO:0006325","GO:0006325",1.54391425384837e-25,1,157,324,"chromatin organization","BP",1.79356518869565e-22
"GO:0046982","GO:0046982",1.99322805452042e-23,1,107,194,"protein heterodimerization activity","MF",2.10503002812397e-20
"GO:0006338","GO:0006338",3.11078164718783e-21,1,119,237,"chromatin remodeling","BP",3.01149586628175e-18
"GO:0000785","GO:0000785",2.00919952178773e-20,1,151,337,"chromatin","CC",1.79545160343139e-17
"GO:0031490","GO:0031490",5.74139201871586e-18,1,55,82,"chromatin DNA binding","MF",4.76412507724444e-15
"GO:0031492","GO:0031492",5.58520869593915e-17,1,27,28,"nucleosomal DNA binding","MF",4.32555796138167e-14
"GO:0031491","GO:0031491",6.28118977193937e-17,1,34,40,"nucleosome binding","MF",4.56053634878873e-14
"GO:0046983","GO:0046983",1.12157528110104e-14,1,131,316,"protein dimerization activity","MF",7.66431767091223e-12
"GO:0005694","GO:0005694",5.46156511026351e-11,1,194,572,"chromosome","CC",3.52483343810729e-08
"GO:0043933","GO:0043933",1.0008630562598e-10,1,198,591,"protein-containing complex organization","BP",6.11948743398426e-08
"GO:0065003","GO:0065003",1.32163009497578e-10,1,174,506,"protein-containing complex assembly","BP",7.67668840666684e-08
"GO:0003677","GO:0003677",2.31654057504246e-10,1,266,850,"DNA binding","MF",1.2814881838223e-07
"GO:0005198","GO:0005198",8.57017910147395e-10,1,190,577,"structural molecule activity","MF",4.52544411917377e-07
"GO:0005704","GO:0005704",1.58719616798707e-09,0.999999999877971,21,27,"polytene chromosome band","CC",8.01672081891558e-07
"GO:0004867","GO:0004867",3.94342863759122e-08,0.999999990415311,36,68,"serine-type endopeptidase inhibitor activity","MF",1.90878377012072e-05
"GO:0003682","GO:0003682",4.30143841510105e-08,1,84,219,"chromatin binding","MF",1.99879240272915e-05
"GO:0010525","GO:0010525",7.28776832893526e-08,0.99999999429074,17,22,"regulation of transposition, RNA-mediated","BP",3.02364302418718e-05
"GO:0010526","GO:0010526",7.28776832893526e-08,0.99999999429074,17,22,"negative regulation of transposition, RNA-mediated","BP",3.02364302418718e-05
"GO:0032197","GO:0032197",7.28776832893526e-08,0.99999999429074,17,22,"transposition, RNA-mediated","BP",3.02364302418718e-05
"GO:0032991","GO:0032991",1.664576323326e-07,1,624,2376,"protein-containing complex","CC",6.66806315450971e-05
"GO:0030414","GO:0030414",3.02270085671421e-07,0.99999991081198,39,81,"peptidase inhibitor activity","MF",0.000117049052841496
"GO:0004558","GO:0004558",3.25493569476775e-07,1,10,10,"alpha-1,4-glucosidase activity","MF",0.000118164337394115
"GO:0032450","GO:0032450",3.25493569476775e-07,1,10,10,"maltose alpha-glucosidase activity","MF",0.000118164337394115
"GO:0004866","GO:0004866",4.41820862403874e-07,0.999999869478022,38,79,"endopeptidase inhibitor activity","MF",0.000155534332077146
"GO:0061134","GO:0061134",6.80915760858099e-07,0.999999785352006,40,86,"peptidase regulator activity","MF",0.000232652893937898
"GO:0090599","GO:0090599",7.04738043039862e-07,0.999999983415051,11,12,"alpha-glucosidase activity","MF",0.000233912624171259
"GO:0061135","GO:0061135",9.7759930783232e-07,0.999999697298942,38,81,"endopeptidase regulator activity","MF",0.000315465865530224
"GO:0015926","GO:0015926",1.04179496230905e-06,0.999999936957066,13,16,"glucosidase activity","MF",0.00032709546154444
"GO:0006352","GO:0006352",2.01055635882643e-06,0.999999314257239,41,92,"DNA-templated transcription initiation","BP",0.000614648242644387
"GO:0031057","GO:0031057",3.42659979983801e-06,0.999999518213112,17,26,"negative regulation of histone modification","BP",0.00102068743268508
"GO:0005700","GO:0005700",3.64755929986744e-06,0.999998295575167,69,185,"polytene chromosome","CC",0.001059342409664
"GO:0044877","GO:0044877",6.13858483617209e-06,0.999996858307209,102,305,"protein-containing complex binding","MF",0.00173931561077588
"GO:0004857","GO:0004857",7.5396046598925e-06,0.999997030195699,46,112,"enzyme inhibitor activity","MF",0.00208541874604693
"GO:0022607","GO:0022607",1.87263282191345e-05,0.999986624287433,307,1112,"cellular component assembly","BP",0.00505915709120198
"GO:0010529","GO:0010529",3.28763770633866e-05,0.99999204164966,21,40,"negative regulation of transposition","BP",0.00868011073512186
"GO:0003676","GO:0003676",7.25047131623783e-05,0.99994341909007,468,1798,"nucleic acid binding","MF",0.01871749450683
"GO:0010528","GO:0010528",8.52593448298408e-05,0.999977205318352,21,42,"regulation of transposition","BP",0.0210735704018779
"GO:0032196","GO:0032196",8.52593448298408e-05,0.999977205318352,21,42,"transposition","BP",0.0210735704018779
"GO:0006998","GO:0006998",0.000103351960599362,0.999987939051614,11,16,"nuclear envelope organization","BP",0.0250133276308913
"GO:1904825","GO:1904825",0.000128922888772942,1,6,6,"protein localization to microtubule plus-end","BP",0.0299539439775054
