"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00500","path:dme00500",0.00353815508635769,0.998978622046016,13,29,0.498879867176435,"Starch and sucrose metabolism"
"dme04150","path:dme04150",0.0194527126917196,0.98954850069951,27,87,0.718470354051515,"mTOR signaling pathway"
"dme04213","path:dme04213",0.0247005194552934,0.988663898132221,17,50,0.718470354051515,"Longevity regulating pathway"
"dme00052","path:dme00052",0.0249664201399752,0.990454373692708,12,32,0.718470354051515,"Galactose metabolism"
"dme02010","path:dme02010",0.026455397870234,0.989791881019301,12,32,0.718470354051515,"ABC transporters"
"dme00564","path:dme00564",0.0305732065553836,0.985160365921419,18,55,0.718470354051515,"Glycerophospholipid metabolism"
"dme00534","path:dme00534",0.0415048815565852,0.991404699625842,5,10,0.836026899925502,"Glycosaminoglycan biosynthesis"
"dme04142","path:dme04142",0.0526028000690192,0.967313761877765,31,111,0.927124351216463,"Lysosome"
"dme00062","path:dme00062",0.0771048000253235,0.975805614621369,6,15,1,"Fatty acid elongation"
"dme00071","path:dme00071",0.167030151576353,0.916077806398426,9,30,1,"Fatty acid degradation"
"dme00360","path:dme00360",0.169193794894333,0.959451060970825,3,7,1,"Phenylalanine metabolism"
"dme04624","path:dme04624",0.17839905410826,0.881893940517362,21,81,1,"Toll and Imd signaling pathway"
"dme00190","path:dme00190",0.179900723332099,0.872655883091856,29,116,1,"Oxidative phosphorylation"
"dme00561","path:dme00561",0.183361495169365,0.895179513656288,12,43,1,"Glycerolipid metabolism"
"dme00400","path:dme00400",0.199392696472091,0.968052440893078,2,4,1,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"dme00515","path:dme00515",0.200502616905945,0.96775395050121,2,4,1,"Mannose type O-glycan biosynthesis"
"dme03015","path:dme03015",0.214544698387917,0.858466849555909,18,70,1,"mRNA surveillance pathway"
"dme00450","path:dme00450",0.229613574237767,0.932434278227345,3,8,1,"Selenocompound metabolism"
"dme00760","path:dme00760",0.237972794840068,0.910828726037944,4,12,1,"Nicotinate and nicotinamide metabolism"
"dme03018","path:dme03018",0.256896618246357,0.831693852211643,15,59,1,"RNA degradation"
"dme03040","path:dme03040",0.270637382554266,0.797110845529324,29,122,1,"Spliceosome"
"dme04320","path:dme04320",0.272564647063815,0.856190999282197,7,25,1,"Dorso-ventral axis formation"
"dme01212","path:dme01212",0.282585205685942,0.820922763042783,12,47,1,"Fatty acid metabolism"
"dme04141","path:dme04141",0.288366117517609,0.781762710170687,29,123,1,"Protein processing in endoplasmic reticulum"
"dme00590","path:dme00590",0.290334494688991,0.879226797275526,4,13,1,"Arachidonic acid metabolism"
"dme00532","path:dme00532",0.294230262750273,0.897785639082608,3,9,1,"Glycosaminoglycan biosynthesis"
"dme00280","path:dme00280",0.304354201949407,0.832890837288238,7,26,1,"Valine, leucine and isoleucine degradation"
"dme04512","path:dme04512",0.306995696649691,0.890829692856934,3,9,1,"ECM-receptor interaction"
"dme01040","path:dme01040",0.317306119179863,0.833025543039973,6,22,1,"Biosynthesis of unsaturated fatty acids"
"dme03050","path:dme03050",0.323084555119373,0.784143563252959,13,53,1,"Proteasome"
"dme00562","path:dme00562",0.32732162731296,0.789244106268043,11,44,1,"Inositol phosphate metabolism"
"dme04136","path:dme04136",0.331605554392143,0.835171946434933,5,18,1,"Autophagy"
"dme04144","path:dme04144",0.358404377939804,0.723401338340386,26,113,1,"Endocytosis"
"dme03250","path:dme03250",0.363525002374199,0.797851673206162,6,23,1,"Viral life cycle"
"dme00051","path:dme00051",0.379774664422042,0.773684483323579,7,28,1,"Fructose and mannose metabolism"
"dme04070","path:dme04070",0.398136496514601,0.715504506743858,14,60,1,"Phosphatidylinositol signaling system"
"dme04214","path:dme04214",0.398169368618125,0.715475363308152,14,60,1,"Apoptosis"
"dme04013","path:dme04013",0.403707654209077,0.695320528525024,19,83,1,"MAPK signaling pathway"
"dme00230","path:dme00230",0.408165197755839,0.688842207780419,20,88,1,"Purine metabolism"
"dme00520","path:dme00520",0.414919915623938,0.726697209762134,9,38,1,"Amino sugar and nucleotide sugar metabolism"
"dme00790","path:dme00790",0.415124951613373,0.726519905224897,9,38,1,"Folate biosynthesis"
"dme04080","path:dme04080",0.415365230383305,0.726312077858153,9,38,1,"Neuroactive ligand-receptor interaction"
"dme04120","path:dme04120",0.415971802856031,0.679419052180257,21,93,1,"Ubiquitin mediated proteolysis"
"dme00061","path:dme00061",0.422694633696165,0.8115392768759,3,11,1,"Fatty acid biosynthesis"
"dme00511","path:dme00511",0.424570385725663,0.762597793901104,5,20,1,"Other glycan degradation"
"dme04711","path:dme04711",0.426306485677407,0.808942254915505,3,11,1,"Circadian rhythm"
"dme04068","path:dme04068",0.455016808740346,0.672256520815655,12,53,1,"FoxO signaling pathway"
"dme00130","path:dme00130",0.455558069626951,0.831373309787331,2,7,1,"Ubiquinone and other terpenoid-quinone biosynthesis"
"dme00430","path:dme00430",0.457104571799777,0.830333947178711,2,7,1,"Taurine and hypotaurine metabolism"
"dme00340","path:dme00340",0.457337087883005,0.830177371239989,2,7,1,"Histidine metabolism"
"dme03020","path:dme03020",0.483485863071397,0.695452784173151,6,26,1,"RNA polymerase"
"dme00981","path:dme00981",0.483750609502334,0.695215644355048,6,26,1,"Insect hormone biosynthesis"
"dme04391","path:dme04391",0.490925460957062,0.638387818364291,12,54,1,"Hippo signaling pathway"
"dme00470","path:dme00470",0.510054366494002,0.884749279599902,1,3,1,"D-Amino acid metabolism"
"dme00900","path:dme00900",0.512877314247401,0.684239790887042,5,22,1,"Terpenoid backbone biosynthesis"
"dme00350","path:dme00350",0.514186604848542,0.683043495121965,5,22,1,"Tyrosine metabolism"
"dme04145","path:dme04145",0.514460026975255,0.598746536247408,16,74,1,"Phagosome"
"dme00565","path:dme00565",0.514597240636524,0.682667879284958,5,22,1,"Ether lipid metabolism"
"dme03083","path:dme03083",0.526281392753161,0.599017540731973,13,60,1,"Polycomb repressive complex"
"dme04122","path:dme04122",0.530554286247858,0.770993356662512,2,8,1,"Sulfur relay system"
"dme04140","path:dme04140",0.539042687714786,0.574315684708568,16,75,1,"Autophagy"
"dme00040","path:dme00040",0.581280098408564,0.560231309955956,10,48,1,"Pentose and glucuronate interconversions"
"dme03013","path:dme03013",0.59567984502205,0.510117772139753,18,87,1,"Nucleocytoplasmic transport"
"dme00650","path:dme00650",0.596168605711224,0.65675955034696,3,14,1,"Butanoate metabolism"
"dme04146","path:dme04146",0.608849967630285,0.499246672530759,17,83,1,"Peroxisome"
"dme01100","path:dme01100",0.61480195733482,0.422786797630846,207,988,1,"Metabolic pathways"
"dme00604","path:dme00604",0.615389252363538,0.80000991005361,1,4,1,"Glycosphingolipid biosynthesis"
"dme00440","path:dme00440",0.615917860759179,0.799582097831736,1,4,1,"Phosphonate and phosphinate metabolism"
"dme03022","path:dme03022",0.635660234707633,0.529289676893456,7,35,1,"Basal transcription factors"
"dme00514","path:dme00514",0.637012371815641,0.52783256102643,7,35,1,"Other types of O-glycan biosynthesis"
"dme00592","path:dme00592",0.660666621591635,0.640454142120366,2,10,1,"alpha-Linolenic acid metabolism"
"dme00510","path:dme00510",0.667245135241707,0.494063343352194,7,36,1,"N-Glycan biosynthesis"
"dme00250","path:dme00250",0.674998779912986,0.514757268504311,5,26,1,"Alanine, aspartate and glutamate metabolism"
"dme04215","path:dme04215",0.682487652260082,0.528428356545785,4,21,1,"Apoptosis"
