"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme04141","path:dme04141",0.00630306557175761,0.996314361043509,64,123,0.681722556735091,"Protein processing in endoplasmic reticulum"
"dme04150","path:dme04150",0.0136246173539685,0.992369805236808,46,87,0.681722556735091,"mTOR signaling pathway"
"dme00534","path:dme00534",0.0145047352496828,0.997953848910311,8,10,0.681722556735091,"Glycosaminoglycan biosynthesis"
"dme00360","path:dme00360",0.0218821144718217,0.998021824395672,6,7,0.684157495662659,"Phenylalanine metabolism"
"dme04814","path:dme04814",0.0281684901289898,0.982725995794738,50,99,0.684157495662659,"Motor proteins"
"dme00532","path:dme00532",0.0291130849218153,0.99541990157783,7,9,0.684157495662659,"Glycosaminoglycan biosynthesis"
"dme04213","path:dme04213",0.036822711987227,0.980981250665083,27,50,0.741714627171287,"Longevity regulating pathway"
"dme00052","path:dme00052",0.0577123286706275,0.973199818307948,18,32,0.920600900511249,"Galactose metabolism"
"dme00330","path:dme00330",0.058761759607101,0.972635968331198,18,32,0.920600900511249,"Arginine and proline metabolism"
"dme04145","path:dme04145",0.0671449594028949,0.958503169126879,37,74,0.941129937796909,"Phagosome"
"dme04120","path:dme04120",0.0734214845089787,0.951800299973072,45,93,0.941129937796909,"Ubiquitin mediated proteolysis"
"dme00500","path:dme00500",0.0871659574204982,0.958328356215304,16,29,1,"Starch and sucrose metabolism"
"dme04320","path:dme04320",0.0957801009476209,0.956143676173278,14,25,1,"Dorso-ventral axis formation"
"dme00270","path:dme00270",0.108516118951578,0.944069802499033,17,32,1,"Cysteine and methionine metabolism"
"dme03050","path:dme03050",0.138211457702358,0.914093959873426,26,53,1,"Proteasome"
"dme00350","path:dme00350",0.143386372757811,0.932231470422007,12,22,1,"Tyrosine metabolism"
"dme04144","path:dme04144",0.157968270573348,0.88419043513929,52,113,1,"Endocytosis"
"dme03040","path:dme03040",0.165971271971195,0.876442237216461,54,122,1,"Spliceosome"
"dme03018","path:dme03018",0.169387145528099,0.888935094903509,28,59,1,"RNA degradation"
"dme00510","path:dme00510",0.170198309391316,0.901326152645218,18,36,1,"N-Glycan biosynthesis"
"dme04122","path:dme04122",0.17935188905555,0.948018125382294,5,8,1,"Sulfur relay system"
"dme00515","path:dme00515",0.192621865625999,0.971395426933648,3,4,1,"Mannose type O-glycan biosynthesis"
