"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0008061","GO:0008061",1.17205964137247e-06,0.999999581193481,44,111,"chitin binding","MF",0.00874335493783819
"GO:0033460","GO:0033460",1.50526899162231e-06,0.99999993633634,11,13,"GAG codon-amino acid adaptor activity","MF",0.00874335493783819
"GO:0005868","GO:0005868",3.9788638639354e-05,0.999993406882076,14,25,"cytoplasmic dynein complex","CC",0.152559726144157
"GO:0042026","GO:0042026",6.2693866659309e-05,0.999987293465997,16,30,"protein refolding","BP",0.152559726144157
"GO:0005332","GO:0005332",7.87947281453856e-05,1,6,6,"gamma-aminobutyric acid:sodium:chloride symporter activity","MF",0.152559726144157
"GO:0140161","GO:0140161",7.87947281453856e-05,1,6,6,"monocarboxylate:sodium symporter activity","MF",0.152559726144157
"GO:1902494","GO:1902494",0.00011903086258915,0.999914166696084,229,914,"catalytic complex","CC",0.197540218671165
"GO:0004806","GO:0004806",0.000154325636844774,0.999954768352453,21,47,"triglyceride lipase activity","MF",0.224100115403217
"GO:0007156","GO:0007156",0.000212860672410994,0.999943681770222,18,38,"homophilic cell adhesion via plasma membrane adhesion molecules","BP",0.274755825710947
"GO:0140575","GO:0140575",0.000286713281482288,1,5,5,"transmembrane monodehydroascorbate reductase activity","MF",0.333074819097974
"GO:0015373","GO:0015373",0.000393690107542631,0.999975267395705,7,9,"anion:sodium symporter activity","MF",0.357983785871475
"GO:0015378","GO:0015378",0.000393690107542631,0.999975267395705,7,9,"sodium:chloride symporter activity","MF",0.357983785871475
"GO:0061077","GO:0061077",0.000400601636939758,0.999874814161809,20,47,"chaperone-mediated protein folding","BP",0.357983785871475
"GO:0006520","GO:0006520",0.000574411172169802,0.999716684322674,43,130,"cellular amino acid metabolic process","BP",0.457920768467605
"GO:0030286","GO:0030286",0.000591272404838949,0.999813221049855,19,46,"dynein complex","CC",0.457920768467605
"GO:0032880","GO:0032880",0.000701088357750225,0.999693251227034,32,90,"regulation of protein localization","BP",0.479267057811607
"GO:0015296","GO:0015296",0.000742601966136604,0.999917329799085,8,12,"anion:cation symporter activity","MF",0.479267057811607
"GO:0015377","GO:0015377",0.000742601966136604,0.999917329799085,8,12,"cation:chloride symporter activity","MF",0.479267057811607
"GO:0006950","GO:0006950",0.000837345906014342,0.999357283789478,262,1090,"response to stress","BP",0.511970915272032
