"","Df","FBgn","Symbol"
"31525","Df(1)dx81","FBgn0029824","CG3726"
"31526","Df(1)dx81","FBgn0029825","CG12728"
"31527","Df(1)dx81","FBgn0029826","CG6041"
"31528","Df(1)dx81","FBgn0029827","CG6048"
"31529","Df(1)dx81","FBgn0029828","CG6067"
"31532","Df(1)dx81","FBgn0029831","CG5966"
"31533","Df(1)dx81","FBgn0027546","CG4766"
"31535","Df(1)dx81","FBgn0003302","rux"
"31536","Df(1)dx81","FBgn0029833","MCTS1"
"31537","Df(1)dx81","FBgn0029834","CG5937"
"31538","Df(1)dx81","FBgn0029835","CG5921"
"31539","Df(1)dx81","FBgn0029836","CG5928"
"31540","Df(1)dx81","FBgn0029837","Tsp5D"
"31541","Df(1)dx81","FBgn0029838","CG4666"
"31542","Df(1)dx81","FBgn0029839","CG4660"
"31543","Df(1)dx81","FBgn0029840","raptor"
"31544","Df(1)dx81","FBgn0026060","Mipp2"
"31547","Df(1)dx81","FBgn0029843","Nep1"
"31550","Df(1)dx81","FBgn0264386","Ca-alpha1T"
"31551","Df(1)dx81","FBgn0040069","vanin-like"
"31552","Df(1)dx81","FBgn0029848","Btnd"
"31553","Df(1)dx81","FBgn0029849","Efr"
"31554","Df(1)dx81","FBgn0003514","sqh"
"31555","Df(1)dx81","FBgn0262730","dtn"
"31556","Df(1)dx81","FBgn0029851","CG14445"
"31557","Df(1)dx81","FBgn0023458","Rbcn-3A"
"31558","Df(1)dx81","FBgn0015818","Spx"
"31560","Df(1)dx81","FBgn0029853","CG3781"
"31562","Df(1)dx81","FBgn0029854","CG3566"
"31564","Df(1)dx81","FBgn0029856","CG11700"
"31565","Df(1)dx81","FBgn0026015","Top3beta"
"31566","Df(1)dx81","FBgn0029857","wuho"
"31567","Df(1)dx81","FBgn0028685","Rpt4"
"31568","Df(1)dx81","FBgn0029858","mldr"
"31571","Df(1)dx81","FBgn0029861","CG3815"
"31572","Df(1)dx81","FBgn0043796","CG12219"
"31573","Df(1)dx81","FBgn0029863","CG3823"
"31574","Df(1)dx81","FBgn0029864","CG15894"
"31576","Df(1)dx81","FBgn0029866","CG3842"
"31577","Df(1)dx81","FBgn0029867","CG3847"
"31578","Df(1)dx81","FBgn0029868","ND-B16.6"
"31579","Df(1)dx81","FBgn0261955","kdn"
"31580","Df(1)dx81","FBgn0003655","swa"
"31581","Df(1)dx81","FBgn0029870","Marf"
"31582","Df(1)dx81","FBgn0003139","PpV"
"31585","Df(1)dx81","FBgn0029873","CG3918"
