"","FBgn","Symbol","CG","ensembl","Moderate","Strong","Repress","Lethal","Enhancer","No.Effect"
"FBgn0031361","FBgn0031361","CG17652","CG17652","33353",0,0,0,0,0,1
"FBgn0011274","FBgn0011274","Dif","CG6794","35045",0,0,0,0,0,1
"FBgn0032271","FBgn0032271","CG7329","CG7329","34457",0,1,1,0,0,1
"FBgn0286932","FBgn0286932","CG46429","CG46429","54520437",0,0,0,0,0,1
"FBgn0051380","FBgn0051380","CG31380","CG31380","318701",0,0,0,0,0,1
"FBgn0260932","FBgn0260932","cuff","CG13190","36269",0,0,0,0,0,1
"FBgn0035769","FBgn0035769","CTCF","CG8591","38817",0,0,0,0,0,1
"FBgn0284237","FBgn0284237","CG46321","CG46321","30522410",0,1,1,0,0,1
"FBgn0263323","FBgn0263323","lncRNA:CR43404","CR43404","19836226",0,0,0,0,0,1
"FBgn0263351","FBgn0263351","AP-2mu","CG7057","42642",0,0,0,0,0,1
"FBgn0039726","FBgn0039726","eIF2Balpha","CG7883","43549",0,0,0,0,0,1
"FBgn0004189","FBgn0004189","snRNA:U6:96Ab","CR32867","3772330",0,0,0,0,0,1
"FBgn0275433","FBgn0275433","lncRNA:CR46265","CR46265","26067575",0,0,0,0,0,1
"FBgn0031145","FBgn0031145","Ntf-2","CG1740","33078",1,0,1,0,0,1
"FBgn0267178","FBgn0267178","lncRNA:CR45618","CR45618","19835294",0,0,0,0,0,1
"FBgn0266717","FBgn0266717","Bruce","CG6303","41260",0,0,0,0,1,1
"FBgn0087035","FBgn0087035","AGO2","CG7439","39683",0,1,1,0,0,1
"FBgn0004511","FBgn0004511","dy","CG9355","32130",0,0,0,0,0,1
"FBgn0004593","FBgn0004593","Eig71Ef","CG7599","39707",0,0,0,0,0,1
"FBgn0039489","FBgn0039489","CG5880","CG5880","43268",0,0,0,0,0,1
"FBgn0263339","FBgn0263339","lncRNA:CR43420","CR43420","12798000",0,0,0,0,0,1
"FBgn0266111","FBgn0266111","ana3","CG13162","36341",0,0,0,0,1,1
"FBgn0259482","FBgn0259482","Mob3","CG4946","34372",0,0,0,0,0,1
"FBgn0035793","FBgn0035793","CG7546","CG7546","38844",0,0,0,0,0,1
"FBgn0021967","FBgn0021967","ND-PDSW","CG8844","44228",0,0,0,0,0,1
"FBgn0040737","FBgn0040737","Tango8","CG14503","50210",0,0,0,0,0,1
"FBgn0035504","FBgn0035504","Teh4","CG15003","38501",0,0,0,0,0,1
"FBgn0036058","FBgn0036058","CG6707","CG6707","39168",0,0,0,0,1,1
"FBgn0267619","FBgn0267619","lncRNA:CR45957","CR45957","26067284",0,1,1,0,1,1
"FBgn0015795","FBgn0015795","Rab7","CG5915","42841",0,0,0,0,0,1
"FBgn0036529","FBgn0036529","Pgant8","CG7297","39715",0,0,0,0,0,1
"FBgn0033871","FBgn0033871","CG13339","CG13339","36528",0,0,0,0,0,1
"FBgn0034541","FBgn0034541","CG13437","CG13437","37343",0,0,0,0,0,1
"FBgn0037751","FBgn0037751","topi","CG8484","41199",0,1,1,0,0,1
"FBgn0035515","FBgn0035515","CG14997","CG14997","38514",0,0,0,0,0,1
"FBgn0053644","FBgn0053644","CG33644","CG33644","3772563",0,0,0,0,0,1
"FBgn0033278","FBgn0033278","CG14759","CG14759","35803",1,0,1,0,0,1
"FBgn0041100","FBgn0041100","park","CG10523","40336",0,0,0,0,1,1
"FBgn0033607","FBgn0033607","CG9062","CG9062","36199",0,0,0,0,0,1
"FBgn0063498","FBgn0063498","GstE2","CG17523","37107",0,0,0,0,0,1
"FBgn0000808","FBgn0000808","gd","CG1505","32159",0,0,0,0,0,1
"FBgn0085283","FBgn0085283","CR34254","CR34254","5740610",0,0,0,0,0,1
"FBgn0035636","FBgn0035636","Cralbp","CG10546","38651",0,0,0,0,0,1
"FBgn0267454","FBgn0267454","asRNA:CR45804","CR45804","26067134",0,0,0,0,0,1
"FBgn0030485","FBgn0030485","CG1998","CG1998","32300",0,0,0,0,0,1
"FBgn0085434","FBgn0085434","NaCP60E","CG34405","37981",0,0,0,0,0,1
"FBgn0001965","FBgn0001965","Sos","CG7793","34790",0,1,1,0,1,1
"FBgn0033836","FBgn0033836","CG18278","CG18278","36487",0,0,0,0,0,1
"FBgn0036218","FBgn0036218","Sprn","CG14128","39344",0,1,1,0,0,1
