"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","adjp"
"GO:0005214","GO:0005214",4.4259545835296e-09,0.999999998644006,49,133,"structural constituent of chitin-based cuticle","MF",3.44659821362726e-05
"GO:0042302","GO:0042302",5.93371475187614e-09,0.999999998137318,49,134,"structural constituent of cuticle","MF",3.44659821362726e-05
"GO:0040003","GO:0040003",7.03445066587349e-08,0.999999973358616,56,172,"chitin-based cuticle development","BP",0.000272397377951508
"GO:0010171","GO:0010171",2.15128256239403e-07,0.999999976218172,16,26,"body morphogenesis","BP",0.000624786238183285
"GO:0062129","GO:0062129",5.00548644643444e-07,0.999999829830788,41,118,"chitin-based extracellular matrix","CC",0.00116297472096458
"GO:0042335","GO:0042335",6.94378633781148e-07,0.999999704516243,59,196,"cuticle development","BP",0.0013444327647726
"GO:0031012","GO:0031012",1.40272112902197e-05,0.999993220138887,64,236,"extracellular matrix","CC",0.0232791590797831
"GO:0008010","GO:0008010",2.16025228158977e-05,0.999992127028239,33,100,"structural constituent of chitin-based larval cuticle","MF",0.0311672251221315
"GO:0030312","GO:0030312",2.41460812687599e-05,0.999987659467438,68,259,"external encapsulating structure","CC",0.0311672251221315
"GO:0050912","GO:0050912",4.24427068836668e-05,0.999993871633012,12,22,"detection of chemical stimulus involved in sensory perception of taste","BP",0.0493056925867557
"GO:0005158","GO:0005158",7.06277804554536e-05,0.999993370191009,9,14,"insulin receptor binding","MF",0.0745893568682731
"GO:0071731","GO:0071731",0.000111474048538145,1,5,5,"response to nitric oxide","BP",0.102430671643674
"GO:0009895","GO:0009895",0.000114625009156216,0.999971217458877,17,41,"negative regulation of catabolic process","BP",0.102430671643674
"GO:0031330","GO:0031330",0.000147183916876767,0.999964117803929,16,38,"negative regulation of cellular catabolic process","BP",0.122131111596957
"GO:0008645","GO:0008645",0.000284456095793875,0.999970419019109,8,13,"hexose transmembrane transport","BP",0.220301764322496
"GO:0014074","GO:0014074",0.000394718950789435,0.999978692213612,6,8,"response to purine-containing compound","BP",0.277865572313373
"GO:0008643","GO:0008643",0.000406620877104875,0.999908012955452,13,30,"carbohydrate transport","BP",0.277865572313373
"GO:0045174","GO:0045174",0.000678422284348501,1,4,4,"glutathione dehydrogenase (ascorbate) activity","MF",0.396518545365287
