"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","adjp","Name"
"dme00790","path:dme00790",0.00132479984233857,0.999622160932213,14,38,0.186796777769738,"Folate biosynthesis"
"dme00040","path:dme00040",0.0141179615800981,0.994373905180778,14,48,0.597024795396505,"Pentose and glucuronate interconversions"
"dme00630","path:dme00630",0.0180480292831996,0.993926642621623,10,31,0.597024795396505,"Glyoxylate and dicarboxylate metabolism"
"dme00970","path:dme00970",0.0200888261403675,0.99265010981977,11,36,0.597024795396505,"Aminoacyl-tRNA biosynthesis"
"dme01240","path:dme01240",0.0211710920353371,0.988000841366327,29,126,0.597024795396505,"Biosynthesis of cofactors"
"dme00020","path:dme00020",0.0412840805987382,0.983625734953597,10,35,0.925651618456562,"Citrate cycle (TCA cycle)"
"dme00730","path:dme00730",0.0479353784415784,0.984376783670417,7,22,0.925651618456562,"Thiamine metabolism"
"dme00830","path:dme00830",0.0664632296156359,0.972448802909194,9,33,0.925651618456562,"Retinol metabolism"
"dme00053","path:dme00053",0.066637120708285,0.972361978740718,9,33,0.925651618456562,"Ascorbate and aldarate metabolism"
"dme04068","path:dme04068",0.0698839799533862,0.965223633441156,13,53,0.925651618456562,"FoxO signaling pathway"
"dme00310","path:dme00310",0.0916606640635945,0.964304397533285,7,25,0.925651618456562,"Lysine degradation"
"dme03022","path:dme03022",0.092029206286292,0.958865611343259,9,35,0.925651618456562,"Basal transcription factors"
"dme04213","path:dme04213",0.093456974398362,0.952473384247601,12,50,0.925651618456562,"Longevity regulating pathway"
"dme00860","path:dme00860",0.103989568990182,0.949812367476204,10,41,0.925651618456562,"Porphyrin metabolism"
"dme00670","path:dme00670",0.109530617271229,0.96987699483293,4,12,0.925651618456562,"One carbon pool by folate"
"dme00052","path:dme00052",0.12284913539778,0.944249861877512,8,32,0.925651618456562,"Galactose metabolism"
"dme01200","path:dme01200",0.127284615580423,0.917863551490081,22,108,0.925651618456562,"Carbon metabolism"
"dme04080","path:dme04080",0.138618759228441,0.931589542855936,9,38,0.925651618456562,"Neuroactive ligand-receptor interaction"
"dme00051","path:dme00051",0.143805998153425,0.936122555396156,7,28,0.925651618456562,"Fructose and mannose metabolism"
"dme03060","path:dme03060",0.143887064774159,0.947290030686472,5,18,0.925651618456562,"Protein export"
"dme00010","path:dme00010",0.145590580386424,0.921427158060039,11,49,0.925651618456562,"Glycolysis / Gluconeogenesis"
"dme04137","path:dme04137",0.165902308557493,0.910844322591135,10,45,0.925651618456562,"Mitophagy"
"dme00770","path:dme00770",0.171920261406193,0.941879288498326,4,14,0.925651618456562,"Pantothenate and CoA biosynthesis"
"dme04140","path:dme04140",0.194400010315588,0.877684165931793,15,74,0.925651618456562,"Autophagy"
"dme00260","path:dme00260",0.19586282765879,0.911026396051731,6,25,0.925651618456562,"Glycine, serine and threonine metabolism"
"dme00563","path:dme00563",0.196087697128005,0.910892348791108,6,25,0.925651618456562,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"dme01100","path:dme01100",0.196093728304071,0.832289104591175,166,988,0.925651618456562,"Metabolic pathways"
"dme03030","path:dme03030",0.196888841345197,0.910414319771633,6,25,0.925651618456562,"DNA replication"
"dme03410","path:dme03410",0.203259638193155,0.914894213399564,5,20,0.925651618456562,"Base excision repair"
"dme00534","path:dme00534",0.206904152784785,0.938637750885154,3,10,0.925651618456562,"Glycosaminoglycan biosynthesis"
"dme00910","path:dme00910",0.207295428034642,0.923522430993192,4,15,0.925651618456562,"Nitrogen metabolism"
"dme04150","path:dme04150",0.219458185275477,0.854446072672173,17,87,0.925651618456562,"mTOR signaling pathway"
"dme01210","path:dme01210",0.234522953402622,0.89600776978991,5,21,0.925651618456562,"2-Oxocarboxylic acid metabolism"
"dme00230","path:dme00230",0.235797391233593,0.841535640106349,17,88,0.925651618456562,"Purine metabolism"
"dme04330","path:dme04330",0.243902656572074,0.890288159910537,5,21,0.925651618456562,"Notch signaling pathway"
"dme00380","path:dme00380",0.244820218040239,0.902243114836122,4,16,0.925651618456562,"Tryptophan metabolism"
"dme03450","path:dme03450",0.248816837794954,0.943519824134716,2,6,0.925651618456562,"Non-homologous end-joining"
"dme00061","path:dme00061",0.250276317716137,0.916640458135468,3,11,0.925651618456562,"Fatty acid biosynthesis"
"dme04711","path:dme04711",0.256177454335762,0.913643387991125,3,11,0.925651618456562,"Circadian rhythm"
"dme00900","path:dme00900",0.264669789208869,0.876640138718415,5,22,0.925651618456562,"Terpenoid backbone biosynthesis"
"dme00620","path:dme00620",0.281477295339093,0.832477191380579,9,45,0.925651618456562,"Pyruvate metabolism"
"dme04745","path:dme04745",0.285773887110554,0.851507461820729,6,28,0.925651618456562,"Phototransduction"
"dme00190","path:dme00190",0.291126927119532,0.788320647395448,21,116,0.925651618456562,"Oxidative phosphorylation"
"dme00780","path:dme00780",0.292489187795198,0.974819463069867,1,2,0.925651618456562,"Biotin metabolism"
"dme01250","path:dme01250",0.298398907421308,0.853771414814317,5,23,0.925651618456562,"Biosynthesis of nucleotide sugars"
"dme00500","path:dme00500",0.31139784024564,0.83283093767598,6,29,0.925651618456562,"Starch and sucrose metabolism"
"dme03015","path:dme03015",0.323374751715902,0.780887268513329,13,70,0.925651618456562,"mRNA surveillance pathway"
"dme04136","path:dme04136",0.324002679648254,0.85153138113928,4,18,0.925651618456562,"Autophagy"
"dme04392","path:dme04392",0.333228598965367,0.84533674675545,4,18,0.925651618456562,"Hippo signaling pathway"
"dme03018","path:dme03018",0.338635805306082,0.776416333929843,11,59,0.925651618456562,"RNA degradation"
"dme00590","path:dme00590",0.34448024506427,0.860189614250992,3,13,0.925651618456562,"Arachidonic acid metabolism"
"dme04013","path:dme04013",0.357586334276433,0.744914260382955,15,83,0.925651618456562,"MAPK signaling pathway"
"dme00982","path:dme00982",0.371879018983712,0.743425674344957,12,67,0.925651618456562,"Drug metabolism"
"dme00450","path:dme00450",0.371943933758348,0.879128504661501,2,8,0.925651618456562,"Selenocompound metabolism"
"dme04391","path:dme04391",0.374115306503441,0.751789209058527,10,54,0.925651618456562,"Hippo signaling pathway"
